hits,quarter,term,year
0,2,(mental health or illness) AND prison,1900
0,3,(mental health or illness) AND prison,1900
0,4,(mental health or illness) AND prison,1900
0,1,(mental health or illness) AND prison,1901
0,2,(mental health or illness) AND prison,1901
0,3,(mental health or illness) AND prison,1901
0,4,(mental health or illness) AND prison,1901
0,1,(mental health or illness) AND prison,1902
0,2,(mental health or illness) AND prison,1902
0,3,(mental health or illness) AND prison,1902
0,4,(mental health or illness) AND prison,1902
0,1,(mental health or illness) AND prison,1903
0,2,(mental health or illness) AND prison,1903
1,3,(mental health or illness) AND prison,1903
0,4,(mental health or illness) AND prison,1903
0,1,(mental health or illness) AND prison,1904
0,2,(mental health or illness) AND prison,1904
0,3,(mental health or illness) AND prison,1904
0,4,(mental health or illness) AND prison,1904
0,1,(mental health or illness) AND prison,1905
0,2,(mental health or illness) AND prison,1905
0,3,(mental health or illness) AND prison,1905
0,4,(mental health or illness) AND prison,1905
0,1,(mental health or illness) AND prison,1906
0,2,(mental health or illness) AND prison,1906
0,3,(mental health or illness) AND prison,1906
0,4,(mental health or illness) AND prison,1906
0,1,(mental health or illness) AND prison,1907
0,2,(mental health or illness) AND prison,1907
0,3,(mental health or illness) AND prison,1907
0,4,(mental health or illness) AND prison,1907
0,1,(mental health or illness) AND prison,1908
0,2,(mental health or illness) AND prison,1908
0,3,(mental health or illness) AND prison,1908
1,4,(mental health or illness) AND prison,1908
0,1,(mental health or illness) AND prison,1909
0,2,(mental health or illness) AND prison,1909
0,3,(mental health or illness) AND prison,1909
0,4,(mental health or illness) AND prison,1909
0,1,(mental health or illness) AND prison,1910
0,2,(mental health or illness) AND prison,1910
0,3,(mental health or illness) AND prison,1910
0,4,(mental health or illness) AND prison,1910
0,1,(mental health or illness) AND prison,1911
0,2,(mental health or illness) AND prison,1911
0,3,(mental health or illness) AND prison,1911
2,4,(mental health or illness) AND prison,1911
0,1,(mental health or illness) AND prison,1912
0,2,(mental health or illness) AND prison,1912
0,3,(mental health or illness) AND prison,1912
0,4,(mental health or illness) AND prison,1912
0,1,(mental health or illness) AND prison,1913
0,2,(mental health or illness) AND prison,1913
0,3,(mental health or illness) AND prison,1913
0,4,(mental health or illness) AND prison,1913
0,1,(mental health or illness) AND prison,1914
0,2,(mental health or illness) AND prison,1914
0,3,(mental health or illness) AND prison,1914
0,4,(mental health or illness) AND prison,1914
0,1,(mental health or illness) AND prison,1915
0,2,(mental health or illness) AND prison,1915
0,3,(mental health or illness) AND prison,1915
0,4,(mental health or illness) AND prison,1915
0,1,(mental health or illness) AND prison,1916
0,2,(mental health or illness) AND prison,1916
0,3,(mental health or illness) AND prison,1916
0,4,(mental health or illness) AND prison,1916
0,1,(mental health or illness) AND prison,1917
0,2,(mental health or illness) AND prison,1917
1,3,(mental health or illness) AND prison,1917
0,4,(mental health or illness) AND prison,1917
0,1,(mental health or illness) AND prison,1918
0,2,(mental health or illness) AND prison,1918
0,3,(mental health or illness) AND prison,1918
0,4,(mental health or illness) AND prison,1918
0,1,(mental health or illness) AND prison,1919
0,2,(mental health or illness) AND prison,1919
0,3,(mental health or illness) AND prison,1919
0,4,(mental health or illness) AND prison,1919
0,1,(mental health or illness) AND prison,1920
0,2,(mental health or illness) AND prison,1920
0,3,(mental health or illness) AND prison,1920
0,4,(mental health or illness) AND prison,1920
0,1,(mental health or illness) AND prison,1921
1,2,(mental health or illness) AND prison,1921
0,3,(mental health or illness) AND prison,1921
0,4,(mental health or illness) AND prison,1921
0,1,(mental health or illness) AND prison,1922
0,2,(mental health or illness) AND prison,1922
0,3,(mental health or illness) AND prison,1922
1,4,(mental health or illness) AND prison,1922
0,1,(mental health or illness) AND prison,1923
1,2,(mental health or illness) AND prison,1923
0,3,(mental health or illness) AND prison,1923
0,4,(mental health or illness) AND prison,1923
0,1,(mental health or illness) AND prison,1924
1,2,(mental health or illness) AND prison,1924
1,3,(mental health or illness) AND prison,1924
0,4,(mental health or illness) AND prison,1924
0,1,(mental health or illness) AND prison,1925
0,2,(mental health or illness) AND prison,1925
0,3,(mental health or illness) AND prison,1925
0,4,(mental health or illness) AND prison,1925
0,1,(mental health or illness) AND prison,1926
1,2,(mental health or illness) AND prison,1926
0,3,(mental health or illness) AND prison,1926
0,4,(mental health or illness) AND prison,1926
0,1,(mental health or illness) AND prison,1927
0,2,(mental health or illness) AND prison,1927
0,3,(mental health or illness) AND prison,1927
1,4,(mental health or illness) AND prison,1927
1,1,(mental health or illness) AND prison,1928
0,2,(mental health or illness) AND prison,1928
0,3,(mental health or illness) AND prison,1928
2,4,(mental health or illness) AND prison,1928
0,1,(mental health or illness) AND prison,1929
0,2,(mental health or illness) AND prison,1929
1,3,(mental health or illness) AND prison,1929
1,4,(mental health or illness) AND prison,1929
2,1,(mental health or illness) AND prison,1930
0,2,(mental health or illness) AND prison,1930
1,3,(mental health or illness) AND prison,1930
0,4,(mental health or illness) AND prison,1930
0,1,(mental health or illness) AND prison,1931
1,2,(mental health or illness) AND prison,1931
1,3,(mental health or illness) AND prison,1931
