hits,quarter,term,year
0,1,PTSD,1900
0,2,PTSD,1900
0,3,PTSD,1900
0,4,PTSD,1900
0,1,PTSD,1901
0,2,PTSD,1901
0,3,PTSD,1901
0,4,PTSD,1901
0,1,PTSD,1902
0,2,PTSD,1902
0,3,PTSD,1902
0,4,PTSD,1902
0,1,PTSD,1903
0,2,PTSD,1903
0,3,PTSD,1903
0,4,PTSD,1903
0,1,PTSD,1904
0,2,PTSD,1904
0,3,PTSD,1904
0,4,PTSD,1904
0,1,PTSD,1905
0,2,PTSD,1905
0,3,PTSD,1905
0,4,PTSD,1905
0,1,PTSD,1906
0,2,PTSD,1906
0,3,PTSD,1906
0,4,PTSD,1906
0,1,PTSD,1907
0,2,PTSD,1907
0,3,PTSD,1907
0,4,PTSD,1907
0,1,PTSD,1908
0,2,PTSD,1908
0,3,PTSD,1908
0,4,PTSD,1908
0,1,PTSD,1909
0,2,PTSD,1909
1,3,PTSD,1909
0,4,PTSD,1909
0,1,PTSD,1910
0,2,PTSD,1910
0,3,PTSD,1910
0,4,PTSD,1910
0,1,PTSD,1911
0,2,PTSD,1911
0,3,PTSD,1911
0,4,PTSD,1911
0,1,PTSD,1912
0,2,PTSD,1912
0,3,PTSD,1912
0,4,PTSD,1912
0,1,PTSD,1913
0,2,PTSD,1913
0,3,PTSD,1913
0,4,PTSD,1913
0,1,PTSD,1914
0,2,PTSD,1914
0,3,PTSD,1914
0,4,PTSD,1914
0,1,PTSD,1915
0,2,PTSD,1915
0,3,PTSD,1915
0,4,PTSD,1915
0,1,PTSD,1916
0,2,PTSD,1916
0,3,PTSD,1916
0,4,PTSD,1916
0,1,PTSD,1917
0,2,PTSD,1917
0,3,PTSD,1917
0,4,PTSD,1917
0,1,PTSD,1918
0,2,PTSD,1918
0,3,PTSD,1918
0,4,PTSD,1918
0,1,PTSD,1919
0,2,PTSD,1919
0,3,PTSD,1919
0,4,PTSD,1919
0,1,PTSD,1920
0,2,PTSD,1920
0,3,PTSD,1920
0,4,PTSD,1920
0,1,PTSD,1921
0,2,PTSD,1921
0,3,PTSD,1921
1,4,PTSD,1921
0,1,PTSD,1922
0,2,PTSD,1922
0,3,PTSD,1922
0,4,PTSD,1922
0,2,PTSD,1923
0,3,PTSD,1923
0,4,PTSD,1923
0,1,PTSD,1924
0,2,PTSD,1924
0,3,PTSD,1924
0,4,PTSD,1924
0,1,PTSD,1925
0,2,PTSD,1925
0,3,PTSD,1925
0,4,PTSD,1925
0,1,PTSD,1926
0,2,PTSD,1926
0,3,PTSD,1926
0,4,PTSD,1926
0,1,PTSD,1927
0,2,PTSD,1927
0,3,PTSD,1927
0,4,PTSD,1927
0,1,PTSD,1928
0,2,PTSD,1928
0,3,PTSD,1928
0,4,PTSD,1928
0,1,PTSD,1929
0,2,PTSD,1929
0,3,PTSD,1929
0,4,PTSD,1929
0,1,PTSD,1930
0,2,PTSD,1930
0,3,PTSD,1930
0,4,PTSD,1930
0,1,PTSD,1931
0,2,PTSD,1931
0,3,PTSD,1931
0,4,PTSD,1931
0,1,PTSD,1932
0,2,PTSD,1932
0,3,PTSD,1932
0,4,PTSD,1932
0,1,PTSD,1933
0,2,PTSD,1933
0,3,PTSD,1933
0,4,PTSD,1933
0,1,PTSD,1934
0,2,PTSD,1934
0,3,PTSD,1934
0,4,PTSD,1934
0,1,PTSD,1935
0,2,PTSD,1935
0,3,PTSD,1935
0,4,PTSD,1935
0,1,PTSD,1936
0,2,PTSD,1936
0,3,PTSD,1936
0,4,PTSD,1936
0,1,PTSD,1937
0,2,PTSD,1937
0,3,PTSD,1937
0,4,PTSD,1937
0,1,PTSD,1938
0,2,PTSD,1938
0,3,PTSD,1938
0,4,PTSD,1938
0,1,PTSD,1939
0,2,PTSD,1939
0,3,PTSD,1939
0,4,PTSD,1939
0,1,PTSD,1940
0,2,PTSD,1940
0,3,PTSD,1940
0,4,PTSD,1940
0,1,PTSD,1941
0,2,PTSD,1941
0,3,PTSD,1941
