hits,quarter,term,year
10,1,World War I,1900
6,2,World War I,1900
9,3,World War I,1900
11,4,World War I,1900
6,1,World War I,1901
5,2,World War I,1901
4,3,World War I,1901
7,4,World War I,1901
4,1,World War I,1902
17,2,World War I,1902
17,3,World War I,1902
9,4,World War I,1902
7,1,World War I,1903
6,2,World War I,1903
8,3,World War I,1903
14,4,World War I,1903
8,1,World War I,1904
4,2,World War I,1904
17,3,World War I,1904
6,4,World War I,1904
4,1,World War I,1905
11,2,World War I,1905
9,3,World War I,1905
11,4,World War I,1905
11,1,World War I,1906
5,2,World War I,1906
4,3,World War I,1906
5,4,World War I,1906
4,1,World War I,1907
10,2,World War I,1907
10,3,World War I,1907
3,4,World War I,1907
9,1,World War I,1908
5,2,World War I,1908
10,3,World War I,1908
8,4,World War I,1908
7,1,World War I,1909
4,2,World War I,1909
5,3,World War I,1909
7,4,World War I,1909
5,1,World War I,1910
6,2,World War I,1910
4,3,World War I,1910
10,4,World War I,1910
5,1,World War I,1911
5,2,World War I,1911
7,3,World War I,1911
10,4,World War I,1911
7,1,World War I,1912
6,2,World War I,1912
9,3,World War I,1912
16,4,World War I,1912
4,1,World War I,1913
10,2,World War I,1913
6,3,World War I,1913
5,4,World War I,1913
3,1,World War I,1914
3,2,World War I,1914
73,3,World War I,1914
106,4,World War I,1914
73,1,World War I,1915
99,2,World War I,1915
86,3,World War I,1915
92,4,World War I,1915
66,1,World War I,1916
85,2,World War I,1916
94,3,World War I,1916
99,4,World War I,1916
80,1,World War I,1917
123,2,World War I,1917
120,3,World War I,1917
120,4,World War I,1917
130,1,World War I,1918
125,2,World War I,1918
99,3,World War I,1918
138,4,World War I,1918
145,1,World War I,1919
145,2,World War I,1919
172,3,World War I,1919
114,4,World War I,1919
101,1,World War I,1920
106,2,World War I,1920
127,3,World War I,1920
161,4,World War I,1920
120,1,World War I,1921
127,2,World War I,1921
104,3,World War I,1921
140,4,World War I,1921
109,1,World War I,1922
112,2,World War I,1922
96,3,World War I,1922
108,4,World War I,1922
133,1,World War I,1923
128,2,World War I,1923
117,3,World War I,1923
126,4,World War I,1923
117,1,World War I,1924
85,2,World War I,1924
85,3,World War I,1924
92,4,World War I,1924
82,1,World War I,1925
110,2,World War I,1925
113,3,World War I,1925
122,4,World War I,1925
91,1,World War I,1926
104,2,World War I,1926
93,3,World War I,1926
102,4,World War I,1926
65,1,World War I,1927
103,2,World War I,1927
71,3,World War I,1927
84,4,World War I,1927
83,1,World War I,1928
79,2,World War I,1928
63,3,World War I,1928
90,4,World War I,1928
76,1,World War I,1929
65,2,World War I,1929
61,3,World War I,1929
83,4,World War I,1929
76,1,World War I,1930
76,2,World War I,1930
56,3,World War I,1930
83,4,World War I,1930
76,1,World War I,1931
82,2,World War I,1931
59,3,World War I,1931
79,4,World War I,1931
67,1,World War I,1932
64,2,World War I,1932
72,3,World War I,1932
102,4,World War I,1932
55,1,World War I,1933
61,2,World War I,1933
32,3,World War I,1933
63,4,World War I,1933
60,1,World War I,1934
50,2,World War I,1934
61,3,World War I,1934
71,4,World War I,1934
55,1,World War I,1935
57,2,World War I,1935
69,3,World War I,1935
69,4,World War I,1935
59,1,World War I,1936
50,2,World War I,1936
59,3,World War I,1936
76,4,World War I,1936
46,1,World War I,1937
44,2,World War I,1937
45,3,World War I,1937
67,4,World War I,1937
60,1,World War I,1938
37,2,World War I,1938
52,3,World War I,1938
44,4,World War I,1938
38,1,World War I,1939
74,2,World War I,1939
113,3,World War I,1939
122,4,World War I,1939
83,1,World War I,1940
125,2,World War I,1940
122,3,World War I,1940
117,4,World War I,1940
146,1,World War I,1941
174,2,World War I,1941
190,3,World War I,1941
308,4,World War I,1941
787,1,World War I,1942
660,2,World War I,1942
670,3,World War I,1942
797,4,World War I,1942
713,1,World War I,1943
699,2,World War I,1943
706,3,World War I,1943
714,4,World War I,1943
635,1,World War I,1944
660,2,World War I,1944
705,3,World War I,1944
678,4,World War I,1944
582,1,World War I,1945
655,2,World War I,1945
633,3,World War I,1945
578,4,World War I,1945
543,1,World War I,1946
588,2,World War I,1946
550,3,World War I,1946
538,4,World War I,1946
643,1,World War I,1947
679,2,World War I,1947
590,3,World War I,1947
616,4,World War I,1947
502,1,World War I,1948
486,2,World War I,1948
481,3,World War I,1948
429,4,World War I,1948
579,1,World War I,1949
478,2,World War I,1949
461,3,World War I,1949
511,4,World War I,1949
449,1,World War I,1950
472,2,World War I,1950
418,3,World War I,1950
427,4,World War I,1950
368,1,World War I,1951
397,2,World War I,1951
405,3,World War I,1951
441,4,World War I,1951
442,1,World War I,1952
414,2,World War I,1952
448,3,World War I,1952
402,4,World War I,1952
371,1,World War I,1953
347,2,World War I,1953
349,3,World War I,1953
326,4,World War I,1953
338,1,World War I,1954
322,2,World War I,1954
305,3,World War I,1954
325,4,World War I,1954
327,1,World War I,1955
394,2,World War I,1955
279,3,World War I,1955
338,4,World War I,1955
264,1,World War I,1956
275,2,World War I,1956
285,3,World War I,1956
308,4,World War I,1956
266,1,World War I,1957
270,2,World War I,1957
250,3,World War I,1957
265,4,World War I,1957
249,1,World War I,1958
256,2,World War I,1958
277,3,World War I,1958
230,4,World War I,1958
276,1,World War I,1959
279,2,World War I,1959
269,3,World War I,1959
273,4,World War I,1959
301,1,World War I,1960
311,2,World War I,1960
247,3,World War I,1960
276,4,World War I,1960
212,1,World War I,1961
263,2,World War I,1961
266,3,World War I,1961
275,4,World War I,1961
190,1,World War I,1962
197,2,World War I,1962
242,3,World War I,1962
209,4,World War I,1962
43,1,World War I,1963
232,2,World War I,1963
218,3,World War I,1963
240,4,World War I,1963
235,1,World War I,1964
229,2,World War I,1964
254,3,World War I,1964
217,4,World War I,1964
213,1,World War I,1965
225,2,World War I,1965
140,3,World War I,1965
183,4,World War I,1965
200,1,World War I,1966
171,2,World War I,1966
212,3,World War I,1966
211,4,World War I,1966
184,1,World War I,1967
204,2,World War I,1967
166,3,World War I,1967
177,4,World War I,1967
166,1,World War I,1968
175,2,World War I,1968
156,3,World War I,1968
164,4,World War I,1968
162,1,World War I,1969
158,2,World War I,1969
147,3,World War I,1969
201,4,World War I,1969
131,1,World War I,1970
149,2,World War I,1970
134,3,World War I,1970
148,4,World War I,1970
152,1,World War I,1971
170,2,World War I,1971
134,3,World War I,1971
147,4,World War I,1971
175,1,World War I,1972
129,2,World War I,1972
143,3,World War I,1972
168,4,World War I,1972
138,1,World War I,1973
98,2,World War I,1973
119,3,World War I,1973
124,4,World War I,1973
110,1,World War I,1974
122,2,World War I,1974
101,3,World War I,1974
116,4,World War I,1974
117,1,World War I,1975
131,2,World War I,1975
103,3,World War I,1975
156,4,World War I,1975
130,1,World War I,1976
111,2,World War I,1976
129,3,World War I,1976
162,4,World War I,1976
136,1,World War I,1977
125,2,World War I,1977
143,3,World War I,1977
141,4,World War I,1977
124,1,World War I,1978
128,2,World War I,1978
65,3,World War I,1978
73,4,World War I,1978
127,1,World War I,1979
119,2,World War I,1979
121,3,World War I,1979
133,4,World War I,1979
136,1,World War I,1980
149,2,World War I,1980
186,3,World War I,1980
268,4,World War I,1980
109,1,World War I,1981
99,2,World War I,1981
119,3,World War I,1981
142,4,World War I,1981
92,1,World War I,1982
97,2,World War I,1982
91,3,World War I,1982
103,4,World War I,1982
95,1,World War I,1983
98,2,World War I,1983
113,3,World War I,1983
88,4,World War I,1983
108,1,World War I,1984
99,2,World War I,1984
104,3,World War I,1984
101,4,World War I,1984
101,1,World War I,1985
118,2,World War I,1985
82,3,World War I,1985
91,4,World War I,1985
71,1,World War I,1986
112,2,World War I,1986
69,3,World War I,1986
95,4,World War I,1986
104,1,World War I,1987
81,2,World War I,1987
89,3,World War I,1987
112,4,World War I,1987
91,1,World War I,1988
83,2,World War I,1988
100,3,World War I,1988
125,4,World War I,1988
100,1,World War I,1989
100,2,World War I,1989
85,3,World War I,1989
111,4,World War I,1989
96,1,World War I,1990
90,2,World War I,1990
80,3,World War I,1990
76,4,World War I,1990
110,1,World War I,1991
73,2,World War I,1991
86,3,World War I,1991
53,4,World War I,1991
62,1,World War I,1992
75,2,World War I,1992
63,3,World War I,1992
71,4,World War I,1992
55,1,World War I,1993
55,2,World War I,1993
52,3,World War I,1993
63,4,World War I,1993
60,1,World War I,1994
75,2,World War I,1994
60,3,World War I,1994
60,4,World War I,1994
56,1,World War I,1995
66,2,World War I,1995
50,3,World War I,1995
62,4,World War I,1995
64,1,World War I,1996
68,2,World War I,1996
64,3,World War I,1996
78,4,World War I,1996
74,1,World War I,1997
68,2,World War I,1997
67,3,World War I,1997
63,4,World War I,1997
88,1,World War I,1998
82,2,World War I,1998
87,3,World War I,1998
91,4,World War I,1998
86,1,World War I,1999
95,2,World War I,1999
89,3,World War I,1999
108,4,World War I,1999
87,1,World War I,2000
92,2,World War I,2000
75,3,World War I,2000
92,4,World War I,2000
58,1,World War I,2001
