hits,quarter,term,year
0,1,anorexia,1900
0,2,anorexia,1900
0,3,anorexia,1900
0,4,anorexia,1900
0,1,anorexia,1901
0,2,anorexia,1901
0,3,anorexia,1901
0,4,anorexia,1901
0,1,anorexia,1902
0,2,anorexia,1902
0,3,anorexia,1902
0,4,anorexia,1902
0,1,anorexia,1903
0,2,anorexia,1903
0,3,anorexia,1903
0,4,anorexia,1903
0,1,anorexia,1904
0,2,anorexia,1904
0,3,anorexia,1904
0,4,anorexia,1904
0,1,anorexia,1905
0,2,anorexia,1905
0,3,anorexia,1905
0,4,anorexia,1905
0,1,anorexia,1906
0,2,anorexia,1906
0,3,anorexia,1906
0,4,anorexia,1906
0,1,anorexia,1907
1,2,anorexia,1907
0,3,anorexia,1907
0,4,anorexia,1907
0,1,anorexia,1908
0,2,anorexia,1908
0,3,anorexia,1908
0,4,anorexia,1908
0,1,anorexia,1909
0,2,anorexia,1909
0,3,anorexia,1909
0,4,anorexia,1909
0,1,anorexia,1910
0,2,anorexia,1910
0,3,anorexia,1910
0,4,anorexia,1910
0,1,anorexia,1911
0,2,anorexia,1911
0,3,anorexia,1911
0,4,anorexia,1911
0,1,anorexia,1912
0,2,anorexia,1912
0,3,anorexia,1912
0,4,anorexia,1912
0,1,anorexia,1913
0,2,anorexia,1913
0,3,anorexia,1913
0,4,anorexia,1913
0,1,anorexia,1914
0,2,anorexia,1914
0,3,anorexia,1914
0,4,anorexia,1914
0,1,anorexia,1915
0,2,anorexia,1915
0,3,anorexia,1915
0,4,anorexia,1915
0,1,anorexia,1916
0,2,anorexia,1916
0,3,anorexia,1916
0,4,anorexia,1916
0,1,anorexia,1917
0,2,anorexia,1917
0,3,anorexia,1917
0,4,anorexia,1917
0,1,anorexia,1918
0,2,anorexia,1918
0,3,anorexia,1918
0,4,anorexia,1918
0,1,anorexia,1919
0,2,anorexia,1919
0,3,anorexia,1919
0,4,anorexia,1919
0,1,anorexia,1920
0,2,anorexia,1920
0,3,anorexia,1920
0,4,anorexia,1920
0,1,anorexia,1921
0,2,anorexia,1921
0,3,anorexia,1921
0,4,anorexia,1921
0,1,anorexia,1922
0,2,anorexia,1922
0,3,anorexia,1922
0,4,anorexia,1922
0,1,anorexia,1923
0,2,anorexia,1923
0,3,anorexia,1923
0,4,anorexia,1923
0,1,anorexia,1924
0,2,anorexia,1924
0,3,anorexia,1924
0,4,anorexia,1924
0,1,anorexia,1925
0,2,anorexia,1925
0,3,anorexia,1925
0,4,anorexia,1925
0,1,anorexia,1926
0,2,anorexia,1926
0,3,anorexia,1926
0,4,anorexia,1926
0,1,anorexia,1927
0,2,anorexia,1927
0,3,anorexia,1927
0,4,anorexia,1927
0,1,anorexia,1928
0,2,anorexia,1928
0,3,anorexia,1928
0,4,anorexia,1928
0,1,anorexia,1929
0,2,anorexia,1929
0,3,anorexia,1929
0,4,anorexia,1929
0,1,anorexia,1930
0,2,anorexia,1930
0,3,anorexia,1930
0,4,anorexia,1930
0,1,anorexia,1931
0,2,anorexia,1931
0,3,anorexia,1931
0,4,anorexia,1931
0,1,anorexia,1932
0,2,anorexia,1932
0,3,anorexia,1932
0,4,anorexia,1932
0,1,anorexia,1933
0,2,anorexia,1933
0,3,anorexia,1933
0,4,anorexia,1933
0,1,anorexia,1934
0,2,anorexia,1934
0,3,anorexia,1934
0,4,anorexia,1934
0,1,anorexia,1935
0,2,anorexia,1935
0,3,anorexia,1935
0,4,anorexia,1935
0,1,anorexia,1936
0,2,anorexia,1936
0,3,anorexia,1936
0,4,anorexia,1936
0,1,anorexia,1937
1,2,anorexia,1937
0,3,anorexia,1937
0,4,anorexia,1937
0,1,anorexia,1938
0,2,anorexia,1938
0,3,anorexia,1938
0,4,anorexia,1938
0,1,anorexia,1939
0,2,anorexia,1939
0,3,anorexia,1939
0,4,anorexia,1939
0,1,anorexia,1940
0,2,anorexia,1940
0,3,anorexia,1940
0,4,anorexia,1940
0,1,anorexia,1941
0,2,anorexia,1941
0,3,anorexia,1941
0,4,anorexia,1941
0,1,anorexia,1942
0,2,anorexia,1942
