hits,quarter,term,year
7,1,asthma,1900
3,2,asthma,1900
8,3,asthma,1900
10,4,asthma,1900
3,1,asthma,1901
7,2,asthma,1901
2,3,asthma,1901
9,4,asthma,1901
5,1,asthma,1902
5,2,asthma,1902
9,3,asthma,1902
4,4,asthma,1902
9,1,asthma,1903
10,2,asthma,1903
5,3,asthma,1903
6,4,asthma,1903
3,1,asthma,1904
4,2,asthma,1904
4,3,asthma,1904
4,4,asthma,1904
11,1,asthma,1905
5,2,asthma,1905
6,3,asthma,1905
4,4,asthma,1905
10,1,asthma,1906
1,2,asthma,1906
6,3,asthma,1906
3,4,asthma,1906
5,1,asthma,1907
7,2,asthma,1907
8,3,asthma,1907
4,4,asthma,1907
10,1,asthma,1908
6,2,asthma,1908
3,3,asthma,1908
2,4,asthma,1908
7,1,asthma,1909
3,2,asthma,1909
8,3,asthma,1909
4,4,asthma,1909
6,1,asthma,1910
6,2,asthma,1910
6,3,asthma,1910
6,4,asthma,1910
1,1,asthma,1911
4,2,asthma,1911
2,3,asthma,1911
8,4,asthma,1911
7,1,asthma,1912
3,2,asthma,1912
6,3,asthma,1912
10,4,asthma,1912
2,1,asthma,1913
3,2,asthma,1913
3,3,asthma,1913
4,4,asthma,1913
7,1,asthma,1914
4,2,asthma,1914
6,3,asthma,1914
1,4,asthma,1914
3,1,asthma,1915
1,2,asthma,1915
2,3,asthma,1915
4,4,asthma,1915
1,1,asthma,1916
1,2,asthma,1916
2,3,asthma,1916
2,4,asthma,1916
4,1,asthma,1917
1,2,asthma,1917
1,3,asthma,1917
2,4,asthma,1917
1,1,asthma,1918
1,2,asthma,1918
0,3,asthma,1918
2,4,asthma,1918
1,1,asthma,1919
2,2,asthma,1919
4,3,asthma,1919
1,4,asthma,1919
2,1,asthma,1920
1,2,asthma,1920
4,3,asthma,1920
5,4,asthma,1920
2,1,asthma,1921
3,2,asthma,1921
4,3,asthma,1921
6,4,asthma,1921
5,1,asthma,1922
7,2,asthma,1922
7,3,asthma,1922
4,4,asthma,1922
11,1,asthma,1923
2,2,asthma,1923
3,3,asthma,1923
5,4,asthma,1923
6,1,asthma,1924
9,2,asthma,1924
3,3,asthma,1924
10,4,asthma,1924
8,1,asthma,1925
8,2,asthma,1925
5,3,asthma,1925
8,4,asthma,1925
5,1,asthma,1926
7,2,asthma,1926
7,3,asthma,1926
14,4,asthma,1926
4,1,asthma,1927
13,2,asthma,1927
9,3,asthma,1927
7,4,asthma,1927
7,1,asthma,1928
3,2,asthma,1928
16,3,asthma,1928
19,4,asthma,1928
16,1,asthma,1929
14,2,asthma,1929
17,3,asthma,1929
10,4,asthma,1929
8,1,asthma,1930
8,2,asthma,1930
5,3,asthma,1930
19,4,asthma,1930
6,1,asthma,1931
11,2,asthma,1931
11,3,asthma,1931
21,4,asthma,1931
15,1,asthma,1932
12,2,asthma,1932
16,3,asthma,1932
10,4,asthma,1932
4,1,asthma,1933
7,2,asthma,1933
9,3,asthma,1933
14,4,asthma,1933
4,1,asthma,1934
7,2,asthma,1934
7,3,asthma,1934
14,4,asthma,1934
13,1,asthma,1935
5,2,asthma,1935
18,3,asthma,1935
24,4,asthma,1935
6,1,asthma,1936
12,2,asthma,1936
14,3,asthma,1936
27,4,asthma,1936
23,1,asthma,1937
20,2,asthma,1937
12,3,asthma,1937
12,4,asthma,1937
4,1,asthma,1938
10,2,asthma,1938
10,3,asthma,1938
15,4,asthma,1938
8,1,asthma,1939
6,2,asthma,1939
7,3,asthma,1939
13,4,asthma,1939
7,1,asthma,1940
14,2,asthma,1940
5,3,asthma,1940
17,4,asthma,1940
4,1,asthma,1941
7,2,asthma,1941
7,3,asthma,1941
9,4,asthma,1941
7,1,asthma,1942
11,2,asthma,1942
7,3,asthma,1942
4,4,asthma,1942
4,1,asthma,1943
7,2,asthma,1943
