hits,quarter,term,year
0,1,behavioral health,1900
0,2,behavioral health,1900
0,3,behavioral health,1900
0,4,behavioral health,1900
0,1,behavioral health,1901
0,2,behavioral health,1901
0,3,behavioral health,1901
0,4,behavioral health,1901
0,1,behavioral health,1902
0,2,behavioral health,1902
0,3,behavioral health,1902
0,4,behavioral health,1902
0,1,behavioral health,1903
0,2,behavioral health,1903
0,3,behavioral health,1903
0,4,behavioral health,1903
0,1,behavioral health,1904
0,2,behavioral health,1904
0,3,behavioral health,1904
0,4,behavioral health,1904
0,1,behavioral health,1905
0,2,behavioral health,1905
0,3,behavioral health,1905
0,4,behavioral health,1905
0,1,behavioral health,1906
0,2,behavioral health,1906
0,3,behavioral health,1906
0,4,behavioral health,1906
0,1,behavioral health,1907
0,2,behavioral health,1907
0,3,behavioral health,1907
0,4,behavioral health,1907
0,1,behavioral health,1908
0,2,behavioral health,1908
0,3,behavioral health,1908
0,4,behavioral health,1908
0,1,behavioral health,1909
0,2,behavioral health,1909
0,3,behavioral health,1909
0,4,behavioral health,1909
0,1,behavioral health,1910
0,2,behavioral health,1910
0,3,behavioral health,1910
0,4,behavioral health,1910
0,1,behavioral health,1911
0,2,behavioral health,1911
0,3,behavioral health,1911
0,4,behavioral health,1911
0,1,behavioral health,1912
0,2,behavioral health,1912
0,3,behavioral health,1912
0,4,behavioral health,1912
0,1,behavioral health,1913
0,2,behavioral health,1913
0,3,behavioral health,1913
0,4,behavioral health,1913
0,1,behavioral health,1914
0,2,behavioral health,1914
0,3,behavioral health,1914
0,4,behavioral health,1914
0,1,behavioral health,1915
0,2,behavioral health,1915
0,3,behavioral health,1915
0,4,behavioral health,1915
0,1,behavioral health,1916
0,2,behavioral health,1916
0,3,behavioral health,1916
0,4,behavioral health,1916
0,1,behavioral health,1917
0,2,behavioral health,1917
0,3,behavioral health,1917
0,4,behavioral health,1917
0,1,behavioral health,1918
0,2,behavioral health,1918
0,3,behavioral health,1918
0,4,behavioral health,1918
0,1,behavioral health,1919
0,2,behavioral health,1919
0,3,behavioral health,1919
0,4,behavioral health,1919
0,1,behavioral health,1920
0,2,behavioral health,1920
0,3,behavioral health,1920
0,4,behavioral health,1920
0,1,behavioral health,1921
0,2,behavioral health,1921
0,3,behavioral health,1921
0,4,behavioral health,1921
0,1,behavioral health,1922
0,2,behavioral health,1922
0,3,behavioral health,1922
