hits,quarter,term,year
0,1,borderline personality,1900
0,2,borderline personality,1900
0,3,borderline personality,1900
0,4,borderline personality,1900
0,1,borderline personality,1901
0,2,borderline personality,1901
0,3,borderline personality,1901
0,4,borderline personality,1901
0,1,borderline personality,1902
0,2,borderline personality,1902
0,3,borderline personality,1902
0,4,borderline personality,1902
0,1,borderline personality,1903
0,2,borderline personality,1903
0,3,borderline personality,1903
0,4,borderline personality,1903
0,1,borderline personality,1904
0,2,borderline personality,1904
0,3,borderline personality,1904
0,4,borderline personality,1904
0,1,borderline personality,1905
0,2,borderline personality,1905
0,3,borderline personality,1905
0,4,borderline personality,1905
0,1,borderline personality,1906
0,2,borderline personality,1906
0,3,borderline personality,1906
0,4,borderline personality,1906
0,1,borderline personality,1907
0,2,borderline personality,1907
0,3,borderline personality,1907
0,4,borderline personality,1907
0,1,borderline personality,1908
0,2,borderline personality,1908
0,3,borderline personality,1908
0,4,borderline personality,1908
0,1,borderline personality,1909
0,2,borderline personality,1909
0,3,borderline personality,1909
0,4,borderline personality,1909
0,1,borderline personality,1910
0,2,borderline personality,1910
0,3,borderline personality,1910
0,4,borderline personality,1910
0,1,borderline personality,1911
0,2,borderline personality,1911
0,4,borderline personality,1911
0,1,borderline personality,1912
0,2,borderline personality,1912
0,3,borderline personality,1912
0,4,borderline personality,1912
0,1,borderline personality,1913
0,2,borderline personality,1913
0,3,borderline personality,1913
0,4,borderline personality,1913
0,1,borderline personality,1914
0,2,borderline personality,1914
0,3,borderline personality,1914
0,4,borderline personality,1914
0,1,borderline personality,1915
0,2,borderline personality,1915
0,3,borderline personality,1915
0,4,borderline personality,1915
0,1,borderline personality,1916
0,2,borderline personality,1916
0,3,borderline personality,1916
0,4,borderline personality,1916
0,1,borderline personality,1917
0,2,borderline personality,1917
0,3,borderline personality,1917
0,4,borderline personality,1917
0,1,borderline personality,1918
0,2,borderline personality,1918
0,3,borderline personality,1918
0,4,borderline personality,1918
0,1,borderline personality,1919
0,2,borderline personality,1919
0,3,borderline personality,1919
0,4,borderline personality,1919
0,1,borderline personality,1920
0,2,borderline personality,1920
0,3,borderline personality,1920
0,4,borderline personality,1920
0,1,borderline personality,1921
0,2,borderline personality,1921
0,3,borderline personality,1921
0,4,borderline personality,1921
0,1,borderline personality,1922
0,2,borderline personality,1922
0,3,borderline personality,1922
0,4,borderline personality,1922
0,1,borderline personality,1923
0,2,borderline personality,1923
0,3,borderline personality,1923
0,4,borderline personality,1923
0,1,borderline personality,1924
0,2,borderline personality,1924
0,3,borderline personality,1924
0,4,borderline personality,1924
0,1,borderline personality,1925
0,2,borderline personality,1925
0,3,borderline personality,1925
0,4,borderline personality,1925
0,1,borderline personality,1926
0,2,borderline personality,1926
0,3,borderline personality,1926
0,4,borderline personality,1926
0,1,borderline personality,1927
0,2,borderline personality,1927
0,3,borderline personality,1927
0,4,borderline personality,1927
0,1,borderline personality,1928
0,2,borderline personality,1928
0,3,borderline personality,1928
0,4,borderline personality,1928
0,1,borderline personality,1929
0,2,borderline personality,1929
0,3,borderline personality,1929
0,4,borderline personality,1929
0,1,borderline personality,1930
0,2,borderline personality,1930
0,3,borderline personality,1930
0,4,borderline personality,1930
0,1,borderline personality,1931
0,2,borderline personality,1931
0,3,borderline personality,1931
0,4,borderline personality,1931
0,1,borderline personality,1932
0,2,borderline personality,1932
0,3,borderline personality,1932
0,4,borderline personality,1932
0,1,borderline personality,1933
0,2,borderline personality,1933
0,3,borderline personality,1933
0,4,borderline personality,1933
0,1,borderline personality,1934
0,2,borderline personality,1934
0,3,borderline personality,1934
0,4,borderline personality,1934
0,1,borderline personality,1935
0,2,borderline personality,1935
0,3,borderline personality,1935
0,4,borderline personality,1935
0,1,borderline personality,1936
0,2,borderline personality,1936
0,3,borderline personality,1936
0,4,borderline personality,1936
0,1,borderline personality,1937
0,2,borderline personality,1937
0,3,borderline personality,1937
0,4,borderline personality,1937
0,1,borderline personality,1938
0,2,borderline personality,1938
0,3,borderline personality,1938
0,4,borderline personality,1938
0,1,borderline personality,1939
0,2,borderline personality,1939
0,3,borderline personality,1939
0,4,borderline personality,1939
0,1,borderline personality,1940
0,2,borderline personality,1940
0,3,borderline personality,1940
0,4,borderline personality,1940
0,1,borderline personality,1941
0,2,borderline personality,1941
0,3,borderline personality,1941
0,4,borderline personality,1941
0,1,borderline personality,1942
0,2,borderline personality,1942
0,3,borderline personality,1942
0,4,borderline personality,1942
0,1,borderline personality,1943
0,2,borderline personality,1943
0,3,borderline personality,1943
0,4,borderline personality,1943
0,1,borderline personality,1944
0,2,borderline personality,1944
0,3,borderline personality,1944
0,4,borderline personality,1944
0,1,borderline personality,1945
0,2,borderline personality,1945
0,3,borderline personality,1945
0,4,borderline personality,1945
0,1,borderline personality,1946
0,2,borderline personality,1946
0,3,borderline personality,1946
0,4,borderline personality,1946
0,1,borderline personality,1947
0,2,borderline personality,1947
0,3,borderline personality,1947
0,4,borderline personality,1947
0,1,borderline personality,1948
0,2,borderline personality,1948
0,3,borderline personality,1948
0,4,borderline personality,1948
0,1,borderline personality,1949
0,2,borderline personality,1949
0,3,borderline personality,1949
0,4,borderline personality,1949
0,1,borderline personality,1950
0,2,borderline personality,1950
0,3,borderline personality,1950
0,4,borderline personality,1950
0,1,borderline personality,1951
0,2,borderline personality,1951
0,3,borderline personality,1951
0,4,borderline personality,1951
0,1,borderline personality,1952
0,2,borderline personality,1952
0,3,borderline personality,1952
0,4,borderline personality,1952
0,1,borderline personality,1953
0,2,borderline personality,1953
0,3,borderline personality,1953
0,4,borderline personality,1953
0,1,borderline personality,1954
0,2,borderline personality,1954
0,3,borderline personality,1954
0,4,borderline personality,1954
0,1,borderline personality,1955
0,2,borderline personality,1955
0,3,borderline personality,1955
0,4,borderline personality,1955
0,1,borderline personality,1956
0,2,borderline personality,1956
0,3,borderline personality,1956
0,4,borderline personality,1956
0,1,borderline personality,1957
0,2,borderline personality,1957
0,3,borderline personality,1957
0,4,borderline personality,1957
0,1,borderline personality,1958
0,2,borderline personality,1958
0,3,borderline personality,1958
0,4,borderline personality,1958
0,1,borderline personality,1959
0,2,borderline personality,1959
0,3,borderline personality,1959
0,4,borderline personality,1959
0,1,borderline personality,1960
0,2,borderline personality,1960
0,3,borderline personality,1960
0,4,borderline personality,1960
0,1,borderline personality,1961
0,2,borderline personality,1961
0,3,borderline personality,1961
0,4,borderline personality,1961
0,1,borderline personality,1962
0,2,borderline personality,1962
0,3,borderline personality,1962
0,4,borderline personality,1962
0,1,borderline personality,1963
0,2,borderline personality,1963
0,3,borderline personality,1963
0,4,borderline personality,1963
0,1,borderline personality,1964
0,2,borderline personality,1964
0,3,borderline personality,1964
0,4,borderline personality,1964
0,1,borderline personality,1965
0,2,borderline personality,1965
0,3,borderline personality,1965
0,4,borderline personality,1965
0,1,borderline personality,1966
0,2,borderline personality,1966
0,3,borderline personality,1966
0,4,borderline personality,1966
0,1,borderline personality,1967
0,2,borderline personality,1967
1,3,borderline personality,1967
0,4,borderline personality,1967
0,1,borderline personality,1968
0,2,borderline personality,1968
0,3,borderline personality,1968
0,4,borderline personality,1968
0,1,borderline personality,1969
0,2,borderline personality,1969
0,3,borderline personality,1969
0,4,borderline personality,1969
0,1,borderline personality,1970
0,2,borderline personality,1970
0,3,borderline personality,1970
0,4,borderline personality,1970
0,1,borderline personality,1971
0,2,borderline personality,1971
0,3,borderline personality,1971
0,4,borderline personality,1971
0,1,borderline personality,1972
0,2,borderline personality,1972
0,3,borderline personality,1972
0,4,borderline personality,1972
0,1,borderline personality,1973
0,2,borderline personality,1973
0,3,borderline personality,1973
0,4,borderline personality,1973
0,1,borderline personality,1974
0,2,borderline personality,1974
0,3,borderline personality,1974
0,4,borderline personality,1974
0,1,borderline personality,1975
0,2,borderline personality,1975
0,3,borderline personality,1975
2,4,borderline personality,1975
0,1,borderline personality,1976
0,2,borderline personality,1976
0,3,borderline personality,1976
0,4,borderline personality,1976
0,1,borderline personality,1977
0,2,borderline personality,1977
2,3,borderline personality,1977
0,4,borderline personality,1977
0,1,borderline personality,1978
2,2,borderline personality,1978
0,3,borderline personality,1978
0,4,borderline personality,1978
0,1,borderline personality,1979
1,2,borderline personality,1979
0,3,borderline personality,1979
0,4,borderline personality,1979
0,1,borderline personality,1980
0,2,borderline personality,1980
0,3,borderline personality,1980
0,4,borderline personality,1980
0,1,borderline personality,1981
0,2,borderline personality,1981
0,3,borderline personality,1981
0,4,borderline personality,1981
2,1,borderline personality,1982
1,2,borderline personality,1982
2,3,borderline personality,1982
2,4,borderline personality,1982
0,1,borderline personality,1983
0,2,borderline personality,1983
0,3,borderline personality,1983
0,4,borderline personality,1983
0,1,borderline personality,1984
1,2,borderline personality,1984
0,3,borderline personality,1984
0,4,borderline personality,1984
1,1,borderline personality,1985
0,2,borderline personality,1985
0,3,borderline personality,1985
0,4,borderline personality,1985
0,1,borderline personality,1986
0,2,borderline personality,1986
1,3,borderline personality,1986
0,4,borderline personality,1986
0,1,borderline personality,1987
1,2,borderline personality,1987
0,3,borderline personality,1987
0,4,borderline personality,1987
0,1,borderline personality,1988
1,2,borderline personality,1988
0,3,borderline personality,1988
1,4,borderline personality,1988
1,1,borderline personality,1989
1,2,borderline personality,1989
0,3,borderline personality,1989
2,4,borderline personality,1989
0,1,borderline personality,1990
1,2,borderline personality,1990
0,3,borderline personality,1990
0,4,borderline personality,1990
0,1,borderline personality,1991
0,2,borderline personality,1991
3,3,borderline personality,1991
1,4,borderline personality,1991
0,1,borderline personality,1992
0,2,borderline personality,1992
1,3,borderline personality,1992
1,4,borderline personality,1992
0,1,borderline personality,1993
2,2,borderline personality,1993
0,3,borderline personality,1993
0,4,borderline personality,1993
0,1,borderline personality,1994
0,2,borderline personality,1994
1,3,borderline personality,1994
0,4,borderline personality,1994
2,1,borderline personality,1995
0,2,borderline personality,1995
0,3,borderline personality,1995
1,4,borderline personality,1995
2,1,borderline personality,1996
2,2,borderline personality,1996
1,3,borderline personality,1996
0,4,borderline personality,1996
2,1,borderline personality,1997
5,2,borderline personality,1997
3,3,borderline personality,1997
1,4,borderline personality,1997
0,1,borderline personality,1998
0,2,borderline personality,1998
2,3,borderline personality,1998
2,4,borderline personality,1998
3,1,borderline personality,1999
0,2,borderline personality,1999
1,3,borderline personality,1999
4,4,borderline personality,1999
2,1,borderline personality,2000
0,2,borderline personality,2000
2,3,borderline personality,2000
0,4,borderline personality,2000
0,1,borderline personality,2001
0,2,borderline personality,2001
0,3,borderline personality,2001
0,4,borderline personality,2001
0,1,borderline personality,2002
1,2,borderline personality,2002
0,3,borderline personality,2002
1,4,borderline personality,2002
1,1,borderline personality,2003
2,2,borderline personality,2003
0,3,borderline personality,2003
1,4,borderline personality,2003
2,1,borderline personality,2004
0,2,borderline personality,2004
4,3,borderline personality,2004
3,4,borderline personality,2004
0,1,borderline personality,2005
3,2,borderline personality,2005
1,3,borderline personality,2005
0,4,borderline personality,2005
1,1,borderline personality,2006
5,2,borderline personality,2006
0,3,borderline personality,2006
0,4,borderline personality,2006
0,1,borderline personality,2007
