hits,quarter,term,year
30,1,cancer,1900
22,2,cancer,1900
17,3,cancer,1900
27,4,cancer,1900
39,1,cancer,1901
31,2,cancer,1901
25,3,cancer,1901
38,4,cancer,1901
27,1,cancer,1902
28,2,cancer,1902
23,3,cancer,1902
27,4,cancer,1902
30,1,cancer,1903
19,2,cancer,1903
37,3,cancer,1903
32,4,cancer,1903
20,1,cancer,1904
26,2,cancer,1904
31,3,cancer,1904
12,4,cancer,1904
33,1,cancer,1905
21,2,cancer,1905
28,3,cancer,1905
13,4,cancer,1905
28,1,cancer,1906
35,2,cancer,1906
28,3,cancer,1906
38,4,cancer,1906
45,1,cancer,1907
28,2,cancer,1907
31,3,cancer,1907
42,4,cancer,1907
30,1,cancer,1908
31,2,cancer,1908
43,3,cancer,1908
53,4,cancer,1908
42,1,cancer,1909
34,2,cancer,1909
37,3,cancer,1909
49,4,cancer,1909
36,1,cancer,1910
41,2,cancer,1910
35,3,cancer,1910
35,4,cancer,1910
54,1,cancer,1911
21,2,cancer,1911
36,3,cancer,1911
44,4,cancer,1911
63,1,cancer,1912
50,2,cancer,1912
42,3,cancer,1912
63,4,cancer,1912
43,1,cancer,1913
49,2,cancer,1913
33,3,cancer,1913
69,4,cancer,1913
133,1,cancer,1914
67,2,cancer,1914
23,3,cancer,1914
23,4,cancer,1914
36,1,cancer,1915
46,2,cancer,1915
31,3,cancer,1915
38,4,cancer,1915
35,1,cancer,1916
26,2,cancer,1916
15,3,cancer,1916
23,4,cancer,1916
14,1,cancer,1917
18,2,cancer,1917
19,3,cancer,1917
19,4,cancer,1917
16,1,cancer,1918
21,2,cancer,1918
6,3,cancer,1918
10,4,cancer,1918
17,1,cancer,1919
16,2,cancer,1919
10,3,cancer,1919
26,4,cancer,1919
18,1,cancer,1920
28,2,cancer,1920
16,3,cancer,1920
16,4,cancer,1920
31,1,cancer,1921
36,2,cancer,1921
29,3,cancer,1921
47,4,cancer,1921
26,1,cancer,1922
30,2,cancer,1922
36,3,cancer,1922
42,4,cancer,1922
38,1,cancer,1923
42,2,cancer,1923
38,3,cancer,1923
36,4,cancer,1923
31,1,cancer,1924
61,2,cancer,1924
37,3,cancer,1924
61,4,cancer,1924
62,1,cancer,1925
64,2,cancer,1925
75,3,cancer,1925
70,4,cancer,1925
71,1,cancer,1926
62,2,cancer,1926
63,3,cancer,1926
106,4,cancer,1926
88,1,cancer,1927
83,2,cancer,1927
69,3,cancer,1927
105,4,cancer,1927
116,1,cancer,1928
89,2,cancer,1928
74,3,cancer,1928
106,4,cancer,1928
100,1,cancer,1929
76,2,cancer,1929
70,3,cancer,1929
142,4,cancer,1929
102,1,cancer,1930
91,2,cancer,1930
87,3,cancer,1930
101,4,cancer,1930
103,1,cancer,1931
104,2,cancer,1931
84,3,cancer,1931
113,4,cancer,1931
72,1,cancer,1932
59,2,cancer,1932
75,3,cancer,1932
126,4,cancer,1932
98,1,cancer,1933
73,2,cancer,1933
63,3,cancer,1933
104,4,cancer,1933
82,1,cancer,1934
102,2,cancer,1934
89,3,cancer,1934
74,4,cancer,1934
75,1,cancer,1935
99,2,cancer,1935
76,3,cancer,1935
89,4,cancer,1935
70,1,cancer,1936
85,2,cancer,1936
53,3,cancer,1936
117,4,cancer,1936
106,1,cancer,1937
126,2,cancer,1937
83,3,cancer,1937
126,4,cancer,1937
113,1,cancer,1938
110,2,cancer,1938
66,3,cancer,1938
142,4,cancer,1938
98,1,cancer,1939
117,2,cancer,1939
88,3,cancer,1939
109,4,cancer,1939
59,1,cancer,1940
101,2,cancer,1940
54,3,cancer,1940
91,4,cancer,1940
51,1,cancer,1941
50,2,cancer,1941
36,3,cancer,1941
69,4,cancer,1941
41,1,cancer,1942
40,2,cancer,1942
32,3,cancer,1942
52,4,cancer,1942
37,1,cancer,1943
39,2,cancer,1943
25,3,cancer,1943
46,4,cancer,1943
42,1,cancer,1944
45,2,cancer,1944
34,3,cancer,1944
53,4,cancer,1944
55,1,cancer,1945
74,2,cancer,1945
57,3,cancer,1945
91,4,cancer,1945
118,1,cancer,1946
173,2,cancer,1946
90,3,cancer,1946
130,4,cancer,1946
139,1,cancer,1947
161,2,cancer,1947
157,3,cancer,1947
164,4,cancer,1947
170,1,cancer,1948
190,2,cancer,1948
130,3,cancer,1948
167,4,cancer,1948
163,1,cancer,1949
210,2,cancer,1949
146,3,cancer,1949
212,4,cancer,1949
283,1,cancer,1950
267,2,cancer,1950
171,3,cancer,1950
224,4,cancer,1950
182,1,cancer,1951
269,2,cancer,1951
180,3,cancer,1951
227,4,cancer,1951
213,1,cancer,1952
217,2,cancer,1952
158,3,cancer,1952
192,4,cancer,1952
188,1,cancer,1953
201,2,cancer,1953
183,3,cancer,1953
199,4,cancer,1953
215,1,cancer,1954
229,2,cancer,1954
199,3,cancer,1954
197,4,cancer,1954
172,1,cancer,1955
217,2,cancer,1955
177,3,cancer,1955
232,4,cancer,1955
260,1,cancer,1956
274,2,cancer,1956
245,3,cancer,1956
307,4,cancer,1956
311,1,cancer,1957
300,2,cancer,1957
286,3,cancer,1957
291,4,cancer,1957
287,1,cancer,1958
275,2,cancer,1958
267,3,cancer,1958
229,4,cancer,1958
329,1,cancer,1959
387,2,cancer,1959
285,3,cancer,1959
354,4,cancer,1959
303,1,cancer,1960
292,2,cancer,1960
242,3,cancer,1960
256,4,cancer,1960
275,1,cancer,1961
319,2,cancer,1961
267,3,cancer,1961
325,4,cancer,1961
303,1,cancer,1962
299,2,cancer,1962
312,3,cancer,1962
261,4,cancer,1962
65,1,cancer,1963
342,2,cancer,1963
304,3,cancer,1963
347,4,cancer,1963
367,1,cancer,1964
251,2,cancer,1964
252,3,cancer,1964
279,4,cancer,1964
328,1,cancer,1965
322,2,cancer,1965
224,3,cancer,1965
239,4,cancer,1965
300,1,cancer,1966
279,2,cancer,1966
220,3,cancer,1966
318,4,cancer,1966
322,1,cancer,1967
307,2,cancer,1967
294,3,cancer,1967
261,4,cancer,1967
284,1,cancer,1968
239,2,cancer,1968
246,3,cancer,1968
236,4,cancer,1968
227,1,cancer,1969
235,2,cancer,1969
244,3,cancer,1969
303,4,cancer,1969
335,1,cancer,1970
331,2,cancer,1970
273,3,cancer,1970
314,4,cancer,1970
302,1,cancer,1971
286,2,cancer,1971
