hits,quarter,term,year
2,1,diabetes,1900
4,2,diabetes,1900
6,3,diabetes,1900
2,4,diabetes,1900
4,1,diabetes,1901
7,2,diabetes,1901
3,3,diabetes,1901
6,4,diabetes,1901
2,1,diabetes,1902
6,2,diabetes,1902
7,3,diabetes,1902
9,4,diabetes,1902
5,1,diabetes,1903
10,2,diabetes,1903
4,3,diabetes,1903
4,4,diabetes,1903
6,1,diabetes,1904
1,2,diabetes,1904
7,3,diabetes,1904
1,4,diabetes,1904
3,1,diabetes,1905
3,2,diabetes,1905
3,3,diabetes,1905
5,4,diabetes,1905
3,1,diabetes,1906
4,2,diabetes,1906
3,3,diabetes,1906
4,4,diabetes,1906
0,1,diabetes,1907
5,2,diabetes,1907
6,3,diabetes,1907
7,4,diabetes,1907
10,1,diabetes,1908
2,2,diabetes,1908
6,3,diabetes,1908
6,4,diabetes,1908
3,1,diabetes,1909
2,2,diabetes,1909
6,3,diabetes,1909
7,4,diabetes,1909
6,1,diabetes,1910
4,2,diabetes,1910
4,3,diabetes,1910
5,4,diabetes,1910
10,1,diabetes,1911
8,2,diabetes,1911
7,3,diabetes,1911
13,4,diabetes,1911
12,1,diabetes,1912
7,2,diabetes,1912
9,3,diabetes,1912
9,4,diabetes,1912
13,1,diabetes,1913
6,2,diabetes,1913
8,3,diabetes,1913
5,4,diabetes,1913
13,1,diabetes,1914
6,2,diabetes,1914
5,3,diabetes,1914
3,4,diabetes,1914
5,1,diabetes,1915
6,2,diabetes,1915
6,3,diabetes,1915
13,4,diabetes,1915
9,1,diabetes,1916
5,2,diabetes,1916
4,3,diabetes,1916
4,4,diabetes,1916
0,1,diabetes,1917
3,2,diabetes,1917
5,3,diabetes,1917
3,4,diabetes,1917
8,1,diabetes,1918
2,2,diabetes,1918
3,3,diabetes,1918
3,4,diabetes,1918
2,1,diabetes,1919
2,2,diabetes,1919
6,3,diabetes,1919
1,4,diabetes,1919
1,1,diabetes,1920
9,2,diabetes,1920
4,3,diabetes,1920
0,4,diabetes,1920
4,1,diabetes,1921
6,2,diabetes,1921
8,3,diabetes,1921
6,4,diabetes,1921
6,1,diabetes,1922
5,2,diabetes,1922
2,3,diabetes,1922
9,4,diabetes,1922
10,1,diabetes,1923
26,2,diabetes,1923
23,3,diabetes,1923
16,4,diabetes,1923
21,1,diabetes,1924
15,2,diabetes,1924
14,3,diabetes,1924
22,4,diabetes,1924
12,1,diabetes,1925
7,2,diabetes,1925
17,3,diabetes,1925
18,4,diabetes,1925
16,1,diabetes,1926
13,2,diabetes,1926
15,3,diabetes,1926
13,4,diabetes,1926
16,1,diabetes,1927
17,2,diabetes,1927
10,3,diabetes,1927
19,4,diabetes,1927
10,1,diabetes,1928
15,2,diabetes,1928
19,3,diabetes,1928
24,4,diabetes,1928
12,1,diabetes,1929
18,2,diabetes,1929
13,3,diabetes,1929
24,4,diabetes,1929
15,1,diabetes,1930
17,2,diabetes,1930
13,3,diabetes,1930
22,4,diabetes,1930
22,1,diabetes,1931
19,2,diabetes,1931
22,3,diabetes,1931
22,4,diabetes,1931
22,1,diabetes,1932
25,2,diabetes,1932
15,3,diabetes,1932
32,4,diabetes,1932
27,1,diabetes,1933
21,2,diabetes,1933
15,3,diabetes,1933
19,4,diabetes,1933
14,1,diabetes,1934
14,2,diabetes,1934
10,3,diabetes,1934
18,4,diabetes,1934
19,1,diabetes,1935
25,2,diabetes,1935
16,3,diabetes,1935
32,4,diabetes,1935
19,1,diabetes,1936
13,2,diabetes,1936
15,3,diabetes,1936
25,4,diabetes,1936
20,1,diabetes,1937
31,2,diabetes,1937
