hits,quarter,term,year
0,1,disaster AND PTSD,1900
0,2,disaster AND PTSD,1900
0,3,disaster AND PTSD,1900
0,4,disaster AND PTSD,1900
0,1,disaster AND PTSD,1901
0,2,disaster AND PTSD,1901
0,3,disaster AND PTSD,1901
0,4,disaster AND PTSD,1901
0,1,disaster AND PTSD,1902
0,2,disaster AND PTSD,1902
0,3,disaster AND PTSD,1902
0,4,disaster AND PTSD,1902
0,1,disaster AND PTSD,1903
0,2,disaster AND PTSD,1903
0,3,disaster AND PTSD,1903
0,4,disaster AND PTSD,1903
0,1,disaster AND PTSD,1904
0,2,disaster AND PTSD,1904
0,3,disaster AND PTSD,1904
0,4,disaster AND PTSD,1904
0,1,disaster AND PTSD,1905
0,2,disaster AND PTSD,1905
0,3,disaster AND PTSD,1905
0,4,disaster AND PTSD,1905
0,1,disaster AND PTSD,1906
0,2,disaster AND PTSD,1906
0,3,disaster AND PTSD,1906
0,4,disaster AND PTSD,1906
0,1,disaster AND PTSD,1907
0,2,disaster AND PTSD,1907
0,3,disaster AND PTSD,1907
0,4,disaster AND PTSD,1907
0,1,disaster AND PTSD,1908
0,2,disaster AND PTSD,1908
0,3,disaster AND PTSD,1908
0,4,disaster AND PTSD,1908
0,1,disaster AND PTSD,1909
0,2,disaster AND PTSD,1909
0,3,disaster AND PTSD,1909
0,4,disaster AND PTSD,1909
0,1,disaster AND PTSD,1910
0,2,disaster AND PTSD,1910
0,3,disaster AND PTSD,1910
0,4,disaster AND PTSD,1910
0,1,disaster AND PTSD,1911
0,2,disaster AND PTSD,1911
0,3,disaster AND PTSD,1911
0,4,disaster AND PTSD,1911
0,1,disaster AND PTSD,1912
0,2,disaster AND PTSD,1912
0,3,disaster AND PTSD,1912
0,4,disaster AND PTSD,1912
0,1,disaster AND PTSD,1913
0,2,disaster AND PTSD,1913
0,3,disaster AND PTSD,1913
0,4,disaster AND PTSD,1913
0,1,disaster AND PTSD,1914
0,2,disaster AND PTSD,1914
0,3,disaster AND PTSD,1914
0,4,disaster AND PTSD,1914
0,1,disaster AND PTSD,1915
0,2,disaster AND PTSD,1915
