hits,quarter,term,year
0,1,eating disorder,1900
0,2,eating disorder,1900
0,3,eating disorder,1900
0,4,eating disorder,1900
0,1,eating disorder,1901
0,2,eating disorder,1901
0,3,eating disorder,1901
0,4,eating disorder,1901
0,1,eating disorder,1902
0,2,eating disorder,1902
0,3,eating disorder,1902
0,4,eating disorder,1902
0,1,eating disorder,1903
0,2,eating disorder,1903
0,3,eating disorder,1903
0,4,eating disorder,1903
0,1,eating disorder,1904
0,2,eating disorder,1904
0,3,eating disorder,1904
0,4,eating disorder,1904
0,1,eating disorder,1905
0,2,eating disorder,1905
0,3,eating disorder,1905
0,4,eating disorder,1905
0,1,eating disorder,1906
0,2,eating disorder,1906
0,3,eating disorder,1906
0,4,eating disorder,1906
0,1,eating disorder,1907
0,2,eating disorder,1907
0,3,eating disorder,1907
0,4,eating disorder,1907
0,1,eating disorder,1908
0,2,eating disorder,1908
0,3,eating disorder,1908
0,4,eating disorder,1908
0,1,eating disorder,1909
0,2,eating disorder,1909
0,3,eating disorder,1909
0,4,eating disorder,1909
0,1,eating disorder,1910
0,2,eating disorder,1910
0,3,eating disorder,1910
0,4,eating disorder,1910
0,1,eating disorder,1911
0,2,eating disorder,1911
0,3,eating disorder,1911
0,4,eating disorder,1911
0,1,eating disorder,1912
0,2,eating disorder,1912
0,3,eating disorder,1912
0,4,eating disorder,1912
0,1,eating disorder,1913
0,2,eating disorder,1913
0,3,eating disorder,1913
0,4,eating disorder,1913
0,1,eating disorder,1914
0,2,eating disorder,1914
0,3,eating disorder,1914
0,4,eating disorder,1914
0,1,eating disorder,1915
0,2,eating disorder,1915
0,3,eating disorder,1915
0,4,eating disorder,1915
0,1,eating disorder,1916
0,2,eating disorder,1916
0,3,eating disorder,1916
0,4,eating disorder,1916
0,1,eating disorder,1917
0,2,eating disorder,1917
0,3,eating disorder,1917
0,4,eating disorder,1917
0,1,eating disorder,1918
0,2,eating disorder,1918
0,3,eating disorder,1918
0,4,eating disorder,1918
0,1,eating disorder,1919
0,2,eating disorder,1919
0,3,eating disorder,1919
0,4,eating disorder,1919
0,1,eating disorder,1920
0,2,eating disorder,1920
0,3,eating disorder,1920
0,4,eating disorder,1920
0,1,eating disorder,1921
0,2,eating disorder,1921
0,3,eating disorder,1921
0,4,eating disorder,1921
0,1,eating disorder,1922
0,2,eating disorder,1922
0,3,eating disorder,1922
0,4,eating disorder,1922
0,1,eating disorder,1923
0,2,eating disorder,1923
0,3,eating disorder,1923
0,4,eating disorder,1923
0,1,eating disorder,1924
0,2,eating disorder,1924
0,3,eating disorder,1924
0,4,eating disorder,1924
0,1,eating disorder,1925
0,2,eating disorder,1925
0,3,eating disorder,1925
0,4,eating disorder,1925
0,1,eating disorder,1926
0,2,eating disorder,1926
0,3,eating disorder,1926
0,4,eating disorder,1926
0,1,eating disorder,1927
0,2,eating disorder,1927
0,3,eating disorder,1927
0,4,eating disorder,1927
0,1,eating disorder,1928
0,2,eating disorder,1928
0,3,eating disorder,1928
0,4,eating disorder,1928
0,1,eating disorder,1929
0,2,eating disorder,1929
0,3,eating disorder,1929
0,4,eating disorder,1929
0,1,eating disorder,1930
0,2,eating disorder,1930
0,3,eating disorder,1930
0,4,eating disorder,1930
0,1,eating disorder,1931
0,2,eating disorder,1931
0,3,eating disorder,1931
0,4,eating disorder,1931
0,1,eating disorder,1932
0,2,eating disorder,1932
0,3,eating disorder,1932
0,4,eating disorder,1932
0,1,eating disorder,1933
0,2,eating disorder,1933
0,3,eating disorder,1933
0,4,eating disorder,1933
0,1,eating disorder,1934
0,2,eating disorder,1934
0,3,eating disorder,1934
0,4,eating disorder,1934
0,1,eating disorder,1935
0,2,eating disorder,1935
0,3,eating disorder,1935
0,4,eating disorder,1935
0,1,eating disorder,1936
0,2,eating disorder,1936
0,3,eating disorder,1936
0,4,eating disorder,1936
0,1,eating disorder,1937
0,2,eating disorder,1937
0,3,eating disorder,1937
0,4,eating disorder,1937
0,1,eating disorder,1938
0,2,eating disorder,1938
0,3,eating disorder,1938
0,4,eating disorder,1938
0,1,eating disorder,1939
0,2,eating disorder,1939
0,3,eating disorder,1939
0,4,eating disorder,1939
0,1,eating disorder,1940
0,2,eating disorder,1940
0,3,eating disorder,1940
0,4,eating disorder,1940
0,1,eating disorder,1941
0,2,eating disorder,1941
0,3,eating disorder,1941
0,4,eating disorder,1941
0,1,eating disorder,1942
0,2,eating disorder,1942
0,3,eating disorder,1942
0,4,eating disorder,1942
0,1,eating disorder,1943
0,2,eating disorder,1943
0,3,eating disorder,1943
0,4,eating disorder,1943
0,1,eating disorder,1944
0,2,eating disorder,1944
0,3,eating disorder,1944
0,4,eating disorder,1944
0,1,eating disorder,1945
0,2,eating disorder,1945
0,3,eating disorder,1945
0,4,eating disorder,1945
0,1,eating disorder,1946
0,2,eating disorder,1946
0,3,eating disorder,1946
0,4,eating disorder,1946
0,1,eating disorder,1947
0,2,eating disorder,1947
0,3,eating disorder,1947
0,4,eating disorder,1947
0,1,eating disorder,1948
