hits,quarter,term,year
243,1,exercise,1900
202,2,exercise,1900
177,3,exercise,1900
241,4,exercise,1900
247,1,exercise,1901
188,2,exercise,1901
217,3,exercise,1901
234,4,exercise,1901
250,1,exercise,1902
220,2,exercise,1902
228,3,exercise,1902
270,4,exercise,1902
256,1,exercise,1903
233,2,exercise,1903
228,3,exercise,1903
211,4,exercise,1903
212,1,exercise,1904
196,2,exercise,1904
164,3,exercise,1904
173,4,exercise,1904
165,1,exercise,1905
197,2,exercise,1905
164,3,exercise,1905
175,4,exercise,1905
235,1,exercise,1906
165,2,exercise,1906
173,3,exercise,1906
195,4,exercise,1906
184,1,exercise,1907
192,2,exercise,1907
197,3,exercise,1907
221,4,exercise,1907
184,1,exercise,1908
189,2,exercise,1908
158,3,exercise,1908
226,4,exercise,1908
218,1,exercise,1909
199,2,exercise,1909
172,3,exercise,1909
216,4,exercise,1909
224,1,exercise,1910
239,2,exercise,1910
196,3,exercise,1910
196,4,exercise,1910
224,1,exercise,1911
212,2,exercise,1911
175,3,exercise,1911
247,4,exercise,1911
268,1,exercise,1912
239,2,exercise,1912
208,3,exercise,1912
249,4,exercise,1912
237,1,exercise,1913
233,2,exercise,1913
256,3,exercise,1913
242,4,exercise,1913
249,1,exercise,1914
270,2,exercise,1914
178,3,exercise,1914
207,4,exercise,1914
301,1,exercise,1915
324,2,exercise,1915
232,3,exercise,1915
252,4,exercise,1915
269,1,exercise,1916
241,2,exercise,1916
226,3,exercise,1916
169,4,exercise,1916
233,1,exercise,1917
187,2,exercise,1917
192,3,exercise,1917
208,4,exercise,1917
191,1,exercise,1918
161,2,exercise,1918
141,3,exercise,1918
185,4,exercise,1918
192,1,exercise,1919
186,2,exercise,1919
254,3,exercise,1919
177,4,exercise,1919
196,1,exercise,1920
175,2,exercise,1920
195,3,exercise,1920
194,4,exercise,1920
202,1,exercise,1921
264,2,exercise,1921
213,3,exercise,1921
214,4,exercise,1921
267,1,exercise,1922
238,2,exercise,1922
239,3,exercise,1922
193,4,exercise,1922
284,1,exercise,1923
325,2,exercise,1923
284,3,exercise,1923
295,4,exercise,1923
309,1,exercise,1924
301,2,exercise,1924
282,3,exercise,1924
256,4,exercise,1924
291,1,exercise,1925
321,2,exercise,1925
287,3,exercise,1925
287,4,exercise,1925
307,1,exercise,1926
307,2,exercise,1926
310,3,exercise,1926
312,4,exercise,1926
356,1,exercise,1927
299,2,exercise,1927
314,3,exercise,1927
250,4,exercise,1927
335,1,exercise,1928
279,2,exercise,1928
227,3,exercise,1928
243,4,exercise,1928
305,1,exercise,1929
293,2,exercise,1929
271,3,exercise,1929
276,4,exercise,1929
337,1,exercise,1930
365,2,exercise,1930
314,3,exercise,1930
289,4,exercise,1930
307,1,exercise,1931
310,2,exercise,1931
293,3,exercise,1931
286,4,exercise,1931
330,1,exercise,1932
269,2,exercise,1932
269,3,exercise,1932
290,4,exercise,1932
354,1,exercise,1933
308,2,exercise,1933
293,3,exercise,1933
298,4,exercise,1933
384,1,exercise,1934
363,2,exercise,1934
281,3,exercise,1934
246,4,exercise,1934
308,1,exercise,1935
312,2,exercise,1935
325,3,exercise,1935
290,4,exercise,1935
363,1,exercise,1936
356,2,exercise,1936
284,3,exercise,1936
325,4,exercise,1936
380,1,exercise,1937
401,2,exercise,1937
289,3,exercise,1937
338,4,exercise,1937
323,1,exercise,1938
290,2,exercise,1938
276,3,exercise,1938
298,4,exercise,1938
312,1,exercise,1939
338,2,exercise,1939
269,3,exercise,1939
283,4,exercise,1939
287,1,exercise,1940
296,2,exercise,1940
241,3,exercise,1940
276,4,exercise,1940
285,1,exercise,1941
276,2,exercise,1941
225,3,exercise,1941
273,4,exercise,1941
239,1,exercise,1942
222,2,exercise,1942
219,3,exercise,1942
213,4,exercise,1942
200,1,exercise,1943
222,2,exercise,1943
174,3,exercise,1943
184,4,exercise,1943
196,1,exercise,1944
243,2,exercise,1944
179,3,exercise,1944
187,4,exercise,1944
205,1,exercise,1945
217,2,exercise,1945
204,3,exercise,1945
213,4,exercise,1945
279,1,exercise,1946
325,2,exercise,1946
263,3,exercise,1946
304,4,exercise,1946
328,1,exercise,1947
291,2,exercise,1947
244,3,exercise,1947
314,4,exercise,1947
255,1,exercise,1948
273,2,exercise,1948
234,3,exercise,1948
244,4,exercise,1948
303,1,exercise,1949
291,2,exercise,1949
248,3,exercise,1949
241,4,exercise,1949
266,1,exercise,1950
285,2,exercise,1950
241,3,exercise,1950
228,4,exercise,1950
258,1,exercise,1951
283,2,exercise,1951
218,3,exercise,1951
259,4,exercise,1951
285,1,exercise,1952
281,2,exercise,1952
311,3,exercise,1952
289,4,exercise,1952
280,1,exercise,1953
237,2,exercise,1953
265,3,exercise,1953
238,4,exercise,1953
258,1,exercise,1954
265,2,exercise,1954
204,3,exercise,1954
241,4,exercise,1954
258,1,exercise,1955
320,2,exercise,1955
229,3,exercise,1955
320,4,exercise,1955
276,1,exercise,1956
279,2,exercise,1956
257,3,exercise,1956
274,4,exercise,1956
314,1,exercise,1957
338,2,exercise,1957
301,3,exercise,1957
305,4,exercise,1957
286,1,exercise,1958
259,2,exercise,1958
261,3,exercise,1958
192,4,exercise,1958
276,1,exercise,1959
298,2,exercise,1959
243,3,exercise,1959
261,4,exercise,1959
354,1,exercise,1960
290,2,exercise,1960
316,3,exercise,1960
281,4,exercise,1960
289,1,exercise,1961
313,2,exercise,1961
303,3,exercise,1961
297,4,exercise,1961
328,1,exercise,1962
296,2,exercise,1962
332,3,exercise,1962
256,4,exercise,1962
121,1,exercise,1963
317,2,exercise,1963
302,3,exercise,1963
300,4,exercise,1963
255,1,exercise,1964
277,2,exercise,1964
249,3,exercise,1964
241,4,exercise,1964
276,1,exercise,1965
306,2,exercise,1965
261,3,exercise,1965
315,4,exercise,1965
349,1,exercise,1966
329,2,exercise,1966
290,3,exercise,1966
326,4,exercise,1966
306,1,exercise,1967
343,2,exercise,1967
292,3,exercise,1967
375,4,exercise,1967
276,1,exercise,1968
299,2,exercise,1968
278,3,exercise,1968
302,4,exercise,1968
359,1,exercise,1969
325,2,exercise,1969
269,3,exercise,1969
305,4,exercise,1969
405,1,exercise,1970
376,2,exercise,1970
315,3,exercise,1970
299,4,exercise,1970
276,1,exercise,1971
337,2,exercise,1971
297,3,exercise,1971
311,4,exercise,1971
298,1,exercise,1972
299,2,exercise,1972
285,3,exercise,1972
338,4,exercise,1972
392,1,exercise,1973
397,2,exercise,1973
382,3,exercise,1973
349,4,exercise,1973
332,1,exercise,1974
325,2,exercise,1974
388,3,exercise,1974
325,4,exercise,1974
310,1,exercise,1975
379,2,exercise,1975
363,3,exercise,1975
397,4,exercise,1975
378,1,exercise,1976
381,2,exercise,1976
339,3,exercise,1976
365,4,exercise,1976
396,1,exercise,1977
406,2,exercise,1977
319,3,exercise,1977
399,4,exercise,1977
414,1,exercise,1978
456,2,exercise,1978
185,3,exercise,1978
223,4,exercise,1978
359,1,exercise,1979
374,2,exercise,1979
360,3,exercise,1979
438,4,exercise,1979
367,1,exercise,1980
526,2,exercise,1980
709,3,exercise,1980
648,4,exercise,1980
346,1,exercise,1981
333,2,exercise,1981
388,3,exercise,1981
401,4,exercise,1981
323,1,exercise,1982
411,2,exercise,1982
296,3,exercise,1982
310,4,exercise,1982
333,1,exercise,1983
364,2,exercise,1983
374,3,exercise,1983
381,4,exercise,1983
348,1,exercise,1984
375,2,exercise,1984
341,3,exercise,1984
346,4,exercise,1984
355,1,exercise,1985
342,2,exercise,1985
308,3,exercise,1985
381,4,exercise,1985
405,1,exercise,1986
381,2,exercise,1986
381,3,exercise,1986
367,4,exercise,1986
398,1,exercise,1987
375,2,exercise,1987
349,3,exercise,1987
384,4,exercise,1987
415,1,exercise,1988
395,2,exercise,1988
399,3,exercise,1988
377,4,exercise,1988
364,1,exercise,1989
388,2,exercise,1989
307,3,exercise,1989
355,4,exercise,1989
339,1,exercise,1990
348,2,exercise,1990
340,3,exercise,1990
343,4,exercise,1990
297,1,exercise,1991
321,2,exercise,1991
327,3,exercise,1991
329,4,exercise,1991
318,1,exercise,1992
320,2,exercise,1992
294,3,exercise,1992
319,4,exercise,1992
309,1,exercise,1993
303,2,exercise,1993
282,3,exercise,1993
360,4,exercise,1993
319,1,exercise,1994
315,2,exercise,1994
320,3,exercise,1994
334,4,exercise,1994
299,1,exercise,1995
296,2,exercise,1995
301,3,exercise,1995
357,4,exercise,1995
336,1,exercise,1996
337,2,exercise,1996
328,3,exercise,1996
308,4,exercise,1996
328,1,exercise,1997
353,2,exercise,1997
301,3,exercise,1997
364,4,exercise,1997
382,1,exercise,1998
408,2,exercise,1998
351,3,exercise,1998
473,4,exercise,1998
403,1,exercise,1999
459,2,exercise,1999
406,3,exercise,1999
460,4,exercise,1999
425,1,exercise,2000
403,2,exercise,2000
425,3,exercise,2000
499,4,exercise,2000
396,1,exercise,2001
420,2,exercise,2001
383,3,exercise,2001
458,4,exercise,2001
460,1,exercise,2002
483,2,exercise,2002
489,3,exercise,2002
469,4,exercise,2002
466,1,exercise,2003
456,2,exercise,2003
451,3,exercise,2003
447,4,exercise,2003
407,1,exercise,2004
451,2,exercise,2004
438,3,exercise,2004
383,1,exercise,2005
429,2,exercise,2005
412,3,exercise,2005
424,4,exercise,2005
462,1,exercise,2006
553,2,exercise,2006
586,3,exercise,2006
669,4,exercise,2006
614,1,exercise,2007
575,2,exercise,2007
558,3,exercise,2007
583,4,exercise,2007
635,1,exercise,2008
646,2,exercise,2008
570,3,exercise,2008
596,4,exercise,2008
546,1,exercise,2009
645,2,exercise,2009
579,3,exercise,2009
578,4,exercise,2009
606,1,exercise,2010
578,2,exercise,2010
625,3,exercise,2010
610,4,exercise,2010
608,1,exercise,2011
544,2,exercise,2011
691,3,exercise,2011
794,4,exercise,2011
779,1,exercise,2012
731,2,exercise,2012
648,3,exercise,2012
506,4,exercise,2012
556,1,exercise,2013
568,2,exercise,2013
758,3,exercise,2013
473,4,exercise,2013
973,1,exercise,2014
1105,2,exercise,2014
913,3,exercise,2014
827,4,exercise,2014
941,1,exercise,2015
909,2,exercise,2015
808,3,exercise,2015
885,4,exercise,2015
831,1,exercise,2016
927,2,exercise,2016
929,3,exercise,2016
835,4,exercise,2016
