hits,quarter,term,year
601,1,health,1900
577,2,health,1900
520,3,health,1900
647,4,health,1900
712,1,health,1901
658,2,health,1901
616,3,health,1901
620,4,health,1901
634,1,health,1902
515,2,health,1902
613,3,health,1902
603,4,health,1902
715,1,health,1903
595,2,health,1903
638,3,health,1903
559,4,health,1903
530,1,health,1904
487,2,health,1904
459,3,health,1904
398,4,health,1904
396,1,health,1905
460,2,health,1905
536,3,health,1905
393,4,health,1905
440,1,health,1906
500,2,health,1906
477,3,health,1906
469,4,health,1906
505,1,health,1907
546,2,health,1907
553,3,health,1907
473,4,health,1907
476,1,health,1908
514,2,health,1908
586,3,health,1908
497,4,health,1908
568,1,health,1909
549,2,health,1909
579,3,health,1909
569,4,health,1909
576,1,health,1910
633,2,health,1910
654,3,health,1910
619,4,health,1910
635,1,health,1911
657,2,health,1911
633,3,health,1911
646,4,health,1911
602,1,health,1912
582,2,health,1912
625,3,health,1912
626,4,health,1912
705,1,health,1913
671,2,health,1913
594,3,health,1913
591,4,health,1913
576,1,health,1914
665,2,health,1914
482,3,health,1914
466,4,health,1914
455,1,health,1915
534,2,health,1915
493,3,health,1915
507,4,health,1915
497,1,health,1916
479,2,health,1916
760,3,health,1916
416,4,health,1916
407,1,health,1917
379,2,health,1917
390,3,health,1917
449,4,health,1917
441,1,health,1918
450,2,health,1918
380,3,health,1918
451,4,health,1918
426,1,health,1919
474,2,health,1919
418,3,health,1919
516,4,health,1919
592,1,health,1920
503,2,health,1920
476,3,health,1920
548,4,health,1920
587,1,health,1921
593,2,health,1921
538,3,health,1921
629,4,health,1921
687,1,health,1922
663,2,health,1922
592,3,health,1922
710,4,health,1922
775,1,health,1923
801,2,health,1923
661,3,health,1923
685,4,health,1923
713,1,health,1924
680,2,health,1924
565,3,health,1924
694,4,health,1924
812,1,health,1925
876,2,health,1925
755,3,health,1925
809,4,health,1925
1032,1,health,1926
923,2,health,1926
902,3,health,1926
919,4,health,1926
837,1,health,1927
832,2,health,1927
709,3,health,1927
852,4,health,1927
1032,1,health,1928
1083,2,health,1928
1011,3,health,1928
1122,4,health,1928
1191,1,health,1929
1106,2,health,1929
1096,3,health,1929
1151,4,health,1929
1240,1,health,1930
1185,2,health,1930
1101,3,health,1930
1099,4,health,1930
1222,1,health,1931
1253,2,health,1931
1239,3,health,1931
1150,4,health,1931
974,1,health,1932
950,2,health,1932
819,3,health,1932
1027,4,health,1932
960,1,health,1933
779,2,health,1933
797,3,health,1933
954,4,health,1933
919,1,health,1934
993,2,health,1934
835,3,health,1934
906,4,health,1934
918,1,health,1935
978,2,health,1935
997,3,health,1935
857,4,health,1935
968,1,health,1936
899,2,health,1936
813,3,health,1936
970,4,health,1936
1156,1,health,1937
1076,2,health,1937
933,3,health,1937
1093,4,health,1937
1065,1,health,1938
1072,2,health,1938
891,3,health,1938
1124,4,health,1938
1112,1,health,1939
1223,2,health,1939
917,3,health,1939
1014,4,health,1939
1011,1,health,1940
989,2,health,1940
853,3,health,1940
1030,4,health,1940
979,1,health,1941
850,2,health,1941
758,3,health,1941
969,4,health,1941
982,1,health,1942
805,2,health,1942
731,3,health,1942
875,4,health,1942
919,1,health,1943
792,2,health,1943
643,3,health,1943
796,4,health,1943
738,1,health,1944
721,2,health,1944
663,3,health,1944
748,4,health,1944
803,1,health,1945
797,2,health,1945
745,3,health,1945
825,4,health,1945
972,1,health,1946
1290,2,health,1946
1070,3,health,1946
1192,4,health,1946
1091,1,health,1947
1168,2,health,1947
929,3,health,1947
1056,4,health,1947
965,1,health,1948
1103,2,health,1948
909,3,health,1948
1099,4,health,1948
1238,1,health,1949
1232,2,health,1949
1118,3,health,1949
1309,4,health,1949
1231,1,health,1950
1222,2,health,1950
975,3,health,1950
1038,4,health,1950
1020,1,health,1951
1112,2,health,1951
1012,3,health,1951
1043,4,health,1951
1021,1,health,1952
990,2,health,1952
862,3,health,1952
906,4,health,1952
1001,1,health,1953
958,2,health,1953
928,3,health,1953
957,4,health,1953
937,1,health,1954
924,2,health,1954
875,3,health,1954
944,4,health,1954
981,1,health,1955
1248,2,health,1955
968,3,health,1955
1060,4,health,1955
1205,1,health,1956
1137,2,health,1956
1059,3,health,1956
1036,4,health,1956
1064,1,health,1957
1065,2,health,1957
941,3,health,1957
1189,4,health,1957
918,1,health,1958
871,2,health,1958
846,3,health,1958
810,4,health,1958
932,1,health,1959
958,2,health,1959
911,3,health,1959
1112,4,health,1959
1033,1,health,1960
1058,2,health,1960
973,3,health,1960
923,4,health,1960
1015,1,health,1961
844,2,health,1961
937,3,health,1961
1100,4,health,1961
1053,1,health,1962
1221,2,health,1962
1232,3,health,1962
898,4,health,1962
332,1,health,1963
1172,2,health,1963
953,3,health,1963
1116,4,health,1963
1050,1,health,1964
883,2,health,1964
759,3,health,1964
953,4,health,1964
999,1,health,1965
948,2,health,1965
817,3,health,1965
839,4,health,1965
1259,1,health,1966
1328,2,health,1966
1201,3,health,1966
1266,4,health,1966
1283,1,health,1967
1183,2,health,1967
1084,3,health,1967
1174,4,health,1967
1049,1,health,1968
884,2,health,1968
771,3,health,1968
1019,4,health,1968
1080,1,health,1969
1014,2,health,1969
1032,3,health,1969
1249,4,health,1969
1340,1,health,1970
1181,2,health,1970
1242,3,health,1970
1311,4,health,1970
1144,1,health,1971
1088,2,health,1971
1110,3,health,1971
1102,4,health,1971
1210,1,health,1972
1159,2,health,1972
1096,3,health,1972
1383,4,health,1972
1566,1,health,1973
1375,2,health,1973
1388,3,health,1973
1411,4,health,1973
1337,1,health,1974
1304,2,health,1974
1463,3,health,1974
1760,4,health,1974
1790,1,health,1975
1639,2,health,1975
1547,3,health,1975
1587,4,health,1975
1643,1,health,1976
1559,2,health,1976
1678,3,health,1976
1675,4,health,1976
1531,1,health,1977
1674,2,health,1977
1566,3,health,1977
1596,4,health,1977
1648,1,health,1978
1668,2,health,1978
691,3,health,1978
945,4,health,1978
1431,1,health,1979
1578,2,health,1979
1422,3,health,1979
1538,4,health,1979
1358,1,health,1980
1943,2,health,1980
2547,3,health,1980
2689,4,health,1980
1296,1,health,1981
1284,2,health,1981
1255,3,health,1981
1530,4,health,1981
1161,1,health,1982
1276,2,health,1982
1177,3,health,1982
1331,4,health,1982
1294,1,health,1983
1323,2,health,1983
1192,3,health,1983
1295,4,health,1983
1307,1,health,1984
1316,2,health,1984
1320,3,health,1984
1414,4,health,1984
1317,1,health,1985
1341,2,health,1985
1491,3,health,1985
1678,4,health,1985
1458,1,health,1986
1525,2,health,1986
1427,3,health,1986
1450,4,health,1986
1464,1,health,1987
1466,2,health,1987
1464,3,health,1987
1516,4,health,1987
1444,1,health,1988
1523,2,health,1988
1561,3,health,1988
1669,4,health,1988
1600,1,health,1989
1478,2,health,1989
1495,3,health,1989
1592,4,health,1989
1555,1,health,1990
1534,2,health,1990
1413,3,health,1990
1481,4,health,1990
1445,1,health,1991
1602,2,health,1991
1501,3,health,1991
1684,4,health,1991
1669,1,health,1992
1700,2,health,1992
1700,3,health,1992
1783,4,health,1992
1794,1,health,1993
1936,2,health,1993
1939,3,health,1993
1985,4,health,1993
1862,1,health,1994
1920,2,health,1994
1964,3,health,1994
1784,4,health,1994
1706,1,health,1995
1606,2,health,1995
1594,3,health,1995
1829,4,health,1995
1652,1,health,1996
1820,2,health,1996
1716,3,health,1996
1682,4,health,1996
1616,1,health,1997
1769,2,health,1997
1767,3,health,1997
1879,4,health,1997
1818,1,health,1998
1740,2,health,1998
1850,3,health,1998
1870,4,health,1998
1802,1,health,1999
1851,2,health,1999
1976,3,health,1999
2213,4,health,1999
1949,1,health,2000
1988,2,health,2000
2124,3,health,2000
2181,4,health,2000
1816,1,health,2001
1989,2,health,2001
1895,3,health,2001
2395,4,health,2001
1995,1,health,2002
1992,2,health,2002
1969,3,health,2002
2076,4,health,2002
2036,1,health,2003
2314,2,health,2003
1959,3,health,2003
2049,4,health,2003
2197,1,health,2004
1876,2,health,2004
1974,3,health,2004
2226,4,health,2004
1996,1,health,2005
1973,2,health,2005
1902,3,health,2005
2071,4,health,2005
2130,1,health,2006
2580,2,health,2006
2559,3,health,2006
2727,4,health,2006
2991,1,health,2007
2973,2,health,2007
2879,3,health,2007
2867,4,health,2007
2998,1,health,2008
2633,2,health,2008
2650,3,health,2008
3005,4,health,2008
3294,1,health,2009
3529,2,health,2009
4334,3,health,2009
4482,4,health,2009
4216,1,health,2010
3377,2,health,2010
3005,3,health,2010
3202,4,health,2010
3290,1,health,2011
3125,2,health,2011
3186,3,health,2011
3802,4,health,2011
3661,1,health,2012
3601,2,health,2012
3145,3,health,2012
