hits,quarter,term,year
112,1,heart disease,1900
95,2,heart disease,1900
85,3,heart disease,1900
96,4,heart disease,1900
92,1,heart disease,1901
75,2,heart disease,1901
81,3,heart disease,1901
92,4,heart disease,1901
84,1,heart disease,1902
79,2,heart disease,1902
73,3,heart disease,1902
88,4,heart disease,1902
98,1,heart disease,1903
79,2,heart disease,1903
99,3,heart disease,1903
86,4,heart disease,1903
76,1,heart disease,1904
65,2,heart disease,1904
55,3,heart disease,1904
64,4,heart disease,1904
41,1,heart disease,1905
36,2,heart disease,1905
45,3,heart disease,1905
41,4,heart disease,1905
84,1,heart disease,1906
67,2,heart disease,1906
62,3,heart disease,1906
81,4,heart disease,1906
76,1,heart disease,1907
68,2,heart disease,1907
73,3,heart disease,1907
96,4,heart disease,1907
103,1,heart disease,1908
76,2,heart disease,1908
52,3,heart disease,1908
97,4,heart disease,1908
83,1,heart disease,1909
71,2,heart disease,1909
56,3,heart disease,1909
77,4,heart disease,1909
102,1,heart disease,1910
76,2,heart disease,1910
62,3,heart disease,1910
102,4,heart disease,1910
98,1,heart disease,1911
82,2,heart disease,1911
75,3,heart disease,1911
125,4,heart disease,1911
107,1,heart disease,1912
100,2,heart disease,1912
101,3,heart disease,1912
105,4,heart disease,1912
99,1,heart disease,1913
69,2,heart disease,1913
97,3,heart disease,1913
93,4,heart disease,1913
97,1,heart disease,1914
91,2,heart disease,1914
76,3,heart disease,1914
86,4,heart disease,1914
72,1,heart disease,1915
80,2,heart disease,1915
88,3,heart disease,1915
95,4,heart disease,1915
108,1,heart disease,1916
82,2,heart disease,1916
80,3,heart disease,1916
78,4,heart disease,1916
61,1,heart disease,1917
47,2,heart disease,1917
44,3,heart disease,1917
50,4,heart disease,1917
53,1,heart disease,1918
38,2,heart disease,1918
39,3,heart disease,1918
42,4,heart disease,1918
73,1,heart disease,1919
68,2,heart disease,1919
68,3,heart disease,1919
62,4,heart disease,1919
71,1,heart disease,1920
64,2,heart disease,1920
64,3,heart disease,1920
61,4,heart disease,1920
61,1,heart disease,1921
58,2,heart disease,1921
62,3,heart disease,1921
90,4,heart disease,1921
64,1,heart disease,1922
74,2,heart disease,1922
58,3,heart disease,1922
56,4,heart disease,1922
73,1,heart disease,1923
77,2,heart disease,1923
61,3,heart disease,1923
78,4,heart disease,1923
61,1,heart disease,1924
79,2,heart disease,1924
64,3,heart disease,1924
84,4,heart disease,1924
144,1,heart disease,1925
120,2,heart disease,1925
118,3,heart disease,1925
152,4,heart disease,1925
160,1,heart disease,1926
