hits,quarter,term,year
0,1,hypertension,1900
0,2,hypertension,1900
0,3,hypertension,1900
0,4,hypertension,1900
0,1,hypertension,1901
0,2,hypertension,1901
1,3,hypertension,1901
0,4,hypertension,1901
0,1,hypertension,1902
0,2,hypertension,1902
0,3,hypertension,1902
0,4,hypertension,1902
0,1,hypertension,1903
0,2,hypertension,1903
0,3,hypertension,1903
0,4,hypertension,1903
0,1,hypertension,1904
0,2,hypertension,1904
0,3,hypertension,1904
0,4,hypertension,1904
0,1,hypertension,1905
0,2,hypertension,1905
0,3,hypertension,1905
0,4,hypertension,1905
0,1,hypertension,1906
0,2,hypertension,1906
0,3,hypertension,1906
0,4,hypertension,1906
0,1,hypertension,1907
0,2,hypertension,1907
0,3,hypertension,1907
0,4,hypertension,1907
1,1,hypertension,1908
0,2,hypertension,1908
0,3,hypertension,1908
0,4,hypertension,1908
0,1,hypertension,1909
0,2,hypertension,1909
0,3,hypertension,1909
0,4,hypertension,1909
0,1,hypertension,1910
0,2,hypertension,1910
0,3,hypertension,1910
0,4,hypertension,1910
1,1,hypertension,1911
0,2,hypertension,1911
0,3,hypertension,1911
2,4,hypertension,1911
0,1,hypertension,1912
0,2,hypertension,1912
0,3,hypertension,1912
0,4,hypertension,1912
0,1,hypertension,1913
1,2,hypertension,1913
1,3,hypertension,1913
1,4,hypertension,1913
0,1,hypertension,1914
1,2,hypertension,1914
2,3,hypertension,1914
0,4,hypertension,1914
0,1,hypertension,1915
0,2,hypertension,1915
0,3,hypertension,1915
3,4,hypertension,1915
2,1,hypertension,1916
1,2,hypertension,1916
0,3,hypertension,1916
1,4,hypertension,1916
0,1,hypertension,1917
0,2,hypertension,1917
0,3,hypertension,1917
0,4,hypertension,1917
0,1,hypertension,1918
0,2,hypertension,1918
0,3,hypertension,1918
0,4,hypertension,1918
0,1,hypertension,1919
0,2,hypertension,1919
1,3,hypertension,1919
0,4,hypertension,1919
0,1,hypertension,1920
3,2,hypertension,1920
2,3,hypertension,1920
0,4,hypertension,1920
0,1,hypertension,1921
1,2,hypertension,1921
0,3,hypertension,1921
2,4,hypertension,1921
2,1,hypertension,1922
2,2,hypertension,1922
0,3,hypertension,1922
2,4,hypertension,1922
8,1,hypertension,1923
7,2,hypertension,1923
4,3,hypertension,1923
4,4,hypertension,1923
3,1,hypertension,1924
0,2,hypertension,1924
4,3,hypertension,1924
1,4,hypertension,1924
2,1,hypertension,1925
8,2,hypertension,1925
5,3,hypertension,1925
4,4,hypertension,1925
8,1,hypertension,1926
9,2,hypertension,1926
7,3,hypertension,1926
1,4,hypertension,1926
4,1,hypertension,1927
5,2,hypertension,1927
2,3,hypertension,1927
3,4,hypertension,1927
8,1,hypertension,1928
5,2,hypertension,1928
5,3,hypertension,1928
6,4,hypertension,1928
0,1,hypertension,1929
3,2,hypertension,1929
3,3,hypertension,1929
9,4,hypertension,1929
5,1,hypertension,1930
6,2,hypertension,1930
7,3,hypertension,1930
3,4,hypertension,1930
3,1,hypertension,1931
2,2,hypertension,1931
8,3,hypertension,1931
12,4,hypertension,1931
5,1,hypertension,1932
7,2,hypertension,1932
3,3,hypertension,1932
16,4,hypertension,1932
5,1,hypertension,1933
5,2,hypertension,1933
3,3,hypertension,1933
12,4,hypertension,1933
3,1,hypertension,1934
6,2,hypertension,1934
5,3,hypertension,1934
10,4,hypertension,1934
5,1,hypertension,1935
9,2,hypertension,1935
7,3,hypertension,1935
19,4,hypertension,1935
10,1,hypertension,1936
3,2,hypertension,1936
9,3,hypertension,1936
12,4,hypertension,1936
10,1,hypertension,1937
13,2,hypertension,1937
4,3,hypertension,1937
17,4,hypertension,1937
10,1,hypertension,1938
9,2,hypertension,1938
6,3,hypertension,1938
14,4,hypertension,1938
6,1,hypertension,1939
5,2,hypertension,1939
5,3,hypertension,1939
6,4,hypertension,1939
4,1,hypertension,1940
6,2,hypertension,1940
5,3,hypertension,1940
7,4,hypertension,1940
2,1,hypertension,1941
8,2,hypertension,1941
2,3,hypertension,1941
10,4,hypertension,1941
3,1,hypertension,1942
9,2,hypertension,1942
9,3,hypertension,1942
9,4,hypertension,1942
3,1,hypertension,1943
6,2,hypertension,1943
8,3,hypertension,1943
11,4,hypertension,1943
8,1,hypertension,1944
5,2,hypertension,1944
8,3,hypertension,1944
9,4,hypertension,1944
8,1,hypertension,1945
4,2,hypertension,1945
3,3,hypertension,1945
6,4,hypertension,1945
6,1,hypertension,1946
8,2,hypertension,1946
4,3,hypertension,1946
12,4,hypertension,1946
21,1,hypertension,1947
20,2,hypertension,1947
13,3,hypertension,1947
14,4,hypertension,1947
10,1,hypertension,1948
15,2,hypertension,1948
13,3,hypertension,1948
15,4,hypertension,1948
13,1,hypertension,1949
28,2,hypertension,1949
8,3,hypertension,1949
25,4,hypertension,1949
7,1,hypertension,1950
14,2,hypertension,1950
16,3,hypertension,1950
18,4,hypertension,1950
16,1,hypertension,1951
10,2,hypertension,1951
11,3,hypertension,1951
21,4,hypertension,1951
6,1,hypertension,1952
11,2,hypertension,1952
11,3,hypertension,1952
10,4,hypertension,1952
9,1,hypertension,1953
11,2,hypertension,1953
12,3,hypertension,1953
8,4,hypertension,1953
15,1,hypertension,1954
13,2,hypertension,1954
19,3,hypertension,1954
9,4,hypertension,1954
11,1,hypertension,1955
9,2,hypertension,1955
7,3,hypertension,1955
13,4,hypertension,1955
16,1,hypertension,1956
17,2,hypertension,1956
18,3,hypertension,1956
8,4,hypertension,1956
17,1,hypertension,1957
15,2,hypertension,1957
9,3,hypertension,1957
24,4,hypertension,1957
11,1,hypertension,1958
13,2,hypertension,1958
4,3,hypertension,1958
15,4,hypertension,1958
13,1,hypertension,1959
10,2,hypertension,1959
10,3,hypertension,1959
11,4,hypertension,1959
11,1,hypertension,1960
6,2,hypertension,1960
6,3,hypertension,1960
14,4,hypertension,1960
7,1,hypertension,1961
11,2,hypertension,1961
14,3,hypertension,1961
4,4,hypertension,1961
8,1,hypertension,1962
4,2,hypertension,1962
6,3,hypertension,1962
8,4,hypertension,1962
3,1,hypertension,1963
6,2,hypertension,1963
13,3,hypertension,1963
18,4,hypertension,1963
15,1,hypertension,1964
5,2,hypertension,1964
3,3,hypertension,1964
12,4,hypertension,1964
8,1,hypertension,1965
6,2,hypertension,1965
6,3,hypertension,1965
8,4,hypertension,1965
9,1,hypertension,1966
11,2,hypertension,1966
7,3,hypertension,1966
12,4,hypertension,1966
11,1,hypertension,1967
6,2,hypertension,1967
8,3,hypertension,1967
3,4,hypertension,1967
10,1,hypertension,1968
6,2,hypertension,1968
11,3,hypertension,1968
14,4,hypertension,1968
11,1,hypertension,1969
7,2,hypertension,1969
7,3,hypertension,1969
16,4,hypertension,1969
15,1,hypertension,1970
8,2,hypertension,1970
15,3,hypertension,1970
17,4,hypertension,1970
17,1,hypertension,1971
20,2,hypertension,1971
11,3,hypertension,1971
22,4,hypertension,1971
17,1,hypertension,1972
19,2,hypertension,1972
6,3,hypertension,1972
20,4,hypertension,1972
19,1,hypertension,1973
26,2,hypertension,1973
19,3,hypertension,1973
16,4,hypertension,1973
25,1,hypertension,1974
20,2,hypertension,1974
23,3,hypertension,1974
25,4,hypertension,1974
21,1,hypertension,1975
18,2,hypertension,1975
25,3,hypertension,1975
16,4,hypertension,1975
19,1,hypertension,1976
16,2,hypertension,1976
34,3,hypertension,1976
25,4,hypertension,1976
30,1,hypertension,1977
32,2,hypertension,1977
29,3,hypertension,1977
43,4,hypertension,1977
31,1,hypertension,1978
39,2,hypertension,1978
19,3,hypertension,1978
18,4,hypertension,1978
25,1,hypertension,1979
30,2,hypertension,1979
29,3,hypertension,1979
27,4,hypertension,1979
42,1,hypertension,1980
46,2,hypertension,1980
48,3,hypertension,1980
45,4,hypertension,1980
24,1,hypertension,1981
34,2,hypertension,1981
38,3,hypertension,1981
35,4,hypertension,1981
27,1,hypertension,1982
20,2,hypertension,1982
37,3,hypertension,1982
23,4,hypertension,1982
25,1,hypertension,1983
30,2,hypertension,1983
31,3,hypertension,1983
28,4,hypertension,1983
27,1,hypertension,1984
38,2,hypertension,1984
31,3,hypertension,1984
32,4,hypertension,1984
34,1,hypertension,1985
49,2,hypertension,1985
36,3,hypertension,1985
37,4,hypertension,1985
39,1,hypertension,1986
32,2,hypertension,1986
42,3,hypertension,1986
39,4,hypertension,1986
30,1,hypertension,1987
28,2,hypertension,1987
46,3,hypertension,1987
39,4,hypertension,1987
39,1,hypertension,1988
35,2,hypertension,1988
36,3,hypertension,1988
43,4,hypertension,1988
37,1,hypertension,1989
29,2,hypertension,1989
46,3,hypertension,1989
43,4,hypertension,1989
43,1,hypertension,1990
36,2,hypertension,1990
33,3,hypertension,1990
27,4,hypertension,1990
33,1,hypertension,1991
42,2,hypertension,1991
30,3,hypertension,1991
35,4,hypertension,1991
31,1,hypertension,1992
23,2,hypertension,1992
30,3,hypertension,1992
40,4,hypertension,1992
29,1,hypertension,1993
33,2,hypertension,1993
29,3,hypertension,1993
43,4,hypertension,1993
32,1,hypertension,1994
30,2,hypertension,1994
27,3,hypertension,1994
27,4,hypertension,1994
30,1,hypertension,1995
26,2,hypertension,1995
36,3,hypertension,1995
45,4,hypertension,1995
27,1,hypertension,1996
47,2,hypertension,1996
42,3,hypertension,1996
35,4,hypertension,1996
28,1,hypertension,1997
42,2,hypertension,1997
47,3,hypertension,1997
44,4,hypertension,1997
52,1,hypertension,1998
61,2,hypertension,1998
41,3,hypertension,1998
43,4,hypertension,1998
50,1,hypertension,1999
57,2,hypertension,1999
46,3,hypertension,1999
41,4,hypertension,1999
39,1,hypertension,2000
35,2,hypertension,2000
48,3,hypertension,2000
41,4,hypertension,2000
37,1,hypertension,2001
50,2,hypertension,2001
34,3,hypertension,2001
39,4,hypertension,2001
51,1,hypertension,2002
43,2,hypertension,2002
50,3,hypertension,2002
59,4,hypertension,2002
50,1,hypertension,2003
56,2,hypertension,2003
43,3,hypertension,2003
55,4,hypertension,2003
54,1,hypertension,2004
61,2,hypertension,2004
61,3,hypertension,2004
50,4,hypertension,2004
60,1,hypertension,2005
55,2,hypertension,2005
41,3,hypertension,2005
51,4,hypertension,2005
66,1,hypertension,2006
76,2,hypertension,2006
81,3,hypertension,2006
78,4,hypertension,2006
87,1,hypertension,2007
65,2,hypertension,2007
49,3,hypertension,2007
53,4,hypertension,2007
66,1,hypertension,2008
62,2,hypertension,2008
46,3,hypertension,2008
70,4,hypertension,2008
78,1,hypertension,2009
81,2,hypertension,2009
64,3,hypertension,2009
61,4,hypertension,2009
98,1,hypertension,2010
81,2,hypertension,2010
32,3,hypertension,2010
56,4,hypertension,2010
79,1,hypertension,2011
67,2,hypertension,2011
64,3,hypertension,2011
76,4,hypertension,2011
72,1,hypertension,2012
69,2,hypertension,2012
68,3,hypertension,2012
46,4,hypertension,2012
50,1,hypertension,2013
72,2,hypertension,2013
63,3,hypertension,2013
55,4,hypertension,2013
88,1,hypertension,2014
74,2,hypertension,2014
79,3,hypertension,2014
88,4,hypertension,2014
67,1,hypertension,2015
92,2,hypertension,2015
96,3,hypertension,2015
88,4,hypertension,2015
91,1,hypertension,2016
73,2,hypertension,2016
