hits,quarter,term,year
0,1,major depressive disorder,1900
0,2,major depressive disorder,1900
0,3,major depressive disorder,1900
0,4,major depressive disorder,1900
0,1,major depressive disorder,1901
0,2,major depressive disorder,1901
0,3,major depressive disorder,1901
0,4,major depressive disorder,1901
0,1,major depressive disorder,1902
0,2,major depressive disorder,1902
0,3,major depressive disorder,1902
0,4,major depressive disorder,1902
0,1,major depressive disorder,1903
0,2,major depressive disorder,1903
0,3,major depressive disorder,1903
0,4,major depressive disorder,1903
0,1,major depressive disorder,1904
0,2,major depressive disorder,1904
0,3,major depressive disorder,1904
0,4,major depressive disorder,1904
0,1,major depressive disorder,1905
0,2,major depressive disorder,1905
0,3,major depressive disorder,1905
0,4,major depressive disorder,1905
0,1,major depressive disorder,1906
0,2,major depressive disorder,1906
0,3,major depressive disorder,1906
0,4,major depressive disorder,1906
0,1,major depressive disorder,1907
0,2,major depressive disorder,1907
0,3,major depressive disorder,1907
0,4,major depressive disorder,1907
0,1,major depressive disorder,1908
0,2,major depressive disorder,1908
0,3,major depressive disorder,1908
0,4,major depressive disorder,1908
0,1,major depressive disorder,1909
0,2,major depressive disorder,1909
0,3,major depressive disorder,1909
0,4,major depressive disorder,1909
0,1,major depressive disorder,1910
0,2,major depressive disorder,1910
0,3,major depressive disorder,1910
0,4,major depressive disorder,1910
0,1,major depressive disorder,1911
1,2,major depressive disorder,1911
0,3,major depressive disorder,1911
0,4,major depressive disorder,1911
0,1,major depressive disorder,1912
0,2,major depressive disorder,1912
0,3,major depressive disorder,1912
0,4,major depressive disorder,1912
0,1,major depressive disorder,1913
0,2,major depressive disorder,1913
0,3,major depressive disorder,1913
0,4,major depressive disorder,1913
0,1,major depressive disorder,1914
0,2,major depressive disorder,1914
0,3,major depressive disorder,1914
0,4,major depressive disorder,1914
0,1,major depressive disorder,1915
0,2,major depressive disorder,1915
0,3,major depressive disorder,1915
0,4,major depressive disorder,1915
0,1,major depressive disorder,1916
0,2,major depressive disorder,1916
0,3,major depressive disorder,1916
0,4,major depressive disorder,1916
0,1,major depressive disorder,1917
0,2,major depressive disorder,1917
0,3,major depressive disorder,1917
0,4,major depressive disorder,1917
0,1,major depressive disorder,1918
0,2,major depressive disorder,1918
0,3,major depressive disorder,1918
0,4,major depressive disorder,1918
0,1,major depressive disorder,1919
0,2,major depressive disorder,1919
0,3,major depressive disorder,1919
0,4,major depressive disorder,1919
0,1,major depressive disorder,1920
0,2,major depressive disorder,1920
0,3,major depressive disorder,1920
0,4,major depressive disorder,1920
0,1,major depressive disorder,1921
0,2,major depressive disorder,1921
0,3,major depressive disorder,1921
0,4,major depressive disorder,1921
0,1,major depressive disorder,1922
0,2,major depressive disorder,1922
0,3,major depressive disorder,1922
0,4,major depressive disorder,1922
0,1,major depressive disorder,1923
0,2,major depressive disorder,1923
1,3,major depressive disorder,1923
1,4,major depressive disorder,1923
0,1,major depressive disorder,1924
0,2,major depressive disorder,1924
1,3,major depressive disorder,1924
0,4,major depressive disorder,1924
0,1,major depressive disorder,1925
0,2,major depressive disorder,1925
0,3,major depressive disorder,1925
0,4,major depressive disorder,1925
1,1,major depressive disorder,1926
0,2,major depressive disorder,1926
0,3,major depressive disorder,1926
0,4,major depressive disorder,1926
0,1,major depressive disorder,1927
0,2,major depressive disorder,1927
0,3,major depressive disorder,1927
1,4,major depressive disorder,1927
0,1,major depressive disorder,1928
0,2,major depressive disorder,1928
0,3,major depressive disorder,1928
0,4,major depressive disorder,1928
0,1,major depressive disorder,1929
0,2,major depressive disorder,1929
0,3,major depressive disorder,1929
0,4,major depressive disorder,1929
0,1,major depressive disorder,1930
1,2,major depressive disorder,1930
4,3,major depressive disorder,1930
6,4,major depressive disorder,1930
4,1,major depressive disorder,1931
5,2,major depressive disorder,1931
2,3,major depressive disorder,1931
1,4,major depressive disorder,1931
2,1,major depressive disorder,1932
0,2,major depressive disorder,1932
4,3,major depressive disorder,1932
0,4,major depressive disorder,1932
1,1,major depressive disorder,1933
2,2,major depressive disorder,1933
0,3,major depressive disorder,1933
3,4,major depressive disorder,1933
1,1,major depressive disorder,1934
2,2,major depressive disorder,1934
1,3,major depressive disorder,1934
3,4,major depressive disorder,1934
0,1,major depressive disorder,1935
0,2,major depressive disorder,1935
1,3,major depressive disorder,1935
2,4,major depressive disorder,1935
1,1,major depressive disorder,1936
0,2,major depressive disorder,1936
0,3,major depressive disorder,1936
1,4,major depressive disorder,1936
1,1,major depressive disorder,1937
1,2,major depressive disorder,1937
2,3,major depressive disorder,1937
15,4,major depressive disorder,1937
