hits,quarter,term,year
0,1,mental disorder,1900
3,2,mental disorder,1900
2,3,mental disorder,1900
1,4,mental disorder,1900
0,1,mental disorder,1901
1,2,mental disorder,1901
0,3,mental disorder,1901
3,4,mental disorder,1901
2,1,mental disorder,1902
0,2,mental disorder,1902
0,3,mental disorder,1902
0,4,mental disorder,1902
1,1,mental disorder,1903
1,2,mental disorder,1903
1,3,mental disorder,1903
0,4,mental disorder,1903
0,1,mental disorder,1904
1,2,mental disorder,1904
0,3,mental disorder,1904
1,4,mental disorder,1904
0,1,mental disorder,1905
0,2,mental disorder,1905
0,3,mental disorder,1905
0,4,mental disorder,1905
0,1,mental disorder,1906
2,2,mental disorder,1906
0,3,mental disorder,1906
0,4,mental disorder,1906
2,1,mental disorder,1907
1,2,mental disorder,1907
2,3,mental disorder,1907
0,4,mental disorder,1907
3,1,mental disorder,1908
0,2,mental disorder,1908
0,3,mental disorder,1908
0,4,mental disorder,1908
3,1,mental disorder,1909
1,2,mental disorder,1909
0,3,mental disorder,1909
1,4,mental disorder,1909
4,1,mental disorder,1910
0,2,mental disorder,1910
4,3,mental disorder,1910
0,4,mental disorder,1910
3,1,mental disorder,1911
3,2,mental disorder,1911
1,3,mental disorder,1911
1,4,mental disorder,1911
2,1,mental disorder,1912
2,2,mental disorder,1912
3,3,mental disorder,1912
3,4,mental disorder,1912
0,1,mental disorder,1913
2,2,mental disorder,1913
1,3,mental disorder,1913
2,4,mental disorder,1913
3,1,mental disorder,1914
0,2,mental disorder,1914
0,3,mental disorder,1914
1,4,mental disorder,1914
0,1,mental disorder,1915
0,2,mental disorder,1915
2,3,mental disorder,1915
1,4,mental disorder,1915
0,1,mental disorder,1916
1,2,mental disorder,1916
1,3,mental disorder,1916
0,4,mental disorder,1916
1,1,mental disorder,1917
2,2,mental disorder,1917
0,3,mental disorder,1917
0,4,mental disorder,1917
0,1,mental disorder,1918
0,2,mental disorder,1918
0,3,mental disorder,1918
0,4,mental disorder,1918
0,1,mental disorder,1919
0,2,mental disorder,1919
0,3,mental disorder,1919
1,4,mental disorder,1919
2,1,mental disorder,1920
1,2,mental disorder,1920
2,3,mental disorder,1920
3,4,mental disorder,1920
3,1,mental disorder,1921
0,2,mental disorder,1921
3,3,mental disorder,1921
0,4,mental disorder,1921
1,1,mental disorder,1922
3,2,mental disorder,1922
1,3,mental disorder,1922
1,4,mental disorder,1922
4,1,mental disorder,1923
1,2,mental disorder,1923
0,3,mental disorder,1923
2,4,mental disorder,1923
1,1,mental disorder,1924
4,2,mental disorder,1924
3,3,mental disorder,1924
2,4,mental disorder,1924
4,1,mental disorder,1925
2,2,mental disorder,1925
5,3,mental disorder,1925
2,4,mental disorder,1925
1,1,mental disorder,1926
3,2,mental disorder,1926
0,3,mental disorder,1926
1,4,mental disorder,1926
1,1,mental disorder,1927
2,2,mental disorder,1927
2,3,mental disorder,1927
3,4,mental disorder,1927
1,1,mental disorder,1928
1,2,mental disorder,1928
3,3,mental disorder,1928
2,4,mental disorder,1928
0,1,mental disorder,1929
0,2,mental disorder,1929
0,3,mental disorder,1929
4,4,mental disorder,1929
3,1,mental disorder,1930
2,2,mental disorder,1930
5,3,mental disorder,1930
2,4,mental disorder,1930
3,1,mental disorder,1931
3,2,mental disorder,1931
3,3,mental disorder,1931
1,4,mental disorder,1931
5,1,mental disorder,1932
1,2,mental disorder,1932
1,3,mental disorder,1932
2,4,mental disorder,1932
9,1,mental disorder,1933
0,2,mental disorder,1933
3,3,mental disorder,1933
2,4,mental disorder,1933
1,1,mental disorder,1934
7,2,mental disorder,1934
1,3,mental disorder,1934
0,4,mental disorder,1934
3,1,mental disorder,1935
5,2,mental disorder,1935
1,3,mental disorder,1935
0,4,mental disorder,1935
