hits,quarter,term,year
0,1,mental health AND brain,1900
0,2,mental health AND brain,1900
0,3,mental health AND brain,1900
0,4,mental health AND brain,1900
0,1,mental health AND brain,1901
0,2,mental health AND brain,1901
0,3,mental health AND brain,1901
0,4,mental health AND brain,1901
0,1,mental health AND brain,1902
0,2,mental health AND brain,1902
0,3,mental health AND brain,1902
0,4,mental health AND brain,1902
0,1,mental health AND brain,1903
0,2,mental health AND brain,1903
0,3,mental health AND brain,1903
0,4,mental health AND brain,1903
0,1,mental health AND brain,1904
0,2,mental health AND brain,1904
0,3,mental health AND brain,1904
0,4,mental health AND brain,1904
0,1,mental health AND brain,1905
1,2,mental health AND brain,1905
0,3,mental health AND brain,1905
0,4,mental health AND brain,1905
0,1,mental health AND brain,1906
0,2,mental health AND brain,1906
0,3,mental health AND brain,1906
0,4,mental health AND brain,1906
1,1,mental health AND brain,1907
1,2,mental health AND brain,1907
0,3,mental health AND brain,1907
0,4,mental health AND brain,1907
0,1,mental health AND brain,1908
0,2,mental health AND brain,1908
0,3,mental health AND brain,1908
0,4,mental health AND brain,1908
0,1,mental health AND brain,1909
0,2,mental health AND brain,1909
1,3,mental health AND brain,1909
0,4,mental health AND brain,1909
0,1,mental health AND brain,1910
0,2,mental health AND brain,1910
1,3,mental health AND brain,1910
0,4,mental health AND brain,1910
0,1,mental health AND brain,1911
0,2,mental health AND brain,1911
0,3,mental health AND brain,1911
2,4,mental health AND brain,1911
0,1,mental health AND brain,1912
1,2,mental health AND brain,1912
0,3,mental health AND brain,1912
2,4,mental health AND brain,1912
0,1,mental health AND brain,1913
0,2,mental health AND brain,1913
0,3,mental health AND brain,1913
0,4,mental health AND brain,1913
0,1,mental health AND brain,1914
0,2,mental health AND brain,1914
0,3,mental health AND brain,1914
0,4,mental health AND brain,1914
0,1,mental health AND brain,1915
0,2,mental health AND brain,1915
0,3,mental health AND brain,1915
0,4,mental health AND brain,1915
0,1,mental health AND brain,1916
0,2,mental health AND brain,1916
0,3,mental health AND brain,1916
0,4,mental health AND brain,1916
0,1,mental health AND brain,1917
0,2,mental health AND brain,1917
0,3,mental health AND brain,1917
0,4,mental health AND brain,1917
0,1,mental health AND brain,1918
0,2,mental health AND brain,1918
0,3,mental health AND brain,1918
0,4,mental health AND brain,1918
0,1,mental health AND brain,1919
0,2,mental health AND brain,1919
0,3,mental health AND brain,1919
0,4,mental health AND brain,1919
0,1,mental health AND brain,1920
0,2,mental health AND brain,1920
0,3,mental health AND brain,1920
0,4,mental health AND brain,1920
0,1,mental health AND brain,1921
0,2,mental health AND brain,1921
0,3,mental health AND brain,1921
0,4,mental health AND brain,1921
1,1,mental health AND brain,1922
1,2,mental health AND brain,1922
0,3,mental health AND brain,1922
0,4,mental health AND brain,1922
0,1,mental health AND brain,1923
0,2,mental health AND brain,1923
0,3,mental health AND brain,1923
0,4,mental health AND brain,1923
0,1,mental health AND brain,1924
0,2,mental health AND brain,1924
0,3,mental health AND brain,1924
1,4,mental health AND brain,1924
1,1,mental health AND brain,1925
0,2,mental health AND brain,1925
0,3,mental health AND brain,1925
0,4,mental health AND brain,1925
0,1,mental health AND brain,1926
0,2,mental health AND brain,1926
0,3,mental health AND brain,1926
0,4,mental health AND brain,1926
0,1,mental health AND brain,1927
0,2,mental health AND brain,1927
0,3,mental health AND brain,1927
0,4,mental health AND brain,1927
0,1,mental health AND brain,1928
0,2,mental health AND brain,1928
0,3,mental health AND brain,1928
1,4,mental health AND brain,1928
0,1,mental health AND brain,1929
0,2,mental health AND brain,1929
0,3,mental health AND brain,1929
0,4,mental health AND brain,1929
0,1,mental health AND brain,1930
0,2,mental health AND brain,1930
0,3,mental health AND brain,1930
0,4,mental health AND brain,1930
0,1,mental health AND brain,1931
1,2,mental health AND brain,1931
0,3,mental health AND brain,1931
0,4,mental health AND brain,1931
1,1,mental health AND brain,1932
0,2,mental health AND brain,1932
0,3,mental health AND brain,1932
0,4,mental health AND brain,1932
0,1,mental health AND brain,1933
0,2,mental health AND brain,1933
0,3,mental health AND brain,1933
0,4,mental health AND brain,1933
0,1,mental health AND brain,1934
0,2,mental health AND brain,1934
0,3,mental health AND brain,1934
0,4,mental health AND brain,1934
0,1,mental health AND brain,1935
0,2,mental health AND brain,1935
0,3,mental health AND brain,1935
0,4,mental health AND brain,1935
0,1,mental health AND brain,1936
1,2,mental health AND brain,1936
0,3,mental health AND brain,1936
0,4,mental health AND brain,1936
0,1,mental health AND brain,1937
