hits,quarter,term,year
0,1,mental health AND crime,1900
0,2,mental health AND crime,1900
0,3,mental health AND crime,1900
0,4,mental health AND crime,1900
0,1,mental health AND crime,1901
0,2,mental health AND crime,1901
0,3,mental health AND crime,1901
0,4,mental health AND crime,1901
0,1,mental health AND crime,1902
0,2,mental health AND crime,1902
0,3,mental health AND crime,1902
0,4,mental health AND crime,1902
0,1,mental health AND crime,1903
0,2,mental health AND crime,1903
0,3,mental health AND crime,1903
0,4,mental health AND crime,1903
0,1,mental health AND crime,1904
0,2,mental health AND crime,1904
0,3,mental health AND crime,1904
0,4,mental health AND crime,1904
0,1,mental health AND crime,1905
0,2,mental health AND crime,1905
1,3,mental health AND crime,1905
0,4,mental health AND crime,1905
0,1,mental health AND crime,1906
0,2,mental health AND crime,1906
0,3,mental health AND crime,1906
0,4,mental health AND crime,1906
0,1,mental health AND crime,1907
0,2,mental health AND crime,1907
0,3,mental health AND crime,1907
0,4,mental health AND crime,1907
0,1,mental health AND crime,1908
0,2,mental health AND crime,1908
1,3,mental health AND crime,1908
0,4,mental health AND crime,1908
0,1,mental health AND crime,1909
0,2,mental health AND crime,1909
0,3,mental health AND crime,1909
0,4,mental health AND crime,1909
0,1,mental health AND crime,1910
0,2,mental health AND crime,1910
1,3,mental health AND crime,1910
0,4,mental health AND crime,1910
1,1,mental health AND crime,1911
0,2,mental health AND crime,1911
1,3,mental health AND crime,1911
2,4,mental health AND crime,1911
0,1,mental health AND crime,1912
0,2,mental health AND crime,1912
0,3,mental health AND crime,1912
0,4,mental health AND crime,1912
0,1,mental health AND crime,1913
1,2,mental health AND crime,1913
0,3,mental health AND crime,1913
0,4,mental health AND crime,1913
0,1,mental health AND crime,1914
0,2,mental health AND crime,1914
0,3,mental health AND crime,1914
0,4,mental health AND crime,1914
0,1,mental health AND crime,1915
0,2,mental health AND crime,1915
0,3,mental health AND crime,1915
0,4,mental health AND crime,1915
0,1,mental health AND crime,1916
0,2,mental health AND crime,1916
1,3,mental health AND crime,1916
0,4,mental health AND crime,1916
0,1,mental health AND crime,1917
0,2,mental health AND crime,1917
1,3,mental health AND crime,1917
0,4,mental health AND crime,1917
0,1,mental health AND crime,1918
0,2,mental health AND crime,1918
0,3,mental health AND crime,1918
0,4,mental health AND crime,1918
0,1,mental health AND crime,1919
0,2,mental health AND crime,1919
0,3,mental health AND crime,1919
1,4,mental health AND crime,1919
0,1,mental health AND crime,1920
0,2,mental health AND crime,1920
0,3,mental health AND crime,1920
0,4,mental health AND crime,1920
0,1,mental health AND crime,1921
1,2,mental health AND crime,1921
0,3,mental health AND crime,1921
0,4,mental health AND crime,1921
0,1,mental health AND crime,1922
0,2,mental health AND crime,1922
0,3,mental health AND crime,1922
1,4,mental health AND crime,1922
0,1,mental health AND crime,1923
1,2,mental health AND crime,1923
0,3,mental health AND crime,1923
0,4,mental health AND crime,1923
0,1,mental health AND crime,1924
2,2,mental health AND crime,1924
0,3,mental health AND crime,1924
1,4,mental health AND crime,1924
1,1,mental health AND crime,1925
0,2,mental health AND crime,1925
0,3,mental health AND crime,1925
0,4,mental health AND crime,1925
0,1,mental health AND crime,1926
1,2,mental health AND crime,1926
1,3,mental health AND crime,1926
0,4,mental health AND crime,1926
0,1,mental health AND crime,1927
0,2,mental health AND crime,1927
0,3,mental health AND crime,1927
0,4,mental health AND crime,1927
2,1,mental health AND crime,1928
0,2,mental health AND crime,1928
0,3,mental health AND crime,1928
0,4,mental health AND crime,1928
1,1,mental health AND crime,1929
0,2,mental health AND crime,1929
1,3,mental health AND crime,1929
2,4,mental health AND crime,1929
3,1,mental health AND crime,1930
1,2,mental health AND crime,1930
0,3,mental health AND crime,1930
0,4,mental health AND crime,1930
0,1,mental health AND crime,1931
3,2,mental health AND crime,1931
2,3,mental health AND crime,1931
0,4,mental health AND crime,1931
1,1,mental health AND crime,1932
1,2,mental health AND crime,1932
2,3,mental health AND crime,1932
1,4,mental health AND crime,1932
0,1,mental health AND crime,1933
1,2,mental health AND crime,1933
0,3,mental health AND crime,1933
1,4,mental health AND crime,1933
0,1,mental health AND crime,1934
0,2,mental health AND crime,1934
0,3,mental health AND crime,1934
1,4,mental health AND crime,1934
2,1,mental health AND crime,1935
0,2,mental health AND crime,1935
1,3,mental health AND crime,1935
0,4,mental health AND crime,1935
0,1,mental health AND crime,1936
0,2,mental health AND crime,1936
0,3,mental health AND crime,1936
0,4,mental health AND crime,1936
2,1,mental health AND crime,1937
0,2,mental health AND crime,1937
0,3,mental health AND crime,1937
0,4,mental health AND crime,1937
0,1,mental health AND crime,1938
1,2,mental health AND crime,1938
1,3,mental health AND crime,1938
0,4,mental health AND crime,1938
1,1,mental health AND crime,1939
1,2,mental health AND crime,1939
0,3,mental health AND crime,1939
0,4,mental health AND crime,1939
1,1,mental health AND crime,1940
0,2,mental health AND crime,1940
0,3,mental health AND crime,1940
0,4,mental health AND crime,1940
1,1,mental health AND crime,1941
0,2,mental health AND crime,1941
0,3,mental health AND crime,1941
0,4,mental health AND crime,1941
1,1,mental health AND crime,1942
0,2,mental health AND crime,1942
0,3,mental health AND crime,1942
2,4,mental health AND crime,1942
0,1,mental health AND crime,1943
0,2,mental health AND crime,1943
0,3,mental health AND crime,1943
1,4,mental health AND crime,1943
0,1,mental health AND crime,1944
0,2,mental health AND crime,1944
0,3,mental health AND crime,1944
1,4,mental health AND crime,1944
0,1,mental health AND crime,1945
0,2,mental health AND crime,1945
0,3,mental health AND crime,1945
0,4,mental health AND crime,1945
1,1,mental health AND crime,1946
0,2,mental health AND crime,1946
1,3,mental health AND crime,1946
