hits,quarter,term,year
0,1,mental health AND danger*,1900
0,2,mental health AND danger*,1900
0,3,mental health AND danger*,1900
0,4,mental health AND danger*,1900
0,1,mental health AND danger*,1901
0,2,mental health AND danger*,1901
1,3,mental health AND danger*,1901
0,4,mental health AND danger*,1901
0,1,mental health AND danger*,1902
0,2,mental health AND danger*,1902
0,3,mental health AND danger*,1902
0,4,mental health AND danger*,1902
0,1,mental health AND danger*,1903
0,2,mental health AND danger*,1903
0,3,mental health AND danger*,1903
0,4,mental health AND danger*,1903
0,1,mental health AND danger*,1904
0,2,mental health AND danger*,1904
0,3,mental health AND danger*,1904
0,4,mental health AND danger*,1904
2,1,mental health AND danger*,1905
0,2,mental health AND danger*,1905
1,3,mental health AND danger*,1905
0,4,mental health AND danger*,1905
0,1,mental health AND danger*,1906
0,2,mental health AND danger*,1906
0,3,mental health AND danger*,1906
0,4,mental health AND danger*,1906
0,1,mental health AND danger*,1907
0,2,mental health AND danger*,1907
0,3,mental health AND danger*,1907
0,4,mental health AND danger*,1907
0,1,mental health AND danger*,1908
0,2,mental health AND danger*,1908
1,3,mental health AND danger*,1908
0,4,mental health AND danger*,1908
0,1,mental health AND danger*,1909
0,2,mental health AND danger*,1909
0,3,mental health AND danger*,1909
0,4,mental health AND danger*,1909
0,1,mental health AND danger*,1910
0,2,mental health AND danger*,1910
1,3,mental health AND danger*,1910
0,4,mental health AND danger*,1910
0,1,mental health AND danger*,1911
1,2,mental health AND danger*,1911
1,3,mental health AND danger*,1911
1,4,mental health AND danger*,1911
0,1,mental health AND danger*,1912
0,2,mental health AND danger*,1912
0,3,mental health AND danger*,1912
1,4,mental health AND danger*,1912
0,1,mental health AND danger*,1913
2,2,mental health AND danger*,1913
0,3,mental health AND danger*,1913
0,4,mental health AND danger*,1913
0,1,mental health AND danger*,1914
0,2,mental health AND danger*,1914
0,3,mental health AND danger*,1914
0,4,mental health AND danger*,1914
0,1,mental health AND danger*,1915
0,2,mental health AND danger*,1915
0,3,mental health AND danger*,1915
1,4,mental health AND danger*,1915
0,1,mental health AND danger*,1916
0,2,mental health AND danger*,1916
0,3,mental health AND danger*,1916
0,4,mental health AND danger*,1916
0,1,mental health AND danger*,1917
0,2,mental health AND danger*,1917
0,3,mental health AND danger*,1917
0,4,mental health AND danger*,1917
1,1,mental health AND danger*,1918
1,2,mental health AND danger*,1918
0,3,mental health AND danger*,1918
0,4,mental health AND danger*,1918
