hits,quarter,term,year
0,1,mental health AND ethnicity,1900
0,2,mental health AND ethnicity,1900
0,3,mental health AND ethnicity,1900
0,4,mental health AND ethnicity,1900
0,1,mental health AND ethnicity,1901
0,2,mental health AND ethnicity,1901
0,3,mental health AND ethnicity,1901
0,4,mental health AND ethnicity,1901
0,1,mental health AND ethnicity,1902
0,2,mental health AND ethnicity,1902
0,3,mental health AND ethnicity,1902
0,4,mental health AND ethnicity,1902
0,1,mental health AND ethnicity,1903
0,2,mental health AND ethnicity,1903
0,3,mental health AND ethnicity,1903
0,4,mental health AND ethnicity,1903
0,1,mental health AND ethnicity,1904
0,2,mental health AND ethnicity,1904
0,3,mental health AND ethnicity,1904
0,4,mental health AND ethnicity,1904
0,1,mental health AND ethnicity,1905
0,2,mental health AND ethnicity,1905
0,3,mental health AND ethnicity,1905
0,4,mental health AND ethnicity,1905
0,1,mental health AND ethnicity,1906
0,2,mental health AND ethnicity,1906
0,3,mental health AND ethnicity,1906
0,4,mental health AND ethnicity,1906
0,1,mental health AND ethnicity,1907
0,2,mental health AND ethnicity,1907
0,3,mental health AND ethnicity,1907
0,4,mental health AND ethnicity,1907
0,1,mental health AND ethnicity,1908
0,2,mental health AND ethnicity,1908
0,3,mental health AND ethnicity,1908
0,4,mental health AND ethnicity,1908
0,1,mental health AND ethnicity,1909
0,2,mental health AND ethnicity,1909
0,3,mental health AND ethnicity,1909
0,4,mental health AND ethnicity,1909
0,1,mental health AND ethnicity,1910
0,2,mental health AND ethnicity,1910
0,3,mental health AND ethnicity,1910
0,4,mental health AND ethnicity,1910
0,1,mental health AND ethnicity,1911
0,2,mental health AND ethnicity,1911
0,3,mental health AND ethnicity,1911
0,4,mental health AND ethnicity,1911
0,1,mental health AND ethnicity,1912
0,2,mental health AND ethnicity,1912
0,3,mental health AND ethnicity,1912
0,4,mental health AND ethnicity,1912
0,1,mental health AND ethnicity,1913
0,2,mental health AND ethnicity,1913
0,3,mental health AND ethnicity,1913
0,4,mental health AND ethnicity,1913
0,1,mental health AND ethnicity,1914
0,2,mental health AND ethnicity,1914
0,3,mental health AND ethnicity,1914
