hits,quarter,term,year
0,1,mental health AND neuroscience,1900
0,2,mental health AND neuroscience,1900
0,3,mental health AND neuroscience,1900
0,4,mental health AND neuroscience,1900
0,1,mental health AND neuroscience,1901
0,2,mental health AND neuroscience,1901
0,3,mental health AND neuroscience,1901
0,4,mental health AND neuroscience,1901
0,1,mental health AND neuroscience,1902
0,2,mental health AND neuroscience,1902
0,3,mental health AND neuroscience,1902
0,4,mental health AND neuroscience,1902
0,1,mental health AND neuroscience,1903
0,2,mental health AND neuroscience,1903
0,3,mental health AND neuroscience,1903
0,4,mental health AND neuroscience,1903
0,1,mental health AND neuroscience,1904
0,2,mental health AND neuroscience,1904
0,3,mental health AND neuroscience,1904
0,4,mental health AND neuroscience,1904
0,1,mental health AND neuroscience,1905
0,2,mental health AND neuroscience,1905
0,3,mental health AND neuroscience,1905
0,4,mental health AND neuroscience,1905
0,1,mental health AND neuroscience,1906
0,2,mental health AND neuroscience,1906
0,3,mental health AND neuroscience,1906
0,4,mental health AND neuroscience,1906
0,1,mental health AND neuroscience,1907
0,2,mental health AND neuroscience,1907
0,3,mental health AND neuroscience,1907
0,4,mental health AND neuroscience,1907
0,1,mental health AND neuroscience,1908
0,2,mental health AND neuroscience,1908
0,3,mental health AND neuroscience,1908
0,4,mental health AND neuroscience,1908
0,1,mental health AND neuroscience,1909
0,2,mental health AND neuroscience,1909
0,3,mental health AND neuroscience,1909
0,4,mental health AND neuroscience,1909
0,1,mental health AND neuroscience,1910
0,2,mental health AND neuroscience,1910
0,3,mental health AND neuroscience,1910
0,4,mental health AND neuroscience,1910
0,1,mental health AND neuroscience,1911
0,2,mental health AND neuroscience,1911
0,3,mental health AND neuroscience,1911
0,4,mental health AND neuroscience,1911
0,1,mental health AND neuroscience,1912
0,2,mental health AND neuroscience,1912
0,3,mental health AND neuroscience,1912
0,4,mental health AND neuroscience,1912
0,1,mental health AND neuroscience,1913
0,2,mental health AND neuroscience,1913
0,3,mental health AND neuroscience,1913
0,4,mental health AND neuroscience,1913
0,1,mental health AND neuroscience,1914
0,2,mental health AND neuroscience,1914
0,3,mental health AND neuroscience,1914
0,4,mental health AND neuroscience,1914
0,1,mental health AND neuroscience,1915
0,2,mental health AND neuroscience,1915
0,3,mental health AND neuroscience,1915
0,4,mental health AND neuroscience,1915
0,1,mental health AND neuroscience,1916
0,2,mental health AND neuroscience,1916
0,3,mental health AND neuroscience,1916
0,4,mental health AND neuroscience,1916
0,1,mental health AND neuroscience,1917
0,2,mental health AND neuroscience,1917
0,3,mental health AND neuroscience,1917
0,4,mental health AND neuroscience,1917
0,1,mental health AND neuroscience,1918
0,2,mental health AND neuroscience,1918
0,3,mental health AND neuroscience,1918
0,4,mental health AND neuroscience,1918
0,1,mental health AND neuroscience,1919
0,2,mental health AND neuroscience,1919
0,3,mental health AND neuroscience,1919
0,4,mental health AND neuroscience,1919
0,1,mental health AND neuroscience,1920
0,2,mental health AND neuroscience,1920
0,3,mental health AND neuroscience,1920
0,4,mental health AND neuroscience,1920
0,1,mental health AND neuroscience,1921
0,2,mental health AND neuroscience,1921
0,3,mental health AND neuroscience,1921
0,4,mental health AND neuroscience,1921
0,1,mental health AND neuroscience,1922
0,2,mental health AND neuroscience,1922
0,3,mental health AND neuroscience,1922
0,4,mental health AND neuroscience,1922
0,1,mental health AND neuroscience,1923
0,2,mental health AND neuroscience,1923
0,3,mental health AND neuroscience,1923
0,4,mental health AND neuroscience,1923
0,1,mental health AND neuroscience,1924
0,2,mental health AND neuroscience,1924
0,3,mental health AND neuroscience,1924
0,4,mental health AND neuroscience,1924
0,1,mental health AND neuroscience,1925
0,2,mental health AND neuroscience,1925
0,3,mental health AND neuroscience,1925
0,4,mental health AND neuroscience,1925
0,1,mental health AND neuroscience,1926
0,2,mental health AND neuroscience,1926
0,3,mental health AND neuroscience,1926
0,4,mental health AND neuroscience,1926
0,1,mental health AND neuroscience,1927
0,2,mental health AND neuroscience,1927
0,3,mental health AND neuroscience,1927
0,4,mental health AND neuroscience,1927
0,1,mental health AND neuroscience,1928
0,2,mental health AND neuroscience,1928
0,3,mental health AND neuroscience,1928
0,4,mental health AND neuroscience,1928
0,1,mental health AND neuroscience,1929
0,2,mental health AND neuroscience,1929
0,3,mental health AND neuroscience,1929
0,4,mental health AND neuroscience,1929
0,1,mental health AND neuroscience,1930
0,2,mental health AND neuroscience,1930
0,3,mental health AND neuroscience,1930
0,4,mental health AND neuroscience,1930
0,1,mental health AND neuroscience,1931
0,2,mental health AND neuroscience,1931
0,3,mental health AND neuroscience,1931
0,4,mental health AND neuroscience,1931
0,1,mental health AND neuroscience,1932
0,2,mental health AND neuroscience,1932
0,3,mental health AND neuroscience,1932
0,4,mental health AND neuroscience,1932
0,1,mental health AND neuroscience,1933
0,2,mental health AND neuroscience,1933
0,3,mental health AND neuroscience,1933
0,4,mental health AND neuroscience,1933
0,1,mental health AND neuroscience,1934
0,2,mental health AND neuroscience,1934
0,3,mental health AND neuroscience,1934
0,4,mental health AND neuroscience,1934
0,1,mental health AND neuroscience,1935
0,2,mental health AND neuroscience,1935
0,3,mental health AND neuroscience,1935
0,4,mental health AND neuroscience,1935
0,1,mental health AND neuroscience,1936
0,2,mental health AND neuroscience,1936
0,3,mental health AND neuroscience,1936
0,4,mental health AND neuroscience,1936
0,1,mental health AND neuroscience,1937
0,2,mental health AND neuroscience,1937
0,3,mental health AND neuroscience,1937
0,4,mental health AND neuroscience,1937
0,1,mental health AND neuroscience,1938
0,2,mental health AND neuroscience,1938
0,3,mental health AND neuroscience,1938
0,4,mental health AND neuroscience,1938
0,1,mental health AND neuroscience,1939
0,2,mental health AND neuroscience,1939
0,3,mental health AND neuroscience,1939
0,4,mental health AND neuroscience,1939
0,1,mental health AND neuroscience,1940
0,2,mental health AND neuroscience,1940
0,3,mental health AND neuroscience,1940
0,4,mental health AND neuroscience,1940
0,1,mental health AND neuroscience,1941
0,2,mental health AND neuroscience,1941
0,3,mental health AND neuroscience,1941
0,4,mental health AND neuroscience,1941
0,1,mental health AND neuroscience,1942
0,2,mental health AND neuroscience,1942
0,3,mental health AND neuroscience,1942
0,4,mental health AND neuroscience,1942
0,1,mental health AND neuroscience,1943
0,2,mental health AND neuroscience,1943
0,3,mental health AND neuroscience,1943
0,4,mental health AND neuroscience,1943
0,1,mental health AND neuroscience,1944
0,2,mental health AND neuroscience,1944
0,3,mental health AND neuroscience,1944
0,4,mental health AND neuroscience,1944
0,1,mental health AND neuroscience,1945
0,2,mental health AND neuroscience,1945
0,3,mental health AND neuroscience,1945
0,4,mental health AND neuroscience,1945
0,1,mental health AND neuroscience,1946
0,2,mental health AND neuroscience,1946
0,3,mental health AND neuroscience,1946
0,4,mental health AND neuroscience,1946
0,1,mental health AND neuroscience,1947
0,2,mental health AND neuroscience,1947
0,3,mental health AND neuroscience,1947
0,4,mental health AND neuroscience,1947
0,1,mental health AND neuroscience,1948
0,2,mental health AND neuroscience,1948
0,3,mental health AND neuroscience,1948
0,4,mental health AND neuroscience,1948
0,1,mental health AND neuroscience,1949
0,2,mental health AND neuroscience,1949
0,3,mental health AND neuroscience,1949
0,4,mental health AND neuroscience,1949
0,1,mental health AND neuroscience,1950
0,2,mental health AND neuroscience,1950
0,3,mental health AND neuroscience,1950
0,4,mental health AND neuroscience,1950
