hits,quarter,term,year
0,1,mental health AND prison,1900
0,2,mental health AND prison,1900
0,3,mental health AND prison,1900
0,4,mental health AND prison,1900
0,1,mental health AND prison,1901
0,2,mental health AND prison,1901
0,3,mental health AND prison,1901
0,4,mental health AND prison,1901
0,1,mental health AND prison,1902
0,2,mental health AND prison,1902
0,3,mental health AND prison,1902
0,4,mental health AND prison,1902
0,1,mental health AND prison,1903
0,2,mental health AND prison,1903
0,3,mental health AND prison,1903
0,4,mental health AND prison,1903
0,1,mental health AND prison,1904
0,2,mental health AND prison,1904
0,3,mental health AND prison,1904
0,4,mental health AND prison,1904
0,1,mental health AND prison,1905
0,2,mental health AND prison,1905
0,3,mental health AND prison,1905
0,4,mental health AND prison,1905
0,1,mental health AND prison,1906
0,2,mental health AND prison,1906
0,3,mental health AND prison,1906
0,4,mental health AND prison,1906
0,1,mental health AND prison,1907
0,2,mental health AND prison,1907
0,3,mental health AND prison,1907
0,4,mental health AND prison,1907
0,1,mental health AND prison,1908
0,2,mental health AND prison,1908
0,3,mental health AND prison,1908
1,4,mental health AND prison,1908
0,1,mental health AND prison,1909
0,2,mental health AND prison,1909
0,3,mental health AND prison,1909
0,4,mental health AND prison,1909
0,1,mental health AND prison,1910
0,2,mental health AND prison,1910
0,3,mental health AND prison,1910
0,4,mental health AND prison,1910
0,1,mental health AND prison,1911
0,2,mental health AND prison,1911
0,3,mental health AND prison,1911
2,4,mental health AND prison,1911
0,1,mental health AND prison,1912
0,2,mental health AND prison,1912
0,3,mental health AND prison,1912
0,4,mental health AND prison,1912
0,1,mental health AND prison,1913
0,2,mental health AND prison,1913
0,3,mental health AND prison,1913
0,4,mental health AND prison,1913
0,1,mental health AND prison,1914
0,2,mental health AND prison,1914
0,3,mental health AND prison,1914
0,4,mental health AND prison,1914
0,1,mental health AND prison,1915
0,2,mental health AND prison,1915
0,3,mental health AND prison,1915
0,4,mental health AND prison,1915
0,1,mental health AND prison,1916
0,2,mental health AND prison,1916
0,3,mental health AND prison,1916
0,4,mental health AND prison,1916
0,1,mental health AND prison,1917
0,2,mental health AND prison,1917
1,3,mental health AND prison,1917
0,4,mental health AND prison,1917
0,1,mental health AND prison,1918
0,2,mental health AND prison,1918
0,3,mental health AND prison,1918
0,4,mental health AND prison,1918
0,1,mental health AND prison,1919
0,2,mental health AND prison,1919
0,3,mental health AND prison,1919
0,4,mental health AND prison,1919
0,1,mental health AND prison,1920
0,2,mental health AND prison,1920
0,3,mental health AND prison,1920
0,4,mental health AND prison,1920
0,1,mental health AND prison,1921
1,2,mental health AND prison,1921
0,3,mental health AND prison,1921
0,4,mental health AND prison,1921
0,1,mental health AND prison,1922
0,2,mental health AND prison,1922
0,3,mental health AND prison,1922
1,4,mental health AND prison,1922
0,1,mental health AND prison,1923
1,2,mental health AND prison,1923
0,3,mental health AND prison,1923
0,4,mental health AND prison,1923
0,1,mental health AND prison,1924
1,2,mental health AND prison,1924
1,3,mental health AND prison,1924
0,4,mental health AND prison,1924
0,1,mental health AND prison,1925
0,2,mental health AND prison,1925
0,3,mental health AND prison,1925
0,4,mental health AND prison,1925
0,1,mental health AND prison,1926
1,2,mental health AND prison,1926
0,3,mental health AND prison,1926
0,4,mental health AND prison,1926
0,1,mental health AND prison,1927
0,2,mental health AND prison,1927
0,3,mental health AND prison,1927
0,4,mental health AND prison,1927
1,1,mental health AND prison,1928
0,2,mental health AND prison,1928
0,3,mental health AND prison,1928
1,4,mental health AND prison,1928
0,1,mental health AND prison,1929
0,2,mental health AND prison,1929
1,3,mental health AND prison,1929
1,4,mental health AND prison,1929
1,1,mental health AND prison,1930
0,2,mental health AND prison,1930
1,3,mental health AND prison,1930
0,4,mental health AND prison,1930
0,1,mental health AND prison,1931
1,2,mental health AND prison,1931
1,3,mental health AND prison,1931
0,4,mental health AND prison,1931
0,1,mental health AND prison,1932
1,2,mental health AND prison,1932
2,3,mental health AND prison,1932
1,4,mental health AND prison,1932
0,1,mental health AND prison,1933
0,2,mental health AND prison,1933
0,3,mental health AND prison,1933
0,4,mental health AND prison,1933
1,1,mental health AND prison,1934
0,2,mental health AND prison,1934
1,3,mental health AND prison,1934
1,4,mental health AND prison,1934
0,1,mental health AND prison,1935
0,2,mental health AND prison,1935
0,3,mental health AND prison,1935
0,4,mental health AND prison,1935
0,1,mental health AND prison,1936
0,2,mental health AND prison,1936
1,3,mental health AND prison,1936
0,4,mental health AND prison,1936
0,1,mental health AND prison,1937
0,2,mental health AND prison,1937
2,3,mental health AND prison,1937
0,4,mental health AND prison,1937
1,1,mental health AND prison,1938
0,2,mental health AND prison,1938
2,3,mental health AND prison,1938
1,4,mental health AND prison,1938
0,1,mental health AND prison,1939
2,2,mental health AND prison,1939
0,3,mental health AND prison,1939
0,4,mental health AND prison,1939
0,1,mental health AND prison,1940
0,2,mental health AND prison,1940
0,3,mental health AND prison,1940
0,4,mental health AND prison,1940
1,1,mental health AND prison,1941
0,2,mental health AND prison,1941
0,3,mental health AND prison,1941
0,4,mental health AND prison,1941
0,1,mental health AND prison,1942
0,2,mental health AND prison,1942
0,3,mental health AND prison,1942
1,4,mental health AND prison,1942
0,1,mental health AND prison,1943
0,2,mental health AND prison,1943
0,3,mental health AND prison,1943
2,4,mental health AND prison,1943
0,1,mental health AND prison,1944
0,2,mental health AND prison,1944
0,3,mental health AND prison,1944
1,4,mental health AND prison,1944
1,1,mental health AND prison,1945
0,2,mental health AND prison,1945
0,3,mental health AND prison,1945
0,4,mental health AND prison,1945
1,1,mental health AND prison,1946
0,2,mental health AND prison,1946
0,3,mental health AND prison,1946
0,4,mental health AND prison,1946
0,1,mental health AND prison,1947
0,2,mental health AND prison,1947
0,3,mental health AND prison,1947
2,4,mental health AND prison,1947
0,1,mental health AND prison,1948
1,2,mental health AND prison,1948
1,3,mental health AND prison,1948
0,4,mental health AND prison,1948
1,1,mental health AND prison,1949
0,2,mental health AND prison,1949
0,3,mental health AND prison,1949
1,4,mental health AND prison,1949
1,1,mental health AND prison,1950
3,2,mental health AND prison,1950
3,3,mental health AND prison,1950
1,4,mental health AND prison,1950
0,1,mental health AND prison,1951
1,2,mental health AND prison,1951
3,3,mental health AND prison,1951
0,4,mental health AND prison,1951
1,1,mental health AND prison,1952
1,2,mental health AND prison,1952
0,3,mental health AND prison,1952
2,4,mental health AND prison,1952
4,1,mental health AND prison,1953
0,2,mental health AND prison,1953
0,3,mental health AND prison,1953
2,4,mental health AND prison,1953
2,1,mental health AND prison,1954
0,2,mental health AND prison,1954
4,3,mental health AND prison,1954
3,4,mental health AND prison,1954
2,1,mental health AND prison,1955
3,2,mental health AND prison,1955
2,3,mental health AND prison,1955
2,4,mental health AND prison,1955
5,1,mental health AND prison,1956
4,2,mental health AND prison,1956
1,3,mental health AND prison,1956
1,4,mental health AND prison,1956
1,1,mental health AND prison,1957
2,2,mental health AND prison,1957
3,3,mental health AND prison,1957
1,4,mental health AND prison,1957
4,1,mental health AND prison,1958
0,2,mental health AND prison,1958
0,3,mental health AND prison,1958
0,4,mental health AND prison,1958
3,1,mental health AND prison,1959
2,2,mental health AND prison,1959
5,3,mental health AND prison,1959
1,4,mental health AND prison,1959
2,1,mental health AND prison,1960
4,2,mental health AND prison,1960
0,3,mental health AND prison,1960
1,4,mental health AND prison,1960
2,1,mental health AND prison,1961
0,2,mental health AND prison,1961
0,3,mental health AND prison,1961
1,4,mental health AND prison,1961
2,1,mental health AND prison,1962
2,2,mental health AND prison,1962
4,3,mental health AND prison,1962
3,4,mental health AND prison,1962
3,1,mental health AND prison,1963
5,2,mental health AND prison,1963
2,3,mental health AND prison,1963
5,4,mental health AND prison,1963
2,1,mental health AND prison,1964
3,2,mental health AND prison,1964
0,3,mental health AND prison,1964
5,4,mental health AND prison,1964
2,1,mental health AND prison,1965
1,2,mental health AND prison,1965
2,3,mental health AND prison,1965
3,4,mental health AND prison,1965
14,1,mental health AND prison,1966
17,2,mental health AND prison,1966
12,3,mental health AND prison,1966
11,4,mental health AND prison,1966
3,1,mental health AND prison,1967
1,2,mental health AND prison,1967
