hits,quarter,term,year
0,1,mental health AND religion,1900
0,2,mental health AND religion,1900
0,3,mental health AND religion,1900
1,4,mental health AND religion,1900
0,1,mental health AND religion,1901
0,2,mental health AND religion,1901
0,3,mental health AND religion,1901
0,4,mental health AND religion,1901
0,1,mental health AND religion,1902
0,2,mental health AND religion,1902
0,3,mental health AND religion,1902
0,4,mental health AND religion,1902
0,1,mental health AND religion,1903
0,2,mental health AND religion,1903
0,3,mental health AND religion,1903
0,4,mental health AND religion,1903
0,1,mental health AND religion,1904
0,2,mental health AND religion,1904
0,3,mental health AND religion,1904
0,4,mental health AND religion,1904
1,1,mental health AND religion,1905
0,2,mental health AND religion,1905
0,3,mental health AND religion,1905
0,4,mental health AND religion,1905
0,1,mental health AND religion,1906
0,2,mental health AND religion,1906
0,3,mental health AND religion,1906
1,4,mental health AND religion,1906
0,1,mental health AND religion,1907
0,2,mental health AND religion,1907
0,3,mental health AND religion,1907
0,4,mental health AND religion,1907
0,1,mental health AND religion,1908
0,2,mental health AND religion,1908
0,3,mental health AND religion,1908
0,4,mental health AND religion,1908
0,1,mental health AND religion,1909
0,2,mental health AND religion,1909
0,3,mental health AND religion,1909
0,4,mental health AND religion,1909
0,1,mental health AND religion,1910
0,2,mental health AND religion,1910
0,3,mental health AND religion,1910
0,4,mental health AND religion,1910
1,1,mental health AND religion,1911
1,2,mental health AND religion,1911
0,3,mental health AND religion,1911
1,4,mental health AND religion,1911
0,1,mental health AND religion,1912
0,2,mental health AND religion,1912
0,3,mental health AND religion,1912
0,4,mental health AND religion,1912
0,1,mental health AND religion,1913
3,2,mental health AND religion,1913
0,3,mental health AND religion,1913
0,4,mental health AND religion,1913
2,1,mental health AND religion,1914
0,2,mental health AND religion,1914
0,3,mental health AND religion,1914
0,4,mental health AND religion,1914
0,1,mental health AND religion,1915
0,2,mental health AND religion,1915
0,3,mental health AND religion,1915
1,4,mental health AND religion,1915
0,1,mental health AND religion,1916
0,2,mental health AND religion,1916
1,3,mental health AND religion,1916
0,4,mental health AND religion,1916
0,1,mental health AND religion,1917
0,2,mental health AND religion,1917
0,3,mental health AND religion,1917
0,4,mental health AND religion,1917
1,1,mental health AND religion,1918
0,2,mental health AND religion,1918
0,3,mental health AND religion,1918
0,4,mental health AND religion,1918
0,1,mental health AND religion,1919
0,2,mental health AND religion,1919
0,3,mental health AND religion,1919
0,4,mental health AND religion,1919
0,1,mental health AND religion,1920
