hits,quarter,term,year
0,1,mental health AND violen*,1900
0,2,mental health AND violen*,1900
0,3,mental health AND violen*,1900
0,4,mental health AND violen*,1900
0,1,mental health AND violen*,1901
0,2,mental health AND violen*,1901
0,3,mental health AND violen*,1901
0,4,mental health AND violen*,1901
0,1,mental health AND violen*,1902
0,2,mental health AND violen*,1902
0,3,mental health AND violen*,1902
0,4,mental health AND violen*,1902
0,1,mental health AND violen*,1903
0,2,mental health AND violen*,1903
0,3,mental health AND violen*,1903
0,4,mental health AND violen*,1903
0,1,mental health AND violen*,1904
0,2,mental health AND violen*,1904
0,3,mental health AND violen*,1904
0,4,mental health AND violen*,1904
0,1,mental health AND violen*,1905
0,2,mental health AND violen*,1905
0,3,mental health AND violen*,1905
0,4,mental health AND violen*,1905
0,1,mental health AND violen*,1906
0,2,mental health AND violen*,1906
0,3,mental health AND violen*,1906
0,4,mental health AND violen*,1906
0,1,mental health AND violen*,1907
0,2,mental health AND violen*,1907
0,3,mental health AND violen*,1907
0,4,mental health AND violen*,1907
0,1,mental health AND violen*,1908
0,2,mental health AND violen*,1908
1,3,mental health AND violen*,1908
0,4,mental health AND violen*,1908
1,1,mental health AND violen*,1909
0,2,mental health AND violen*,1909
1,3,mental health AND violen*,1909
0,4,mental health AND violen*,1909
0,1,mental health AND violen*,1910
0,2,mental health AND violen*,1910
0,3,mental health AND violen*,1910
0,4,mental health AND violen*,1910
0,1,mental health AND violen*,1911
0,2,mental health AND violen*,1911
1,3,mental health AND violen*,1911
1,4,mental health AND violen*,1911
0,1,mental health AND violen*,1912
2,2,mental health AND violen*,1912
0,3,mental health AND violen*,1912
0,4,mental health AND violen*,1912
0,1,mental health AND violen*,1913
0,2,mental health AND violen*,1913
0,3,mental health AND violen*,1913
0,4,mental health AND violen*,1913
0,1,mental health AND violen*,1914
0,2,mental health AND violen*,1914
0,3,mental health AND violen*,1914
0,4,mental health AND violen*,1914
0,1,mental health AND violen*,1915
0,2,mental health AND violen*,1915
0,3,mental health AND violen*,1915
0,4,mental health AND violen*,1915
1,1,mental health AND violen*,1916
0,2,mental health AND violen*,1916
0,3,mental health AND violen*,1916
0,4,mental health AND violen*,1916
0,1,mental health AND violen*,1917
0,2,mental health AND violen*,1917
0,3,mental health AND violen*,1917
0,4,mental health AND violen*,1917
0,1,mental health AND violen*,1918
0,2,mental health AND violen*,1918
0,3,mental health AND violen*,1918
0,4,mental health AND violen*,1918
0,1,mental health AND violen*,1919
0,2,mental health AND violen*,1919
0,3,mental health AND violen*,1919
0,4,mental health AND violen*,1919
0,1,mental health AND violen*,1920
0,2,mental health AND violen*,1920
0,3,mental health AND violen*,1920
0,4,mental health AND violen*,1920
0,1,mental health AND violen*,1921
0,2,mental health AND violen*,1921
0,3,mental health AND violen*,1921
0,4,mental health AND violen*,1921
0,1,mental health AND violen*,1922
1,2,mental health AND violen*,1922
1,3,mental health AND violen*,1922
0,4,mental health AND violen*,1922
0,1,mental health AND violen*,1923
0,2,mental health AND violen*,1923
0,3,mental health AND violen*,1923
2,4,mental health AND violen*,1923
0,1,mental health AND violen*,1924
0,2,mental health AND violen*,1924
0,3,mental health AND violen*,1924
0,4,mental health AND violen*,1924
1,1,mental health AND violen*,1925
0,2,mental health AND violen*,1925
0,3,mental health AND violen*,1925
0,4,mental health AND violen*,1925
0,1,mental health AND violen*,1926
0,2,mental health AND violen*,1926
0,3,mental health AND violen*,1926
0,4,mental health AND violen*,1926
1,1,mental health AND violen*,1927
0,2,mental health AND violen*,1927
0,3,mental health AND violen*,1927
0,4,mental health AND violen*,1927
1,1,mental health AND violen*,1928
0,2,mental health AND violen*,1928
0,3,mental health AND violen*,1928
0,4,mental health AND violen*,1928
0,1,mental health AND violen*,1929
0,2,mental health AND violen*,1929
0,3,mental health AND violen*,1929
1,4,mental health AND violen*,1929
0,1,mental health AND violen*,1930
0,2,mental health AND violen*,1930
0,3,mental health AND violen*,1930
0,4,mental health AND violen*,1930
0,1,mental health AND violen*,1931
0,2,mental health AND violen*,1931
1,3,mental health AND violen*,1931
0,4,mental health AND violen*,1931
0,1,mental health AND violen*,1932
2,2,mental health AND violen*,1932
0,3,mental health AND violen*,1932
1,4,mental health AND violen*,1932
0,1,mental health AND violen*,1933
1,2,mental health AND violen*,1933
0,3,mental health AND violen*,1933
0,4,mental health AND violen*,1933
0,1,mental health AND violen*,1934
0,2,mental health AND violen*,1934
0,3,mental health AND violen*,1934
0,4,mental health AND violen*,1934
0,1,mental health AND violen*,1935
0,2,mental health AND violen*,1935
0,3,mental health AND violen*,1935
0,4,mental health AND violen*,1935
0,1,mental health AND violen*,1936
0,2,mental health AND violen*,1936
0,3,mental health AND violen*,1936
0,4,mental health AND violen*,1936
0,1,mental health AND violen*,1937
1,2,mental health AND violen*,1937
0,3,mental health AND violen*,1937
0,4,mental health AND violen*,1937
0,1,mental health AND violen*,1938
0,2,mental health AND violen*,1938
0,3,mental health AND violen*,1938
1,4,mental health AND violen*,1938
0,1,mental health AND violen*,1939
0,2,mental health AND violen*,1939
1,3,mental health AND violen*,1939
0,4,mental health AND violen*,1939
0,1,mental health AND violen*,1940
0,2,mental health AND violen*,1940
0,3,mental health AND violen*,1940
0,4,mental health AND violen*,1940
0,1,mental health AND violen*,1941
0,2,mental health AND violen*,1941
0,3,mental health AND violen*,1941
0,4,mental health AND violen*,1941
0,1,mental health AND violen*,1942
0,2,mental health AND violen*,1942
0,3,mental health AND violen*,1942
0,4,mental health AND violen*,1942
0,1,mental health AND violen*,1943
0,2,mental health AND violen*,1943
0,3,mental health AND violen*,1943
0,4,mental health AND violen*,1943
0,1,mental health AND violen*,1944
0,2,mental health AND violen*,1944
0,3,mental health AND violen*,1944
3,4,mental health AND violen*,1944
0,1,mental health AND violen*,1945
0,2,mental health AND violen*,1945
1,3,mental health AND violen*,1945
1,4,mental health AND violen*,1945
