hits,quarter,term,year
0,1,mental health OR mental illness OR behavioral health,1900
0,2,mental health OR mental illness OR behavioral health,1900
0,3,mental health OR mental illness OR behavioral health,1900
1,4,mental health OR mental illness OR behavioral health,1900
0,1,mental health OR mental illness OR behavioral health,1901
0,2,mental health OR mental illness OR behavioral health,1901
1,3,mental health OR mental illness OR behavioral health,1901
0,4,mental health OR mental illness OR behavioral health,1901
0,1,mental health OR mental illness OR behavioral health,1902
0,2,mental health OR mental illness OR behavioral health,1902
0,3,mental health OR mental illness OR behavioral health,1902
0,4,mental health OR mental illness OR behavioral health,1902
1,1,mental health OR mental illness OR behavioral health,1903
0,2,mental health OR mental illness OR behavioral health,1903
1,3,mental health OR mental illness OR behavioral health,1903
0,4,mental health OR mental illness OR behavioral health,1903
0,1,mental health OR mental illness OR behavioral health,1904
2,2,mental health OR mental illness OR behavioral health,1904
0,3,mental health OR mental illness OR behavioral health,1904
2,4,mental health OR mental illness OR behavioral health,1904
2,1,mental health OR mental illness OR behavioral health,1905
1,2,mental health OR mental illness OR behavioral health,1905
1,3,mental health OR mental illness OR behavioral health,1905
0,4,mental health OR mental illness OR behavioral health,1905
0,1,mental health OR mental illness OR behavioral health,1906
0,2,mental health OR mental illness OR behavioral health,1906
0,3,mental health OR mental illness OR behavioral health,1906
1,4,mental health OR mental illness OR behavioral health,1906
1,1,mental health OR mental illness OR behavioral health,1907
2,2,mental health OR mental illness OR behavioral health,1907
0,3,mental health OR mental illness OR behavioral health,1907
3,4,mental health OR mental illness OR behavioral health,1907
0,1,mental health OR mental illness OR behavioral health,1908
0,2,mental health OR mental illness OR behavioral health,1908
2,3,mental health OR mental illness OR behavioral health,1908
2,4,mental health OR mental illness OR behavioral health,1908
1,1,mental health OR mental illness OR behavioral health,1909
0,2,mental health OR mental illness OR behavioral health,1909
2,3,mental health OR mental illness OR behavioral health,1909
3,4,mental health OR mental illness OR behavioral health,1909
0,1,mental health OR mental illness OR behavioral health,1910
0,2,mental health OR mental illness OR behavioral health,1910
4,3,mental health OR mental illness OR behavioral health,1910
0,4,mental health OR mental illness OR behavioral health,1910
1,1,mental health OR mental illness OR behavioral health,1911
2,2,mental health OR mental illness OR behavioral health,1911
1,3,mental health OR mental illness OR behavioral health,1911
2,4,mental health OR mental illness OR behavioral health,1911
0,1,mental health OR mental illness OR behavioral health,1912
3,2,mental health OR mental illness OR behavioral health,1912
1,3,mental health OR mental illness OR behavioral health,1912
2,4,mental health OR mental illness OR behavioral health,1912
0,1,mental health OR mental illness OR behavioral health,1913
3,2,mental health OR mental illness OR behavioral health,1913
1,3,mental health OR mental illness OR behavioral health,1913
0,4,mental health OR mental illness OR behavioral health,1913
2,1,mental health OR mental illness OR behavioral health,1914
0,2,mental health OR mental illness OR behavioral health,1914
0,3,mental health OR mental illness OR behavioral health,1914
1,4,mental health OR mental illness OR behavioral health,1914
1,1,mental health OR mental illness OR behavioral health,1915
1,2,mental health OR mental illness OR behavioral health,1915
1,3,mental health OR mental illness OR behavioral health,1915
4,4,mental health OR mental illness OR behavioral health,1915
2,1,mental health OR mental illness OR behavioral health,1916
1,2,mental health OR mental illness OR behavioral health,1916
1,4,mental health OR mental illness OR behavioral health,1916
0,1,mental health OR mental illness OR behavioral health,1917
1,2,mental health OR mental illness OR behavioral health,1917
2,3,mental health OR mental illness OR behavioral health,1917
0,4,mental health OR mental illness OR behavioral health,1917
1,1,mental health OR mental illness OR behavioral health,1918
2,2,mental health OR mental illness OR behavioral health,1918
0,3,mental health OR mental illness OR behavioral health,1918
0,4,mental health OR mental illness OR behavioral health,1918
1,1,mental health OR mental illness OR behavioral health,1919
0,2,mental health OR mental illness OR behavioral health,1919
1,3,mental health OR mental illness OR behavioral health,1919
1,4,mental health OR mental illness OR behavioral health,1919
2,1,mental health OR mental illness OR behavioral health,1920
0,2,mental health OR mental illness OR behavioral health,1920
1,3,mental health OR mental illness OR behavioral health,1920
2,4,mental health OR mental illness OR behavioral health,1920
3,1,mental health OR mental illness OR behavioral health,1921
2,2,mental health OR mental illness OR behavioral health,1921
0,3,mental health OR mental illness OR behavioral health,1921
0,4,mental health OR mental illness OR behavioral health,1921
1,1,mental health OR mental illness OR behavioral health,1922
7,2,mental health OR mental illness OR behavioral health,1922
2,3,mental health OR mental illness OR behavioral health,1922
3,4,mental health OR mental illness OR behavioral health,1922
4,1,mental health OR mental illness OR behavioral health,1923
8,2,mental health OR mental illness OR behavioral health,1923
3,3,mental health OR mental illness OR behavioral health,1923
4,4,mental health OR mental illness OR behavioral health,1923
1,1,mental health OR mental illness OR behavioral health,1924
5,2,mental health OR mental illness OR behavioral health,1924
3,3,mental health OR mental illness OR behavioral health,1924
6,4,mental health OR mental illness OR behavioral health,1924
1,1,mental health OR mental illness OR behavioral health,1925
1,2,mental health OR mental illness OR behavioral health,1925
2,3,mental health OR mental illness OR behavioral health,1925
3,4,mental health OR mental illness OR behavioral health,1925
2,1,mental health OR mental illness OR behavioral health,1926
5,2,mental health OR mental illness OR behavioral health,1926
8,3,mental health OR mental illness OR behavioral health,1926
3,4,mental health OR mental illness OR behavioral health,1926
6,1,mental health OR mental illness OR behavioral health,1927
8,2,mental health OR mental illness OR behavioral health,1927
1,3,mental health OR mental illness OR behavioral health,1927
4,4,mental health OR mental illness OR behavioral health,1927
5,1,mental health OR mental illness OR behavioral health,1928
7,2,mental health OR mental illness OR behavioral health,1928
0,3,mental health OR mental illness OR behavioral health,1928
10,4,mental health OR mental illness OR behavioral health,1928
2,1,mental health OR mental illness OR behavioral health,1929
2,2,mental health OR mental illness OR behavioral health,1929
8,3,mental health OR mental illness OR behavioral health,1929
10,4,mental health OR mental illness OR behavioral health,1929
13,1,mental health OR mental illness OR behavioral health,1930
14,2,mental health OR mental illness OR behavioral health,1930
8,3,mental health OR mental illness OR behavioral health,1930
4,4,mental health OR mental illness OR behavioral health,1930
5,1,mental health OR mental illness OR behavioral health,1931
12,2,mental health OR mental illness OR behavioral health,1931
4,3,mental health OR mental illness OR behavioral health,1931
4,4,mental health OR mental illness OR behavioral health,1931
11,1,mental health OR mental illness OR behavioral health,1932
10,2,mental health OR mental illness OR behavioral health,1932
6,3,mental health OR mental illness OR behavioral health,1932
12,4,mental health OR mental illness OR behavioral health,1932
7,1,mental health OR mental illness OR behavioral health,1933
5,2,mental health OR mental illness OR behavioral health,1933
4,3,mental health OR mental illness OR behavioral health,1933
4,4,mental health OR mental illness OR behavioral health,1933
6,1,mental health OR mental illness OR behavioral health,1934
5,2,mental health OR mental illness OR behavioral health,1934
3,3,mental health OR mental illness OR behavioral health,1934
17,4,mental health OR mental illness OR behavioral health,1934
6,1,mental health OR mental illness OR behavioral health,1935
5,2,mental health OR mental illness OR behavioral health,1935
2,3,mental health OR mental illness OR behavioral health,1935
3,4,mental health OR mental illness OR behavioral health,1935
7,1,mental health OR mental illness OR behavioral health,1936
6,2,mental health OR mental illness OR behavioral health,1936
2,3,mental health OR mental illness OR behavioral health,1936
14,4,mental health OR mental illness OR behavioral health,1936
6,1,mental health OR mental illness OR behavioral health,1937
10,2,mental health OR mental illness OR behavioral health,1937
7,3,mental health OR mental illness OR behavioral health,1937
14,4,mental health OR mental illness OR behavioral health,1937
6,1,mental health OR mental illness OR behavioral health,1938
12,2,mental health OR mental illness OR behavioral health,1938
8,3,mental health OR mental illness OR behavioral health,1938
11,4,mental health OR mental illness OR behavioral health,1938
13,1,mental health OR mental illness OR behavioral health,1939
14,2,mental health OR mental illness OR behavioral health,1939
2,3,mental health OR mental illness OR behavioral health,1939
3,4,mental health OR mental illness OR behavioral health,1939
8,1,mental health OR mental illness OR behavioral health,1940
3,2,mental health OR mental illness OR behavioral health,1940
4,3,mental health OR mental illness OR behavioral health,1940
6,4,mental health OR mental illness OR behavioral health,1940
7,1,mental health OR mental illness OR behavioral health,1941
15,2,mental health OR mental illness OR behavioral health,1941
7,3,mental health OR mental illness OR behavioral health,1941
7,4,mental health OR mental illness OR behavioral health,1941
7,1,mental health OR mental illness OR behavioral health,1942
2,2,mental health OR mental illness OR behavioral health,1942
7,3,mental health OR mental illness OR behavioral health,1942
6,4,mental health OR mental illness OR behavioral health,1942
4,1,mental health OR mental illness OR behavioral health,1943
