hits,quarter,term,year
0,1,mental health OR mental illness,1900
0,2,mental health OR mental illness,1900
0,3,mental health OR mental illness,1900
1,4,mental health OR mental illness,1900
0,1,mental health OR mental illness,1901
0,2,mental health OR mental illness,1901
1,3,mental health OR mental illness,1901
0,4,mental health OR mental illness,1901
0,1,mental health OR mental illness,1902
0,2,mental health OR mental illness,1902
0,3,mental health OR mental illness,1902
0,4,mental health OR mental illness,1902
1,1,mental health OR mental illness,1903
0,2,mental health OR mental illness,1903
1,3,mental health OR mental illness,1903
0,4,mental health OR mental illness,1903
0,1,mental health OR mental illness,1904
2,2,mental health OR mental illness,1904
0,3,mental health OR mental illness,1904
2,4,mental health OR mental illness,1904
1,2,mental health OR mental illness,1905
1,3,mental health OR mental illness,1905
0,4,mental health OR mental illness,1905
0,1,mental health OR mental illness,1906
0,2,mental health OR mental illness,1906
0,3,mental health OR mental illness,1906
1,4,mental health OR mental illness,1906
1,1,mental health OR mental illness,1907
2,2,mental health OR mental illness,1907
0,3,mental health OR mental illness,1907
3,4,mental health OR mental illness,1907
0,1,mental health OR mental illness,1908
0,2,mental health OR mental illness,1908
2,3,mental health OR mental illness,1908
2,4,mental health OR mental illness,1908
1,1,mental health OR mental illness,1909
0,2,mental health OR mental illness,1909
2,3,mental health OR mental illness,1909
3,4,mental health OR mental illness,1909
0,1,mental health OR mental illness,1910
0,2,mental health OR mental illness,1910
4,3,mental health OR mental illness,1910
0,4,mental health OR mental illness,1910
1,1,mental health OR mental illness,1911
2,2,mental health OR mental illness,1911
1,3,mental health OR mental illness,1911
2,4,mental health OR mental illness,1911
0,1,mental health OR mental illness,1912
3,2,mental health OR mental illness,1912
1,3,mental health OR mental illness,1912
2,4,mental health OR mental illness,1912
0,1,mental health OR mental illness,1913
3,2,mental health OR mental illness,1913
1,3,mental health OR mental illness,1913
0,4,mental health OR mental illness,1913
2,1,mental health OR mental illness,1914
0,2,mental health OR mental illness,1914
0,3,mental health OR mental illness,1914
1,4,mental health OR mental illness,1914
1,1,mental health OR mental illness,1915
1,2,mental health OR mental illness,1915
1,3,mental health OR mental illness,1915
4,4,mental health OR mental illness,1915
2,1,mental health OR mental illness,1916
1,2,mental health OR mental illness,1916
2,3,mental health OR mental illness,1916
1,4,mental health OR mental illness,1916
0,1,mental health OR mental illness,1917
1,2,mental health OR mental illness,1917
2,3,mental health OR mental illness,1917
0,4,mental health OR mental illness,1917
1,1,mental health OR mental illness,1918
2,2,mental health OR mental illness,1918
0,3,mental health OR mental illness,1918
0,4,mental health OR mental illness,1918
1,1,mental health OR mental illness,1919
0,2,mental health OR mental illness,1919
1,3,mental health OR mental illness,1919
1,4,mental health OR mental illness,1919
2,1,mental health OR mental illness,1920
0,2,mental health OR mental illness,1920
1,3,mental health OR mental illness,1920
2,4,mental health OR mental illness,1920
3,1,mental health OR mental illness,1921
2,2,mental health OR mental illness,1921
0,3,mental health OR mental illness,1921
0,4,mental health OR mental illness,1921
1,1,mental health OR mental illness,1922
7,2,mental health OR mental illness,1922
2,3,mental health OR mental illness,1922
3,4,mental health OR mental illness,1922
4,1,mental health OR mental illness,1923
8,2,mental health OR mental illness,1923
3,3,mental health OR mental illness,1923
4,4,mental health OR mental illness,1923
1,1,mental health OR mental illness,1924
5,2,mental health OR mental illness,1924
3,3,mental health OR mental illness,1924
6,4,mental health OR mental illness,1924
1,1,mental health OR mental illness,1925
1,2,mental health OR mental illness,1925
2,3,mental health OR mental illness,1925
