hits,quarter,term,year
0,1,mental health.illness AND crime,1900
0,2,mental health.illness AND crime,1900
0,3,mental health.illness AND crime,1900
0,4,mental health.illness AND crime,1900
0,1,mental health.illness AND crime,1901
0,2,mental health.illness AND crime,1901
0,3,mental health.illness AND crime,1901
0,4,mental health.illness AND crime,1901
0,1,mental health.illness AND crime,1902
0,2,mental health.illness AND crime,1902
0,3,mental health.illness AND crime,1902
0,4,mental health.illness AND crime,1902
0,1,mental health.illness AND crime,1903
0,2,mental health.illness AND crime,1903
0,3,mental health.illness AND crime,1903
0,4,mental health.illness AND crime,1903
0,1,mental health.illness AND crime,1904
0,2,mental health.illness AND crime,1904
0,3,mental health.illness AND crime,1904
0,4,mental health.illness AND crime,1904
0,1,mental health.illness AND crime,1905
0,2,mental health.illness AND crime,1905
1,3,mental health.illness AND crime,1905
0,4,mental health.illness AND crime,1905
0,1,mental health.illness AND crime,1906
0,2,mental health.illness AND crime,1906
0,3,mental health.illness AND crime,1906
0,4,mental health.illness AND crime,1906
0,1,mental health.illness AND crime,1907
0,2,mental health.illness AND crime,1907
0,3,mental health.illness AND crime,1907
0,4,mental health.illness AND crime,1907
0,1,mental health.illness AND crime,1908
0,2,mental health.illness AND crime,1908
1,3,mental health.illness AND crime,1908
0,4,mental health.illness AND crime,1908
0,1,mental health.illness AND crime,1909
0,2,mental health.illness AND crime,1909
0,3,mental health.illness AND crime,1909
0,4,mental health.illness AND crime,1909
0,1,mental health.illness AND crime,1910
0,2,mental health.illness AND crime,1910
1,3,mental health.illness AND crime,1910
0,4,mental health.illness AND crime,1910
1,1,mental health.illness AND crime,1911
0,2,mental health.illness AND crime,1911
1,3,mental health.illness AND crime,1911
2,4,mental health.illness AND crime,1911
0,1,mental health.illness AND crime,1912
0,2,mental health.illness AND crime,1912
0,3,mental health.illness AND crime,1912
0,4,mental health.illness AND crime,1912
0,1,mental health.illness AND crime,1913
1,2,mental health.illness AND crime,1913
0,3,mental health.illness AND crime,1913
0,4,mental health.illness AND crime,1913
0,1,mental health.illness AND crime,1914
0,2,mental health.illness AND crime,1914
0,3,mental health.illness AND crime,1914
0,4,mental health.illness AND crime,1914
0,1,mental health.illness AND crime,1915
0,2,mental health.illness AND crime,1915
1,3,mental health.illness AND crime,1915
0,4,mental health.illness AND crime,1915
0,1,mental health.illness AND crime,1916
0,2,mental health.illness AND crime,1916
1,3,mental health.illness AND crime,1916
0,4,mental health.illness AND crime,1916
0,1,mental health.illness AND crime,1917
0,2,mental health.illness AND crime,1917
1,3,mental health.illness AND crime,1917
0,4,mental health.illness AND crime,1917
0,1,mental health.illness AND crime,1918
0,2,mental health.illness AND crime,1918
0,3,mental health.illness AND crime,1918
0,4,mental health.illness AND crime,1918
0,1,mental health.illness AND crime,1919
0,2,mental health.illness AND crime,1919
0,3,mental health.illness AND crime,1919
1,4,mental health.illness AND crime,1919
0,1,mental health.illness AND crime,1920
0,2,mental health.illness AND crime,1920
0,3,mental health.illness AND crime,1920
0,4,mental health.illness AND crime,1920
0,1,mental health.illness AND crime,1921
1,2,mental health.illness AND crime,1921
0,3,mental health.illness AND crime,1921
0,4,mental health.illness AND crime,1921
0,1,mental health.illness AND crime,1922
0,2,mental health.illness AND crime,1922
0,3,mental health.illness AND crime,1922
1,4,mental health.illness AND crime,1922
0,1,mental health.illness AND crime,1923
1,2,mental health.illness AND crime,1923
0,3,mental health.illness AND crime,1923
1,4,mental health.illness AND crime,1923
0,1,mental health.illness AND crime,1924
2,2,mental health.illness AND crime,1924
0,3,mental health.illness AND crime,1924
1,4,mental health.illness AND crime,1924
1,1,mental health.illness AND crime,1925
0,2,mental health.illness AND crime,1925
0,3,mental health.illness AND crime,1925
0,4,mental health.illness AND crime,1925
0,1,mental health.illness AND crime,1926
1,2,mental health.illness AND crime,1926
1,3,mental health.illness AND crime,1926
0,4,mental health.illness AND crime,1926
1,1,mental health.illness AND crime,1927
0,2,mental health.illness AND crime,1927
0,3,mental health.illness AND crime,1927
1,4,mental health.illness AND crime,1927
2,1,mental health.illness AND crime,1928
0,2,mental health.illness AND crime,1928
0,3,mental health.illness AND crime,1928
0,4,mental health.illness AND crime,1928
