hits,quarter,term,year
0,1,mental health.illness AND violen*,1900
0,2,mental health.illness AND violen*,1900
0,3,mental health.illness AND violen*,1900
0,4,mental health.illness AND violen*,1900
0,1,mental health.illness AND violen*,1901
0,2,mental health.illness AND violen*,1901
0,3,mental health.illness AND violen*,1901
0,4,mental health.illness AND violen*,1901
0,1,mental health.illness AND violen*,1902
0,2,mental health.illness AND violen*,1902
0,3,mental health.illness AND violen*,1902
0,4,mental health.illness AND violen*,1902
0,1,mental health.illness AND violen*,1903
0,2,mental health.illness AND violen*,1903
0,3,mental health.illness AND violen*,1903
0,4,mental health.illness AND violen*,1903
0,1,mental health.illness AND violen*,1904
0,2,mental health.illness AND violen*,1904
0,3,mental health.illness AND violen*,1904
0,4,mental health.illness AND violen*,1904
0,1,mental health.illness AND violen*,1905
0,2,mental health.illness AND violen*,1905
0,3,mental health.illness AND violen*,1905
0,4,mental health.illness AND violen*,1905
0,1,mental health.illness AND violen*,1906
0,2,mental health.illness AND violen*,1906
0,3,mental health.illness AND violen*,1906
0,4,mental health.illness AND violen*,1906
0,1,mental health.illness AND violen*,1907
0,2,mental health.illness AND violen*,1907
0,3,mental health.illness AND violen*,1907
0,4,mental health.illness AND violen*,1907
0,1,mental health.illness AND violen*,1908
0,2,mental health.illness AND violen*,1908
1,3,mental health.illness AND violen*,1908
0,4,mental health.illness AND violen*,1908
1,1,mental health.illness AND violen*,1909
0,2,mental health.illness AND violen*,1909
1,3,mental health.illness AND violen*,1909
0,4,mental health.illness AND violen*,1909
0,1,mental health.illness AND violen*,1910
0,2,mental health.illness AND violen*,1910
0,3,mental health.illness AND violen*,1910
0,4,mental health.illness AND violen*,1910
0,1,mental health.illness AND violen*,1911
0,2,mental health.illness AND violen*,1911
1,3,mental health.illness AND violen*,1911
1,4,mental health.illness AND violen*,1911
0,1,mental health.illness AND violen*,1912
2,2,mental health.illness AND violen*,1912
1,3,mental health.illness AND violen*,1912
0,4,mental health.illness AND violen*,1912
0,1,mental health.illness AND violen*,1913
0,2,mental health.illness AND violen*,1913
0,3,mental health.illness AND violen*,1913
0,4,mental health.illness AND violen*,1913
0,1,mental health.illness AND violen*,1914
0,2,mental health.illness AND violen*,1914
0,3,mental health.illness AND violen*,1914
0,4,mental health.illness AND violen*,1914
0,1,mental health.illness AND violen*,1915
0,2,mental health.illness AND violen*,1915
0,3,mental health.illness AND violen*,1915
0,4,mental health.illness AND violen*,1915
1,1,mental health.illness AND violen*,1916
0,2,mental health.illness AND violen*,1916
0,3,mental health.illness AND violen*,1916
0,4,mental health.illness AND violen*,1916
0,1,mental health.illness AND violen*,1917
1,2,mental health.illness AND violen*,1917
0,3,mental health.illness AND violen*,1917
0,4,mental health.illness AND violen*,1917
0,1,mental health.illness AND violen*,1918
0,2,mental health.illness AND violen*,1918
0,3,mental health.illness AND violen*,1918
0,4,mental health.illness AND violen*,1918
0,1,mental health.illness AND violen*,1919
0,2,mental health.illness AND violen*,1919
0,3,mental health.illness AND violen*,1919
0,4,mental health.illness AND violen*,1919
0,1,mental health.illness AND violen*,1920
0,2,mental health.illness AND violen*,1920
0,3,mental health.illness AND violen*,1920
0,4,mental health.illness AND violen*,1920
0,1,mental health.illness AND violen*,1921
0,2,mental health.illness AND violen*,1921
0,3,mental health.illness AND violen*,1921
0,4,mental health.illness AND violen*,1921
0,1,mental health.illness AND violen*,1922
1,2,mental health.illness AND violen*,1922
1,3,mental health.illness AND violen*,1922
0,4,mental health.illness AND violen*,1922
0,1,mental health.illness AND violen*,1923
0,2,mental health.illness AND violen*,1923
0,3,mental health.illness AND violen*,1923
2,4,mental health.illness AND violen*,1923
0,1,mental health.illness AND violen*,1924
0,2,mental health.illness AND violen*,1924
0,3,mental health.illness AND violen*,1924
0,4,mental health.illness AND violen*,1924
1,1,mental health.illness AND violen*,1925
0,2,mental health.illness AND violen*,1925
0,3,mental health.illness AND violen*,1925
0,4,mental health.illness AND violen*,1925
0,1,mental health.illness AND violen*,1926
0,2,mental health.illness AND violen*,1926
0,3,mental health.illness AND violen*,1926
0,4,mental health.illness AND violen*,1926
1,1,mental health.illness AND violen*,1927
0,2,mental health.illness AND violen*,1927
0,3,mental health.illness AND violen*,1927
0,4,mental health.illness AND violen*,1927
1,1,mental health.illness AND violen*,1928
0,2,mental health.illness AND violen*,1928
0,3,mental health.illness AND violen*,1928
0,4,mental health.illness AND violen*,1928
0,1,mental health.illness AND violen*,1929
0,2,mental health.illness AND violen*,1929
1,3,mental health.illness AND violen*,1929
1,4,mental health.illness AND violen*,1929
1,1,mental health.illness AND violen*,1930
0,2,mental health.illness AND violen*,1930
0,3,mental health.illness AND violen*,1930
0,4,mental health.illness AND violen*,1930
0,1,mental health.illness AND violen*,1931
0,2,mental health.illness AND violen*,1931
1,3,mental health.illness AND violen*,1931
0,4,mental health.illness AND violen*,1931
0,1,mental health.illness AND violen*,1932
3,2,mental health.illness AND violen*,1932
0,3,mental health.illness AND violen*,1932
2,4,mental health.illness AND violen*,1932
0,1,mental health.illness AND violen*,1933
1,2,mental health.illness AND violen*,1933
0,3,mental health.illness AND violen*,1933
0,4,mental health.illness AND violen*,1933
0,1,mental health.illness AND violen*,1934
0,2,mental health.illness AND violen*,1934
0,3,mental health.illness AND violen*,1934
0,4,mental health.illness AND violen*,1934
0,1,mental health.illness AND violen*,1935
0,2,mental health.illness AND violen*,1935
0,3,mental health.illness AND violen*,1935
0,4,mental health.illness AND violen*,1935
0,1,mental health.illness AND violen*,1936
0,2,mental health.illness AND violen*,1936
0,3,mental health.illness AND violen*,1936
0,4,mental health.illness AND violen*,1936
0,1,mental health.illness AND violen*,1937
2,2,mental health.illness AND violen*,1937
0,3,mental health.illness AND violen*,1937
0,4,mental health.illness AND violen*,1937
0,1,mental health.illness AND violen*,1938
0,2,mental health.illness AND violen*,1938
0,3,mental health.illness AND violen*,1938
2,4,mental health.illness AND violen*,1938
0,1,mental health.illness AND violen*,1939
0,2,mental health.illness AND violen*,1939
1,3,mental health.illness AND violen*,1939
0,4,mental health.illness AND violen*,1939
0,1,mental health.illness AND violen*,1940
0,2,mental health.illness AND violen*,1940
0,3,mental health.illness AND violen*,1940
0,4,mental health.illness AND violen*,1940
0,1,mental health.illness AND violen*,1941
0,2,mental health.illness AND violen*,1941
0,3,mental health.illness AND violen*,1941
1,4,mental health.illness AND violen*,1941
0,1,mental health.illness AND violen*,1942
0,2,mental health.illness AND violen*,1942
0,3,mental health.illness AND violen*,1942
0,4,mental health.illness AND violen*,1942
0,1,mental health.illness AND violen*,1943
0,2,mental health.illness AND violen*,1943
0,3,mental health.illness AND violen*,1943
1,4,mental health.illness AND violen*,1943
0,1,mental health.illness AND violen*,1944
0,2,mental health.illness AND violen*,1944
0,3,mental health.illness AND violen*,1944
3,4,mental health.illness AND violen*,1944
0,1,mental health.illness AND violen*,1945
0,2,mental health.illness AND violen*,1945
1,3,mental health.illness AND violen*,1945
2,4,mental health.illness AND violen*,1945
0,1,mental health.illness AND violen*,1946
0,2,mental health.illness AND violen*,1946
0,3,mental health.illness AND violen*,1946
3,4,mental health.illness AND violen*,1946
0,1,mental health.illness AND violen*,1947
0,2,mental health.illness AND violen*,1947
1,3,mental health.illness AND violen*,1947
2,4,mental health.illness AND violen*,1947
0,1,mental health.illness AND violen*,1948
0,2,mental health.illness AND violen*,1948
1,3,mental health.illness AND violen*,1948
1,4,mental health.illness AND violen*,1948
0,1,mental health.illness AND violen*,1949
0,2,mental health.illness AND violen*,1949
2,3,mental health.illness AND violen*,1949
5,4,mental health.illness AND violen*,1949
2,1,mental health.illness AND violen*,1950
1,2,mental health.illness AND violen*,1950
1,3,mental health.illness AND violen*,1950
0,4,mental health.illness AND violen*,1950
0,1,mental health.illness AND violen*,1951
1,2,mental health.illness AND violen*,1951
2,3,mental health.illness AND violen*,1951
1,4,mental health.illness AND violen*,1951
1,1,mental health.illness AND violen*,1952
4,2,mental health.illness AND violen*,1952
3,3,mental health.illness AND violen*,1952
2,4,mental health.illness AND violen*,1952
4,1,mental health.illness AND violen*,1953
1,2,mental health.illness AND violen*,1953
3,3,mental health.illness AND violen*,1953
2,4,mental health.illness AND violen*,1953
0,1,mental health.illness AND violen*,1954
2,2,mental health.illness AND violen*,1954
4,3,mental health.illness AND violen*,1954
2,4,mental health.illness AND violen*,1954
3,1,mental health.illness AND violen*,1955
0,2,mental health.illness AND violen*,1955
1,3,mental health.illness AND violen*,1955
3,4,mental health.illness AND violen*,1955
3,1,mental health.illness AND violen*,1956
4,2,mental health.illness AND violen*,1956
2,3,mental health.illness AND violen*,1956
1,4,mental health.illness AND violen*,1956
5,1,mental health.illness AND violen*,1957
1,2,mental health.illness AND violen*,1957
9,3,mental health.illness AND violen*,1957
6,4,mental health.illness AND violen*,1957
4,1,mental health.illness AND violen*,1958
1,2,mental health.illness AND violen*,1958
2,3,mental health.illness AND violen*,1958
2,4,mental health.illness AND violen*,1958
1,1,mental health.illness AND violen*,1959
1,2,mental health.illness AND violen*,1959
0,3,mental health.illness AND violen*,1959
3,4,mental health.illness AND violen*,1959
3,1,mental health.illness AND violen*,1960
2,2,mental health.illness AND violen*,1960
4,3,mental health.illness AND violen*,1960
7,4,mental health.illness AND violen*,1960
2,1,mental health.illness AND violen*,1961
2,2,mental health.illness AND violen*,1961
0,3,mental health.illness AND violen*,1961
5,4,mental health.illness AND violen*,1961
4,1,mental health.illness AND violen*,1962
5,2,mental health.illness AND violen*,1962
3,3,mental health.illness AND violen*,1962
1,4,mental health.illness AND violen*,1962
0,1,mental health.illness AND violen*,1963
11,2,mental health.illness AND violen*,1963
