hits,quarter,term,year
0,1,mental health.illness.disorder AND danger*,1900
0,2,mental health.illness.disorder AND danger*,1900
0,3,mental health.illness.disorder AND danger*,1900
1,4,mental health.illness.disorder AND danger*,1900
0,1,mental health.illness.disorder AND danger*,1901
0,2,mental health.illness.disorder AND danger*,1901
1,3,mental health.illness.disorder AND danger*,1901
0,4,mental health.illness.disorder AND danger*,1901
0,1,mental health.illness.disorder AND danger*,1902
0,2,mental health.illness.disorder AND danger*,1902
0,3,mental health.illness.disorder AND danger*,1902
0,4,mental health.illness.disorder AND danger*,1902
1,1,mental health.illness.disorder AND danger*,1903
0,2,mental health.illness.disorder AND danger*,1903
0,3,mental health.illness.disorder AND danger*,1903
0,4,mental health.illness.disorder AND danger*,1903
0,1,mental health.illness.disorder AND danger*,1904
0,2,mental health.illness.disorder AND danger*,1904
0,3,mental health.illness.disorder AND danger*,1904
0,4,mental health.illness.disorder AND danger*,1904
2,1,mental health.illness.disorder AND danger*,1905
0,2,mental health.illness.disorder AND danger*,1905
1,3,mental health.illness.disorder AND danger*,1905
0,4,mental health.illness.disorder AND danger*,1905
0,1,mental health.illness.disorder AND danger*,1906
0,2,mental health.illness.disorder AND danger*,1906
0,3,mental health.illness.disorder AND danger*,1906
0,4,mental health.illness.disorder AND danger*,1906
1,1,mental health.illness.disorder AND danger*,1907
0,2,mental health.illness.disorder AND danger*,1907
0,3,mental health.illness.disorder AND danger*,1907
0,4,mental health.illness.disorder AND danger*,1907
0,1,mental health.illness.disorder AND danger*,1908
0,2,mental health.illness.disorder AND danger*,1908
1,3,mental health.illness.disorder AND danger*,1908
0,4,mental health.illness.disorder AND danger*,1908
2,1,mental health.illness.disorder AND danger*,1909
0,2,mental health.illness.disorder AND danger*,1909
0,3,mental health.illness.disorder AND danger*,1909
0,4,mental health.illness.disorder AND danger*,1909
2,1,mental health.illness.disorder AND danger*,1910
0,2,mental health.illness.disorder AND danger*,1910
3,3,mental health.illness.disorder AND danger*,1910
0,4,mental health.illness.disorder AND danger*,1910
1,1,mental health.illness.disorder AND danger*,1911
2,2,mental health.illness.disorder AND danger*,1911
1,3,mental health.illness.disorder AND danger*,1911
1,4,mental health.illness.disorder AND danger*,1911
1,1,mental health.illness.disorder AND danger*,1912
0,2,mental health.illness.disorder AND danger*,1912
0,3,mental health.illness.disorder AND danger*,1912
2,4,mental health.illness.disorder AND danger*,1912
0,1,mental health.illness.disorder AND danger*,1913
2,2,mental health.illness.disorder AND danger*,1913
0,3,mental health.illness.disorder AND danger*,1913
1,4,mental health.illness.disorder AND danger*,1913
2,1,mental health.illness.disorder AND danger*,1914
0,2,mental health.illness.disorder AND danger*,1914
0,3,mental health.illness.disorder AND danger*,1914
0,4,mental health.illness.disorder AND danger*,1914
0,1,mental health.illness.disorder AND danger*,1915
0,2,mental health.illness.disorder AND danger*,1915
0,3,mental health.illness.disorder AND danger*,1915
1,4,mental health.illness.disorder AND danger*,1915
0,1,mental health.illness.disorder AND danger*,1916
0,2,mental health.illness.disorder AND danger*,1916
0,3,mental health.illness.disorder AND danger*,1916
0,4,mental health.illness.disorder AND danger*,1916
0,1,mental health.illness.disorder AND danger*,1917
1,2,mental health.illness.disorder AND danger*,1917
0,3,mental health.illness.disorder AND danger*,1917
0,4,mental health.illness.disorder AND danger*,1917
1,1,mental health.illness.disorder AND danger*,1918
1,2,mental health.illness.disorder AND danger*,1918
0,3,mental health.illness.disorder AND danger*,1918
0,4,mental health.illness.disorder AND danger*,1918
0,1,mental health.illness.disorder AND danger*,1919
0,2,mental health.illness.disorder AND danger*,1919
0,3,mental health.illness.disorder AND danger*,1919
0,4,mental health.illness.disorder AND danger*,1919
0,1,mental health.illness.disorder AND danger*,1920
1,2,mental health.illness.disorder AND danger*,1920
1,3,mental health.illness.disorder AND danger*,1920
0,4,mental health.illness.disorder AND danger*,1920
1,1,mental health.illness.disorder AND danger*,1921
1,2,mental health.illness.disorder AND danger*,1921
0,3,mental health.illness.disorder AND danger*,1921
0,4,mental health.illness.disorder AND danger*,1921
0,1,mental health.illness.disorder AND danger*,1922
3,2,mental health.illness.disorder AND danger*,1922
0,3,mental health.illness.disorder AND danger*,1922
1,4,mental health.illness.disorder AND danger*,1922
1,1,mental health.illness.disorder AND danger*,1923
2,2,mental health.illness.disorder AND danger*,1923
0,3,mental health.illness.disorder AND danger*,1923
1,4,mental health.illness.disorder AND danger*,1923
0,1,mental health.illness.disorder AND danger*,1924
1,2,mental health.illness.disorder AND danger*,1924
2,3,mental health.illness.disorder AND danger*,1924
1,4,mental health.illness.disorder AND danger*,1924
1,1,mental health.illness.disorder AND danger*,1925
0,2,mental health.illness.disorder AND danger*,1925
1,3,mental health.illness.disorder AND danger*,1925
1,4,mental health.illness.disorder AND danger*,1925
0,1,mental health.illness.disorder AND danger*,1926
0,2,mental health.illness.disorder AND danger*,1926
1,3,mental health.illness.disorder AND danger*,1926
2,4,mental health.illness.disorder AND danger*,1926
1,1,mental health.illness.disorder AND danger*,1927
0,2,mental health.illness.disorder AND danger*,1927
1,3,mental health.illness.disorder AND danger*,1927
2,4,mental health.illness.disorder AND danger*,1927
2,1,mental health.illness.disorder AND danger*,1928
1,2,mental health.illness.disorder AND danger*,1928
1,3,mental health.illness.disorder AND danger*,1928
0,4,mental health.illness.disorder AND danger*,1928
0,1,mental health.illness.disorder AND danger*,1929
0,2,mental health.illness.disorder AND danger*,1929
0,3,mental health.illness.disorder AND danger*,1929
0,4,mental health.illness.disorder AND danger*,1929
4,1,mental health.illness.disorder AND danger*,1930
1,2,mental health.illness.disorder AND danger*,1930
1,3,mental health.illness.disorder AND danger*,1930
1,4,mental health.illness.disorder AND danger*,1930
1,1,mental health.illness.disorder AND danger*,1931
2,2,mental health.illness.disorder AND danger*,1931
1,3,mental health.illness.disorder AND danger*,1931
1,4,mental health.illness.disorder AND danger*,1931
0,1,mental health.illness.disorder AND danger*,1932
2,2,mental health.illness.disorder AND danger*,1932
1,3,mental health.illness.disorder AND danger*,1932
2,4,mental health.illness.disorder AND danger*,1932
4,1,mental health.illness.disorder AND danger*,1933
1,2,mental health.illness.disorder AND danger*,1933
1,3,mental health.illness.disorder AND danger*,1933
0,4,mental health.illness.disorder AND danger*,1933
3,1,mental health.illness.disorder AND danger*,1934
2,2,mental health.illness.disorder AND danger*,1934
0,3,mental health.illness.disorder AND danger*,1934
2,4,mental health.illness.disorder AND danger*,1934
1,1,mental health.illness.disorder AND danger*,1935
1,2,mental health.illness.disorder AND danger*,1935
0,3,mental health.illness.disorder AND danger*,1935
1,4,mental health.illness.disorder AND danger*,1935
0,1,mental health.illness.disorder AND danger*,1936
0,2,mental health.illness.disorder AND danger*,1936
1,3,mental health.illness.disorder AND danger*,1936
1,4,mental health.illness.disorder AND danger*,1936
0,1,mental health.illness.disorder AND danger*,1937
2,2,mental health.illness.disorder AND danger*,1937
2,3,mental health.illness.disorder AND danger*,1937
1,4,mental health.illness.disorder AND danger*,1937
1,1,mental health.illness.disorder AND danger*,1938
1,2,mental health.illness.disorder AND danger*,1938
1,3,mental health.illness.disorder AND danger*,1938
4,4,mental health.illness.disorder AND danger*,1938
3,1,mental health.illness.disorder AND danger*,1939
1,2,mental health.illness.disorder AND danger*,1939
0,3,mental health.illness.disorder AND danger*,1939
1,4,mental health.illness.disorder AND danger*,1939
0,1,mental health.illness.disorder AND danger*,1940
1,2,mental health.illness.disorder AND danger*,1940
1,3,mental health.illness.disorder AND danger*,1940
0,4,mental health.illness.disorder AND danger*,1940
1,1,mental health.illness.disorder AND danger*,1941
4,2,mental health.illness.disorder AND danger*,1941
1,3,mental health.illness.disorder AND danger*,1941
3,4,mental health.illness.disorder AND danger*,1941
0,1,mental health.illness.disorder AND danger*,1942
0,2,mental health.illness.disorder AND danger*,1942
1,3,mental health.illness.disorder AND danger*,1942
1,4,mental health.illness.disorder AND danger*,1942
1,1,mental health.illness.disorder AND danger*,1943
0,2,mental health.illness.disorder AND danger*,1943
0,3,mental health.illness.disorder AND danger*,1943
4,4,mental health.illness.disorder AND danger*,1943
0,1,mental health.illness.disorder AND danger*,1944
1,2,mental health.illness.disorder AND danger*,1944
0,3,mental health.illness.disorder AND danger*,1944
4,4,mental health.illness.disorder AND danger*,1944
3,1,mental health.illness.disorder AND danger*,1945
0,2,mental health.illness.disorder AND danger*,1945
1,3,mental health.illness.disorder AND danger*,1945
3,4,mental health.illness.disorder AND danger*,1945
2,1,mental health.illness.disorder AND danger*,1946
2,2,mental health.illness.disorder AND danger*,1946
2,3,mental health.illness.disorder AND danger*,1946
3,4,mental health.illness.disorder AND danger*,1946
2,1,mental health.illness.disorder AND danger*,1947
3,2,mental health.illness.disorder AND danger*,1947
0,3,mental health.illness.disorder AND danger*,1947
3,4,mental health.illness.disorder AND danger*,1947
4,1,mental health.illness.disorder AND danger*,1948
3,2,mental health.illness.disorder AND danger*,1948
3,3,mental health.illness.disorder AND danger*,1948
6,4,mental health.illness.disorder AND danger*,1948
2,1,mental health.illness.disorder AND danger*,1949
8,2,mental health.illness.disorder AND danger*,1949
1,3,mental health.illness.disorder AND danger*,1949
6,4,mental health.illness.disorder AND danger*,1949
9,1,mental health.illness.disorder AND danger*,1950
4,2,mental health.illness.disorder AND danger*,1950
8,3,mental health.illness.disorder AND danger*,1950
2,4,mental health.illness.disorder AND danger*,1950
6,1,mental health.illness.disorder AND danger*,1951
9,2,mental health.illness.disorder AND danger*,1951
2,3,mental health.illness.disorder AND danger*,1951
5,4,mental health.illness.disorder AND danger*,1951
3,1,mental health.illness.disorder AND danger*,1952
4,2,mental health.illness.disorder AND danger*,1952
3,3,mental health.illness.disorder AND danger*,1952
2,4,mental health.illness.disorder AND danger*,1952
4,1,mental health.illness.disorder AND danger*,1953
1,2,mental health.illness.disorder AND danger*,1953
3,3,mental health.illness.disorder AND danger*,1953
6,4,mental health.illness.disorder AND danger*,1953
4,1,mental health.illness.disorder AND danger*,1954
2,2,mental health.illness.disorder AND danger*,1954
11,3,mental health.illness.disorder AND danger*,1954
3,4,mental health.illness.disorder AND danger*,1954
4,1,mental health.illness.disorder AND danger*,1955
3,2,mental health.illness.disorder AND danger*,1955
2,3,mental health.illness.disorder AND danger*,1955
8,4,mental health.illness.disorder AND danger*,1955
5,1,mental health.illness.disorder AND danger*,1956
11,2,mental health.illness.disorder AND danger*,1956
6,3,mental health.illness.disorder AND danger*,1956
4,4,mental health.illness.disorder AND danger*,1956
7,1,mental health.illness.disorder AND danger*,1957
9,2,mental health.illness.disorder AND danger*,1957
9,3,mental health.illness.disorder AND danger*,1957
11,4,mental health.illness.disorder AND danger*,1957
4,1,mental health.illness.disorder AND danger*,1958
2,2,mental health.illness.disorder AND danger*,1958
2,3,mental health.illness.disorder AND danger*,1958
6,4,mental health.illness.disorder AND danger*,1958
0,1,mental health.illness.disorder AND danger*,1959
3,2,mental health.illness.disorder AND danger*,1959
5,3,mental health.illness.disorder AND danger*,1959
3,4,mental health.illness.disorder AND danger*,1959
5,1,mental health.illness.disorder AND danger*,1960
5,2,mental health.illness.disorder AND danger*,1960
6,3,mental health.illness.disorder AND danger*,1960
9,4,mental health.illness.disorder AND danger*,1960
4,1,mental health.illness.disorder AND danger*,1961
5,2,mental health.illness.disorder AND danger*,1961
3,3,mental health.illness.disorder AND danger*,1961
6,4,mental health.illness.disorder AND danger*,1961
4,1,mental health.illness.disorder AND danger*,1962
9,2,mental health.illness.disorder AND danger*,1962
4,3,mental health.illness.disorder AND danger*,1962
11,4,mental health.illness.disorder AND danger*,1962
4,1,mental health.illness.disorder AND danger*,1963
25,2,mental health.illness.disorder AND danger*,1963
