hits,quarter,term,year
0,1,mental health.illness.disorder AND violen*,1900
0,2,mental health.illness.disorder AND violen*,1900
2,3,mental health.illness.disorder AND violen*,1900
0,4,mental health.illness.disorder AND violen*,1900
0,1,mental health.illness.disorder AND violen*,1901
1,2,mental health.illness.disorder AND violen*,1901
0,3,mental health.illness.disorder AND violen*,1901
2,4,mental health.illness.disorder AND violen*,1901
0,1,mental health.illness.disorder AND violen*,1902
0,2,mental health.illness.disorder AND violen*,1902
0,3,mental health.illness.disorder AND violen*,1902
0,4,mental health.illness.disorder AND violen*,1902
1,1,mental health.illness.disorder AND violen*,1903
1,2,mental health.illness.disorder AND violen*,1903
0,3,mental health.illness.disorder AND violen*,1903
0,4,mental health.illness.disorder AND violen*,1903
0,1,mental health.illness.disorder AND violen*,1904
0,2,mental health.illness.disorder AND violen*,1904
0,3,mental health.illness.disorder AND violen*,1904
0,4,mental health.illness.disorder AND violen*,1904
0,1,mental health.illness.disorder AND violen*,1905
0,2,mental health.illness.disorder AND violen*,1905
0,3,mental health.illness.disorder AND violen*,1905
0,4,mental health.illness.disorder AND violen*,1905
0,1,mental health.illness.disorder AND violen*,1906
1,2,mental health.illness.disorder AND violen*,1906
0,3,mental health.illness.disorder AND violen*,1906
0,4,mental health.illness.disorder AND violen*,1906
0,1,mental health.illness.disorder AND violen*,1907
0,2,mental health.illness.disorder AND violen*,1907
0,3,mental health.illness.disorder AND violen*,1907
0,4,mental health.illness.disorder AND violen*,1907
1,1,mental health.illness.disorder AND violen*,1908
0,2,mental health.illness.disorder AND violen*,1908
1,3,mental health.illness.disorder AND violen*,1908
0,4,mental health.illness.disorder AND violen*,1908
3,1,mental health.illness.disorder AND violen*,1909
0,2,mental health.illness.disorder AND violen*,1909
1,3,mental health.illness.disorder AND violen*,1909
0,4,mental health.illness.disorder AND violen*,1909
1,1,mental health.illness.disorder AND violen*,1910
0,2,mental health.illness.disorder AND violen*,1910
1,3,mental health.illness.disorder AND violen*,1910
0,4,mental health.illness.disorder AND violen*,1910
1,1,mental health.illness.disorder AND violen*,1911
0,2,mental health.illness.disorder AND violen*,1911
1,3,mental health.illness.disorder AND violen*,1911
1,4,mental health.illness.disorder AND violen*,1911
1,1,mental health.illness.disorder AND violen*,1912
2,2,mental health.illness.disorder AND violen*,1912
1,3,mental health.illness.disorder AND violen*,1912
0,4,mental health.illness.disorder AND violen*,1912
0,1,mental health.illness.disorder AND violen*,1913
0,2,mental health.illness.disorder AND violen*,1913
0,3,mental health.illness.disorder AND violen*,1913
0,4,mental health.illness.disorder AND violen*,1913
1,1,mental health.illness.disorder AND violen*,1914
0,2,mental health.illness.disorder AND violen*,1914
0,3,mental health.illness.disorder AND violen*,1914
0,4,mental health.illness.disorder AND violen*,1914
0,1,mental health.illness.disorder AND violen*,1915
0,2,mental health.illness.disorder AND violen*,1915
1,3,mental health.illness.disorder AND violen*,1915
0,4,mental health.illness.disorder AND violen*,1915
1,1,mental health.illness.disorder AND violen*,1916
0,2,mental health.illness.disorder AND violen*,1916
0,3,mental health.illness.disorder AND violen*,1916
0,4,mental health.illness.disorder AND violen*,1916
0,1,mental health.illness.disorder AND violen*,1917
1,2,mental health.illness.disorder AND violen*,1917
0,3,mental health.illness.disorder AND violen*,1917
0,4,mental health.illness.disorder AND violen*,1917
0,1,mental health.illness.disorder AND violen*,1918
0,2,mental health.illness.disorder AND violen*,1918
0,3,mental health.illness.disorder AND violen*,1918
0,4,mental health.illness.disorder AND violen*,1918
0,1,mental health.illness.disorder AND violen*,1919
0,2,mental health.illness.disorder AND violen*,1919
