hits,quarter,term,year
0,1,mental health.mental illness.behavioral health.mental disorder,1900
3,2,mental health.mental illness.behavioral health.mental disorder,1900
2,3,mental health.mental illness.behavioral health.mental disorder,1900
2,4,mental health.mental illness.behavioral health.mental disorder,1900
0,1,mental health.mental illness.behavioral health.mental disorder,1901
1,2,mental health.mental illness.behavioral health.mental disorder,1901
1,3,mental health.mental illness.behavioral health.mental disorder,1901
3,4,mental health.mental illness.behavioral health.mental disorder,1901
2,1,mental health.mental illness.behavioral health.mental disorder,1902
0,2,mental health.mental illness.behavioral health.mental disorder,1902
0,3,mental health.mental illness.behavioral health.mental disorder,1902
0,4,mental health.mental illness.behavioral health.mental disorder,1902
2,1,mental health.mental illness.behavioral health.mental disorder,1903
1,2,mental health.mental illness.behavioral health.mental disorder,1903
2,3,mental health.mental illness.behavioral health.mental disorder,1903
0,4,mental health.mental illness.behavioral health.mental disorder,1903
0,1,mental health.mental illness.behavioral health.mental disorder,1904
3,2,mental health.mental illness.behavioral health.mental disorder,1904
0,3,mental health.mental illness.behavioral health.mental disorder,1904
3,4,mental health.mental illness.behavioral health.mental disorder,1904
2,1,mental health.mental illness.behavioral health.mental disorder,1905
1,2,mental health.mental illness.behavioral health.mental disorder,1905
1,3,mental health.mental illness.behavioral health.mental disorder,1905
0,4,mental health.mental illness.behavioral health.mental disorder,1905
0,1,mental health.mental illness.behavioral health.mental disorder,1906
2,2,mental health.mental illness.behavioral health.mental disorder,1906
0,3,mental health.mental illness.behavioral health.mental disorder,1906
1,4,mental health.mental illness.behavioral health.mental disorder,1906
3,1,mental health.mental illness.behavioral health.mental disorder,1907
3,2,mental health.mental illness.behavioral health.mental disorder,1907
2,3,mental health.mental illness.behavioral health.mental disorder,1907
3,4,mental health.mental illness.behavioral health.mental disorder,1907
3,1,mental health.mental illness.behavioral health.mental disorder,1908
0,2,mental health.mental illness.behavioral health.mental disorder,1908
2,3,mental health.mental illness.behavioral health.mental disorder,1908
2,4,mental health.mental illness.behavioral health.mental disorder,1908
4,1,mental health.mental illness.behavioral health.mental disorder,1909
1,2,mental health.mental illness.behavioral health.mental disorder,1909
2,3,mental health.mental illness.behavioral health.mental disorder,1909
4,4,mental health.mental illness.behavioral health.mental disorder,1909
4,1,mental health.mental illness.behavioral health.mental disorder,1910
0,2,mental health.mental illness.behavioral health.mental disorder,1910
8,3,mental health.mental illness.behavioral health.mental disorder,1910
0,4,mental health.mental illness.behavioral health.mental disorder,1910
4,1,mental health.mental illness.behavioral health.mental disorder,1911
5,2,mental health.mental illness.behavioral health.mental disorder,1911
2,3,mental health.mental illness.behavioral health.mental disorder,1911
3,4,mental health.mental illness.behavioral health.mental disorder,1911
2,1,mental health.mental illness.behavioral health.mental disorder,1912
5,2,mental health.mental illness.behavioral health.mental disorder,1912
4,3,mental health.mental illness.behavioral health.mental disorder,1912
4,4,mental health.mental illness.behavioral health.mental disorder,1912
0,1,mental health.mental illness.behavioral health.mental disorder,1913
5,2,mental health.mental illness.behavioral health.mental disorder,1913
2,3,mental health.mental illness.behavioral health.mental disorder,1913
2,4,mental health.mental illness.behavioral health.mental disorder,1913
5,1,mental health.mental illness.behavioral health.mental disorder,1914
0,2,mental health.mental illness.behavioral health.mental disorder,1914
0,3,mental health.mental illness.behavioral health.mental disorder,1914
2,4,mental health.mental illness.behavioral health.mental disorder,1914
1,1,mental health.mental illness.behavioral health.mental disorder,1915
1,2,mental health.mental illness.behavioral health.mental disorder,1915
3,3,mental health.mental illness.behavioral health.mental disorder,1915
5,4,mental health.mental illness.behavioral health.mental disorder,1915
2,1,mental health.mental illness.behavioral health.mental disorder,1916
2,2,mental health.mental illness.behavioral health.mental disorder,1916
2,3,mental health.mental illness.behavioral health.mental disorder,1916
1,4,mental health.mental illness.behavioral health.mental disorder,1916
1,1,mental health.mental illness.behavioral health.mental disorder,1917
3,2,mental health.mental illness.behavioral health.mental disorder,1917
2,3,mental health.mental illness.behavioral health.mental disorder,1917
0,4,mental health.mental illness.behavioral health.mental disorder,1917
1,1,mental health.mental illness.behavioral health.mental disorder,1918
2,2,mental health.mental illness.behavioral health.mental disorder,1918
0,3,mental health.mental illness.behavioral health.mental disorder,1918
0,4,mental health.mental illness.behavioral health.mental disorder,1918
1,1,mental health.mental illness.behavioral health.mental disorder,1919
0,2,mental health.mental illness.behavioral health.mental disorder,1919
1,3,mental health.mental illness.behavioral health.mental disorder,1919
2,4,mental health.mental illness.behavioral health.mental disorder,1919
4,1,mental health.mental illness.behavioral health.mental disorder,1920
1,2,mental health.mental illness.behavioral health.mental disorder,1920
3,3,mental health.mental illness.behavioral health.mental disorder,1920
5,4,mental health.mental illness.behavioral health.mental disorder,1920
6,1,mental health.mental illness.behavioral health.mental disorder,1921
2,2,mental health.mental illness.behavioral health.mental disorder,1921
3,3,mental health.mental illness.behavioral health.mental disorder,1921
0,4,mental health.mental illness.behavioral health.mental disorder,1921
2,1,mental health.mental illness.behavioral health.mental disorder,1922
9,2,mental health.mental illness.behavioral health.mental disorder,1922
3,3,mental health.mental illness.behavioral health.mental disorder,1922
4,4,mental health.mental illness.behavioral health.mental disorder,1922
7,1,mental health.mental illness.behavioral health.mental disorder,1923
9,2,mental health.mental illness.behavioral health.mental disorder,1923
3,3,mental health.mental illness.behavioral health.mental disorder,1923
6,4,mental health.mental illness.behavioral health.mental disorder,1923
2,1,mental health.mental illness.behavioral health.mental disorder,1924
8,2,mental health.mental illness.behavioral health.mental disorder,1924
5,3,mental health.mental illness.behavioral health.mental disorder,1924
8,4,mental health.mental illness.behavioral health.mental disorder,1924
4,1,mental health.mental illness.behavioral health.mental disorder,1925
3,2,mental health.mental illness.behavioral health.mental disorder,1925
7,3,mental health.mental illness.behavioral health.mental disorder,1925
5,4,mental health.mental illness.behavioral health.mental disorder,1925
3,1,mental health.mental illness.behavioral health.mental disorder,1926
8,2,mental health.mental illness.behavioral health.mental disorder,1926
8,3,mental health.mental illness.behavioral health.mental disorder,1926
4,4,mental health.mental illness.behavioral health.mental disorder,1926
6,1,mental health.mental illness.behavioral health.mental disorder,1927
10,2,mental health.mental illness.behavioral health.mental disorder,1927
3,3,mental health.mental illness.behavioral health.mental disorder,1927
7,4,mental health.mental illness.behavioral health.mental disorder,1927
5,1,mental health.mental illness.behavioral health.mental disorder,1928
8,2,mental health.mental illness.behavioral health.mental disorder,1928
3,3,mental health.mental illness.behavioral health.mental disorder,1928
11,4,mental health.mental illness.behavioral health.mental disorder,1928
2,1,mental health.mental illness.behavioral health.mental disorder,1929
2,2,mental health.mental illness.behavioral health.mental disorder,1929
8,3,mental health.mental illness.behavioral health.mental disorder,1929
13,4,mental health.mental illness.behavioral health.mental disorder,1929
16,1,mental health.mental illness.behavioral health.mental disorder,1930
16,2,mental health.mental illness.behavioral health.mental disorder,1930
13,3,mental health.mental illness.behavioral health.mental disorder,1930
6,4,mental health.mental illness.behavioral health.mental disorder,1930
8,1,mental health.mental illness.behavioral health.mental disorder,1931
15,2,mental health.mental illness.behavioral health.mental disorder,1931
7,3,mental health.mental illness.behavioral health.mental disorder,1931
5,4,mental health.mental illness.behavioral health.mental disorder,1931
15,1,mental health.mental illness.behavioral health.mental disorder,1932
11,2,mental health.mental illness.behavioral health.mental disorder,1932
7,3,mental health.mental illness.behavioral health.mental disorder,1932
14,4,mental health.mental illness.behavioral health.mental disorder,1932
15,1,mental health.mental illness.behavioral health.mental disorder,1933
5,2,mental health.mental illness.behavioral health.mental disorder,1933
7,3,mental health.mental illness.behavioral health.mental disorder,1933
6,4,mental health.mental illness.behavioral health.mental disorder,1933
7,1,mental health.mental illness.behavioral health.mental disorder,1934
12,2,mental health.mental illness.behavioral health.mental disorder,1934
4,3,mental health.mental illness.behavioral health.mental disorder,1934
17,4,mental health.mental illness.behavioral health.mental disorder,1934
9,1,mental health.mental illness.behavioral health.mental disorder,1935
10,2,mental health.mental illness.behavioral health.mental disorder,1935
3,3,mental health.mental illness.behavioral health.mental disorder,1935
3,4,mental health.mental illness.behavioral health.mental disorder,1935
11,1,mental health.mental illness.behavioral health.mental disorder,1936
8,2,mental health.mental illness.behavioral health.mental disorder,1936
2,3,mental health.mental illness.behavioral health.mental disorder,1936
18,4,mental health.mental illness.behavioral health.mental disorder,1936
8,1,mental health.mental illness.behavioral health.mental disorder,1937
11,2,mental health.mental illness.behavioral health.mental disorder,1937
7,3,mental health.mental illness.behavioral health.mental disorder,1937
14,4,mental health.mental illness.behavioral health.mental disorder,1937
8,1,mental health.mental illness.behavioral health.mental disorder,1938
12,2,mental health.mental illness.behavioral health.mental disorder,1938
9,3,mental health.mental illness.behavioral health.mental disorder,1938
12,4,mental health.mental illness.behavioral health.mental disorder,1938
14,1,mental health.mental illness.behavioral health.mental disorder,1939
14,2,mental health.mental illness.behavioral health.mental disorder,1939
3,3,mental health.mental illness.behavioral health.mental disorder,1939
6,4,mental health.mental illness.behavioral health.mental disorder,1939
10,1,mental health.mental illness.behavioral health.mental disorder,1940
6,2,mental health.mental illness.behavioral health.mental disorder,1940
6,3,mental health.mental illness.behavioral health.mental disorder,1940
6,4,mental health.mental illness.behavioral health.mental disorder,1940
9,1,mental health.mental illness.behavioral health.mental disorder,1941
16,2,mental health.mental illness.behavioral health.mental disorder,1941
8,3,mental health.mental illness.behavioral health.mental disorder,1941
8,4,mental health.mental illness.behavioral health.mental disorder,1941
8,1,mental health.mental illness.behavioral health.mental disorder,1942
2,2,mental health.mental illness.behavioral health.mental disorder,1942
7,3,mental health.mental illness.behavioral health.mental disorder,1942
9,4,mental health.mental illness.behavioral health.mental disorder,1942
4,1,mental health.mental illness.behavioral health.mental disorder,1943
5,2,mental health.mental illness.behavioral health.mental disorder,1943
4,3,mental health.mental illness.behavioral health.mental disorder,1943
16,4,mental health.mental illness.behavioral health.mental disorder,1943
6,1,mental health.mental illness.behavioral health.mental disorder,1944
11,2,mental health.mental illness.behavioral health.mental disorder,1944
6,3,mental health.mental illness.behavioral health.mental disorder,1944
14,4,mental health.mental illness.behavioral health.mental disorder,1944
14,1,mental health.mental illness.behavioral health.mental disorder,1945
8,2,mental health.mental illness.behavioral health.mental disorder,1945
4,3,mental health.mental illness.behavioral health.mental disorder,1945
12,4,mental health.mental illness.behavioral health.mental disorder,1945
12,1,mental health.mental illness.behavioral health.mental disorder,1946
13,2,mental health.mental illness.behavioral health.mental disorder,1946
13,3,mental health.mental illness.behavioral health.mental disorder,1946
22,4,mental health.mental illness.behavioral health.mental disorder,1946
15,1,mental health.mental illness.behavioral health.mental disorder,1947
32,2,mental health.mental illness.behavioral health.mental disorder,1947
20,3,mental health.mental illness.behavioral health.mental disorder,1947
31,4,mental health.mental illness.behavioral health.mental disorder,1947
28,1,mental health.mental illness.behavioral health.mental disorder,1948
39,2,mental health.mental illness.behavioral health.mental disorder,1948
44,3,mental health.mental illness.behavioral health.mental disorder,1948
49,4,mental health.mental illness.behavioral health.mental disorder,1948
49,1,mental health.mental illness.behavioral health.mental disorder,1949
52,2,mental health.mental illness.behavioral health.mental disorder,1949
42,3,mental health.mental illness.behavioral health.mental disorder,1949
61,4,mental health.mental illness.behavioral health.mental disorder,1949
68,1,mental health.mental illness.behavioral health.mental disorder,1950
63,2,mental health.mental illness.behavioral health.mental disorder,1950
30,3,mental health.mental illness.behavioral health.mental disorder,1950
41,4,mental health.mental illness.behavioral health.mental disorder,1950
43,1,mental health.mental illness.behavioral health.mental disorder,1951
56,2,mental health.mental illness.behavioral health.mental disorder,1951
33,3,mental health.mental illness.behavioral health.mental disorder,1951
47,4,mental health.mental illness.behavioral health.mental disorder,1951
43,1,mental health.mental illness.behavioral health.mental disorder,1952
68,2,mental health.mental illness.behavioral health.mental disorder,1952
33,3,mental health.mental illness.behavioral health.mental disorder,1952
48,4,mental health.mental illness.behavioral health.mental disorder,1952
52,1,mental health.mental illness.behavioral health.mental disorder,1953
55,2,mental health.mental illness.behavioral health.mental disorder,1953
41,3,mental health.mental illness.behavioral health.mental disorder,1953
49,4,mental health.mental illness.behavioral health.mental disorder,1953
85,1,mental health.mental illness.behavioral health.mental disorder,1954
51,2,mental health.mental illness.behavioral health.mental disorder,1954
55,3,mental health.mental illness.behavioral health.mental disorder,1954
66,4,mental health.mental illness.behavioral health.mental disorder,1954
89,1,mental health.mental illness.behavioral health.mental disorder,1955
89,2,mental health.mental illness.behavioral health.mental disorder,1955
56,3,mental health.mental illness.behavioral health.mental disorder,1955
72,4,mental health.mental illness.behavioral health.mental disorder,1955
97,1,mental health.mental illness.behavioral health.mental disorder,1956
98,2,mental health.mental illness.behavioral health.mental disorder,1956
59,3,mental health.mental illness.behavioral health.mental disorder,1956
76,4,mental health.mental illness.behavioral health.mental disorder,1956
89,1,mental health.mental illness.behavioral health.mental disorder,1957
97,2,mental health.mental illness.behavioral health.mental disorder,1957
82,3,mental health.mental illness.behavioral health.mental disorder,1957
89,4,mental health.mental illness.behavioral health.mental disorder,1957
86,1,mental health.mental illness.behavioral health.mental disorder,1958
69,2,mental health.mental illness.behavioral health.mental disorder,1958
66,3,mental health.mental illness.behavioral health.mental disorder,1958
75,4,mental health.mental illness.behavioral health.mental disorder,1958
65,1,mental health.mental illness.behavioral health.mental disorder,1959
74,2,mental health.mental illness.behavioral health.mental disorder,1959
64,3,mental health.mental illness.behavioral health.mental disorder,1959
71,4,mental health.mental illness.behavioral health.mental disorder,1959
99,1,mental health.mental illness.behavioral health.mental disorder,1960
68,2,mental health.mental illness.behavioral health.mental disorder,1960
57,3,mental health.mental illness.behavioral health.mental disorder,1960
82,4,mental health.mental illness.behavioral health.mental disorder,1960
69,1,mental health.mental illness.behavioral health.mental disorder,1961
71,2,mental health.mental illness.behavioral health.mental disorder,1961
51,3,mental health.mental illness.behavioral health.mental disorder,1961
94,4,mental health.mental illness.behavioral health.mental disorder,1961
97,1,mental health.mental illness.behavioral health.mental disorder,1962
101,2,mental health.mental illness.behavioral health.mental disorder,1962
86,3,mental health.mental illness.behavioral health.mental disorder,1962
86,4,mental health.mental illness.behavioral health.mental disorder,1962
36,1,mental health.mental illness.behavioral health.mental disorder,1963
146,2,mental health.mental illness.behavioral health.mental disorder,1963
99,3,mental health.mental illness.behavioral health.mental disorder,1963
138,4,mental health.mental illness.behavioral health.mental disorder,1963
78,1,mental health.mental illness.behavioral health.mental disorder,1964
84,2,mental health.mental illness.behavioral health.mental disorder,1964
53,3,mental health.mental illness.behavioral health.mental disorder,1964
88,4,mental health.mental illness.behavioral health.mental disorder,1964
68,1,mental health.mental illness.behavioral health.mental disorder,1965
67,2,mental health.mental illness.behavioral health.mental disorder,1965
55,3,mental health.mental illness.behavioral health.mental disorder,1965
74,4,mental health.mental illness.behavioral health.mental disorder,1965
146,1,mental health.mental illness.behavioral health.mental disorder,1966
169,2,mental health.mental illness.behavioral health.mental disorder,1966
121,3,mental health.mental illness.behavioral health.mental disorder,1966
125,4,mental health.mental illness.behavioral health.mental disorder,1966
106,1,mental health.mental illness.behavioral health.mental disorder,1967
91,2,mental health.mental illness.behavioral health.mental disorder,1967
48,3,mental health.mental illness.behavioral health.mental disorder,1967
98,4,mental health.mental illness.behavioral health.mental disorder,1967
79,1,mental health.mental illness.behavioral health.mental disorder,1968
75,2,mental health.mental illness.behavioral health.mental disorder,1968
70,3,mental health.mental illness.behavioral health.mental disorder,1968
85,4,mental health.mental illness.behavioral health.mental disorder,1968
96,1,mental health.mental illness.behavioral health.mental disorder,1969
84,2,mental health.mental illness.behavioral health.mental disorder,1969
61,3,mental health.mental illness.behavioral health.mental disorder,1969
85,4,mental health.mental illness.behavioral health.mental disorder,1969
88,1,mental health.mental illness.behavioral health.mental disorder,1970
