hits,quarter,term,year
0,1,mental health,1900
0,2,mental health,1900
0,3,mental health,1900
1,4,mental health,1900
0,1,mental health,1901
0,2,mental health,1901
1,3,mental health,1901
0,4,mental health,1901
0,1,mental health,1902
0,2,mental health,1902
0,3,mental health,1902
0,4,mental health,1902
1,1,mental health,1903
0,2,mental health,1903
0,3,mental health,1903
0,4,mental health,1903
0,1,mental health,1904
2,2,mental health,1904
0,3,mental health,1904
1,4,mental health,1904
2,1,mental health,1905
1,2,mental health,1905
1,3,mental health,1905
0,4,mental health,1905
0,1,mental health,1906
0,2,mental health,1906
0,3,mental health,1906
1,4,mental health,1906
1,1,mental health,1907
2,2,mental health,1907
0,3,mental health,1907
2,4,mental health,1907
0,1,mental health,1908
0,2,mental health,1908
1,3,mental health,1908
2,4,mental health,1908
1,1,mental health,1909
0,2,mental health,1909
2,3,mental health,1909
1,4,mental health,1909
0,1,mental health,1910
0,2,mental health,1910
3,3,mental health,1910
0,4,mental health,1910
1,1,mental health,1911
2,2,mental health,1911
1,3,mental health,1911
2,4,mental health,1911
0,1,mental health,1912
3,2,mental health,1912
0,3,mental health,1912
2,4,mental health,1912
0,1,mental health,1913
3,2,mental health,1913
1,3,mental health,1913
0,4,mental health,1913
2,1,mental health,1914
0,2,mental health,1914
0,3,mental health,1914
1,4,mental health,1914
1,1,mental health,1915
1,2,mental health,1915
0,3,mental health,1915
3,4,mental health,1915
2,1,mental health,1916
1,2,mental health,1916
2,3,mental health,1916
1,4,mental health,1916
0,1,mental health,1917
0,2,mental health,1917
1,3,mental health,1917
0,4,mental health,1917
1,1,mental health,1918
2,2,mental health,1918
0,3,mental health,1918
0,4,mental health,1918
1,1,mental health,1919
0,2,mental health,1919
1,3,mental health,1919
1,4,mental health,1919
2,1,mental health,1920
0,2,mental health,1920
1,3,mental health,1920
2,4,mental health,1920
2,1,mental health,1921
2,2,mental health,1921
0,3,mental health,1921
0,4,mental health,1921
1,1,mental health,1922
7,2,mental health,1922
2,3,mental health,1922
3,4,mental health,1922
2,1,mental health,1923
8,2,mental health,1923
1,3,mental health,1923
3,4,mental health,1923
1,1,mental health,1924
5,2,mental health,1924
2,3,mental health,1924
5,4,mental health,1924
1,1,mental health,1925
1,2,mental health,1925
1,3,mental health,1925
3,4,mental health,1925
2,1,mental health,1926
5,2,mental health,1926
7,3,mental health,1926
3,4,mental health,1926
3,1,mental health,1927
6,2,mental health,1927
1,3,mental health,1927
2,4,mental health,1927
4,1,mental health,1928
7,2,mental health,1928
0,3,mental health,1928
8,4,mental health,1928
2,1,mental health,1929
2,2,mental health,1929
6,3,mental health,1929
8,4,mental health,1929
12,1,mental health,1930
12,2,mental health,1930
7,3,mental health,1930
4,4,mental health,1930
3,1,mental health,1931
11,2,mental health,1931
3,3,mental health,1931
4,4,mental health,1931
10,1,mental health,1932
5,2,mental health,1932
5,3,mental health,1932
8,4,mental health,1932
6,1,mental health,1933
4,2,mental health,1933
4,3,mental health,1933
4,4,mental health,1933
5,1,mental health,1934
4,2,mental health,1934
2,3,mental health,1934
12,4,mental health,1934
4,1,mental health,1935
4,2,mental health,1935
2,3,mental health,1935
3,4,mental health,1935
6,1,mental health,1936
4,2,mental health,1936
1,3,mental health,1936
12,4,mental health,1936
5,1,mental health,1937
5,2,mental health,1937
7,3,mental health,1937
9,4,mental health,1937
6,1,mental health,1938
11,2,mental health,1938
7,3,mental health,1938
7,4,mental health,1938
12,1,mental health,1939
12,2,mental health,1939
2,3,mental health,1939
3,4,mental health,1939
7,1,mental health,1940
3,2,mental health,1940
2,3,mental health,1940
4,4,mental health,1940
6,1,mental health,1941
14,2,mental health,1941
7,3,mental health,1941
4,4,mental health,1941
7,1,mental health,1942
2,2,mental health,1942
6,3,mental health,1942
5,4,mental health,1942
2,1,mental health,1943
3,2,mental health,1943
2,3,mental health,1943
7,4,mental health,1943
4,1,mental health,1944
7,2,mental health,1944
4,3,mental health,1944
13,4,mental health,1944
9,1,mental health,1945
4,2,mental health,1945
4,3,mental health,1945
6,4,mental health,1945
8,1,mental health,1946
7,2,mental health,1946
11,3,mental health,1946
15,4,mental health,1946
15,1,mental health,1947
24,2,mental health,1947
15,3,mental health,1947
25,4,mental health,1947
23,1,mental health,1948
29,2,mental health,1948
40,3,mental health,1948
35,4,mental health,1948
38,1,mental health,1949
33,2,mental health,1949
29,3,mental health,1949
42,4,mental health,1949
51,1,mental health,1950
46,2,mental health,1950
25,3,mental health,1950
38,4,mental health,1950
34,1,mental health,1951
46,2,mental health,1951
28,3,mental health,1951
41,4,mental health,1951
31,1,mental health,1952
54,2,mental health,1952
27,3,mental health,1952
46,4,mental health,1952
46,1,mental health,1953
40,2,mental health,1953
30,3,mental health,1953
40,4,mental health,1953
74,1,mental health,1954
34,2,mental health,1954
48,3,mental health,1954
58,4,mental health,1954
71,1,mental health,1955
73,2,mental health,1955
50,3,mental health,1955
54,4,mental health,1955
76,1,mental health,1956
71,2,mental health,1956
44,3,mental health,1956
57,4,mental health,1956
67,1,mental health,1957
78,2,mental health,1957
66,3,mental health,1957
76,4,mental health,1957
76,1,mental health,1958
54,2,mental health,1958
52,3,mental health,1958
59,4,mental health,1958
54,1,mental health,1959
58,2,mental health,1959
51,3,mental health,1959
59,4,mental health,1959
85,1,mental health,1960
65,2,mental health,1960
47,3,mental health,1960
62,4,mental health,1960
56,1,mental health,1961
62,2,mental health,1961
46,3,mental health,1961
77,4,mental health,1961
83,1,mental health,1962
86,2,mental health,1962
70,3,mental health,1962
69,4,mental health,1962
32,1,mental health,1963
127,2,mental health,1963
92,3,mental health,1963
118,4,mental health,1963
60,1,mental health,1964
72,2,mental health,1964
43,3,mental health,1964
70,4,mental health,1964
63,1,mental health,1965
52,2,mental health,1965
43,3,mental health,1965
55,4,mental health,1965
126,1,mental health,1966
153,2,mental health,1966
100,3,mental health,1966
106,4,mental health,1966
95,1,mental health,1967
78,2,mental health,1967
38,3,mental health,1967
86,4,mental health,1967
72,1,mental health,1968
57,2,mental health,1968
48,3,mental health,1968
71,4,mental health,1968
88,1,mental health,1969
67,2,mental health,1969
56,3,mental health,1969
73,4,mental health,1969
76,1,mental health,1970
93,2,mental health,1970
64,3,mental health,1970
66,4,mental health,1970
72,1,mental health,1971
67,2,mental health,1971
45,3,mental health,1971
