hits,quarter,term,year
0,1,mental hygiene,1900
0,2,mental hygiene,1900
0,3,mental hygiene,1900
0,4,mental hygiene,1900
0,1,mental hygiene,1901
0,2,mental hygiene,1901
0,3,mental hygiene,1901
0,4,mental hygiene,1901
0,1,mental hygiene,1902
0,2,mental hygiene,1902
0,3,mental hygiene,1902
0,4,mental hygiene,1902
0,1,mental hygiene,1903
0,2,mental hygiene,1903
0,3,mental hygiene,1903
0,4,mental hygiene,1903
0,1,mental hygiene,1904
0,2,mental hygiene,1904
0,3,mental hygiene,1904
0,4,mental hygiene,1904
0,1,mental hygiene,1905
0,2,mental hygiene,1905
0,3,mental hygiene,1905
0,4,mental hygiene,1905
0,1,mental hygiene,1906
0,2,mental hygiene,1906
0,3,mental hygiene,1906
0,4,mental hygiene,1906
1,1,mental hygiene,1907
0,2,mental hygiene,1907
0,3,mental hygiene,1907
0,4,mental hygiene,1907
0,1,mental hygiene,1908
0,2,mental hygiene,1908
1,3,mental hygiene,1908
0,4,mental hygiene,1908
0,1,mental hygiene,1909
0,2,mental hygiene,1909
0,3,mental hygiene,1909
0,4,mental hygiene,1909
0,1,mental hygiene,1910
0,2,mental hygiene,1910
2,3,mental hygiene,1910
0,4,mental hygiene,1910
0,1,mental hygiene,1911
0,2,mental hygiene,1911
0,3,mental hygiene,1911
0,4,mental hygiene,1911
2,1,mental hygiene,1912
0,2,mental hygiene,1912
2,3,mental hygiene,1912
5,4,mental hygiene,1912
1,1,mental hygiene,1913
0,2,mental hygiene,1913
1,3,mental hygiene,1913
2,4,mental hygiene,1913
2,1,mental hygiene,1914
1,2,mental hygiene,1914
1,3,mental hygiene,1914
1,4,mental hygiene,1914
5,1,mental hygiene,1915
1,2,mental hygiene,1915
2,3,mental hygiene,1915
0,4,mental hygiene,1915
1,1,mental hygiene,1916
2,2,mental hygiene,1916
0,3,mental hygiene,1916
2,4,mental hygiene,1916
2,1,mental hygiene,1917
2,2,mental hygiene,1917
0,3,mental hygiene,1917
2,4,mental hygiene,1917
5,1,mental hygiene,1918
2,2,mental hygiene,1918
2,3,mental hygiene,1918
0,4,mental hygiene,1918
0,1,mental hygiene,1919
2,2,mental hygiene,1919
1,3,mental hygiene,1919
0,4,mental hygiene,1919
0,1,mental hygiene,1920
5,2,mental hygiene,1920
1,3,mental hygiene,1920
1,4,mental hygiene,1920
3,1,mental hygiene,1921
1,2,mental hygiene,1921
2,3,mental hygiene,1921
1,4,mental hygiene,1921
2,1,mental hygiene,1922
9,2,mental hygiene,1922
4,3,mental hygiene,1922
1,4,mental hygiene,1922
9,1,mental hygiene,1923
6,2,mental hygiene,1923
8,3,mental hygiene,1923
5,4,mental hygiene,1923
7,1,mental hygiene,1924
4,2,mental hygiene,1924
3,3,mental hygiene,1924
6,4,mental hygiene,1924
6,1,mental hygiene,1925
9,2,mental hygiene,1925
3,3,mental hygiene,1925
16,4,mental hygiene,1925
11,1,mental hygiene,1926
22,2,mental hygiene,1926
7,3,mental hygiene,1926
11,4,mental hygiene,1926
29,1,mental hygiene,1927
10,2,mental hygiene,1927
11,3,mental hygiene,1927
13,4,mental hygiene,1927
14,1,mental hygiene,1928
22,2,mental hygiene,1928
7,3,mental hygiene,1928
22,4,mental hygiene,1928
25,1,mental hygiene,1929
21,2,mental hygiene,1929
11,3,mental hygiene,1929
31,4,mental hygiene,1929
49,1,mental hygiene,1930
48,2,mental hygiene,1930
26,3,mental hygiene,1930
35,4,mental hygiene,1930
38,1,mental hygiene,1931
22,2,mental hygiene,1931
22,3,mental hygiene,1931
31,4,mental hygiene,1931
21,1,mental hygiene,1932
26,2,mental hygiene,1932
7,3,mental hygiene,1932
19,4,mental hygiene,1932
19,1,mental hygiene,1933
16,2,mental hygiene,1933
13,3,mental hygiene,1933
22,4,mental hygiene,1933
28,1,mental hygiene,1934
17,2,mental hygiene,1934
6,3,mental hygiene,1934
14,4,mental hygiene,1934
13,1,mental hygiene,1935
8,2,mental hygiene,1935
16,3,mental hygiene,1935
10,4,mental hygiene,1935
14,1,mental hygiene,1936
8,2,mental hygiene,1936
5,3,mental hygiene,1936
10,4,mental hygiene,1936
17,1,mental hygiene,1937
9,2,mental hygiene,1937
21,3,mental hygiene,1937
18,4,mental hygiene,1937
28,1,mental hygiene,1938
15,2,mental hygiene,1938
14,3,mental hygiene,1938
19,4,mental hygiene,1938
19,1,mental hygiene,1939
34,2,mental hygiene,1939
9,3,mental hygiene,1939
19,4,mental hygiene,1939
25,1,mental hygiene,1940
14,2,mental hygiene,1940
12,3,mental hygiene,1940
16,4,mental hygiene,1940
14,1,mental hygiene,1941
11,2,mental hygiene,1941
11,3,mental hygiene,1941
10,4,mental hygiene,1941
18,1,mental hygiene,1942
16,2,mental hygiene,1942
12,3,mental hygiene,1942
13,4,mental hygiene,1942
23,1,mental hygiene,1943
12,2,mental hygiene,1943
19,3,mental hygiene,1943
11,4,mental hygiene,1943
15,1,mental hygiene,1944
9,2,mental hygiene,1944
15,3,mental hygiene,1944
27,4,mental hygiene,1944
33,1,mental hygiene,1945
25,2,mental hygiene,1945
14,3,mental hygiene,1945
20,4,mental hygiene,1945
30,1,mental hygiene,1946
36,2,mental hygiene,1946
20,3,mental hygiene,1946
28,4,mental hygiene,1946
22,1,mental hygiene,1947
41,2,mental hygiene,1947
20,3,mental hygiene,1947
43,4,mental hygiene,1947
26,1,mental hygiene,1948
45,2,mental hygiene,1948
24,3,mental hygiene,1948
52,4,mental hygiene,1948
56,1,mental hygiene,1949
51,2,mental hygiene,1949
21,3,mental hygiene,1949
48,4,mental hygiene,1949
72,1,mental hygiene,1950
48,2,mental hygiene,1950
35,3,mental hygiene,1950
37,4,mental hygiene,1950
30,1,mental hygiene,1951
30,2,mental hygiene,1951
17,3,mental hygiene,1951
21,4,mental hygiene,1951
29,1,mental hygiene,1952
22,2,mental hygiene,1952
12,3,mental hygiene,1952
16,4,mental hygiene,1952
22,1,mental hygiene,1953
13,2,mental hygiene,1953
11,3,mental hygiene,1953
16,4,mental hygiene,1953
29,1,mental hygiene,1954
19,2,mental hygiene,1954
16,3,mental hygiene,1954
24,4,mental hygiene,1954
32,1,mental hygiene,1955
13,2,mental hygiene,1955
11,3,mental hygiene,1955
21,4,mental hygiene,1955
31,1,mental hygiene,1956
21,2,mental hygiene,1956
10,3,mental hygiene,1956
17,4,mental hygiene,1956
27,1,mental hygiene,1957
19,2,mental hygiene,1957
15,3,mental hygiene,1957
18,4,mental hygiene,1957
23,1,mental hygiene,1958
11,2,mental hygiene,1958
10,3,mental hygiene,1958
10,4,mental hygiene,1958
12,1,mental hygiene,1959
12,2,mental hygiene,1959
20,3,mental hygiene,1959
13,4,mental hygiene,1959
26,1,mental hygiene,1960
16,2,mental hygiene,1960
7,3,mental hygiene,1960
14,4,mental hygiene,1960
19,1,mental hygiene,1961
10,2,mental hygiene,1961
10,3,mental hygiene,1961
14,4,mental hygiene,1961
29,1,mental hygiene,1962
22,2,mental hygiene,1962
14,3,mental hygiene,1962
11,4,mental hygiene,1962
0,1,mental hygiene,1963
13,2,mental hygiene,1963
7,3,mental hygiene,1963
15,4,mental hygiene,1963
20,1,mental hygiene,1964
7,2,mental hygiene,1964
11,3,mental hygiene,1964
20,4,mental hygiene,1964
20,1,mental hygiene,1965
19,2,mental hygiene,1965
18,3,mental hygiene,1965
14,4,mental hygiene,1965
26,1,mental hygiene,1966
19,2,mental hygiene,1966
16,3,mental hygiene,1966
19,4,mental hygiene,1966
29,1,mental hygiene,1967
10,2,mental hygiene,1967
23,3,mental hygiene,1967
15,4,mental hygiene,1967
18,1,mental hygiene,1968
10,2,mental hygiene,1968
18,3,mental hygiene,1968
32,4,mental hygiene,1968
19,1,mental hygiene,1969
15,2,mental hygiene,1969
14,3,mental hygiene,1969
13,4,mental hygiene,1969
14,1,mental hygiene,1970
12,2,mental hygiene,1970
10,3,mental hygiene,1970
11,4,mental hygiene,1970
20,1,mental hygiene,1971
22,2,mental hygiene,1971
12,3,mental hygiene,1971
22,4,mental hygiene,1971
48,1,mental hygiene,1972
27,2,mental hygiene,1972
15,3,mental hygiene,1972
18,4,mental hygiene,1972
29,1,mental hygiene,1973
22,2,mental hygiene,1973
18,3,mental hygiene,1973
18,4,mental hygiene,1973
37,1,mental hygiene,1974
24,2,mental hygiene,1974
47,3,mental hygiene,1974
57,4,mental hygiene,1974
55,1,mental hygiene,1975
47,2,mental hygiene,1975
30,3,mental hygiene,1975
19,4,mental hygiene,1975
44,1,mental hygiene,1976
33,2,mental hygiene,1976
20,3,mental hygiene,1976
28,4,mental hygiene,1976
34,1,mental hygiene,1977
29,2,mental hygiene,1977
33,3,mental hygiene,1977
22,4,mental hygiene,1977
41,1,mental hygiene,1978
23,2,mental hygiene,1978
16,3,mental hygiene,1978
11,4,mental hygiene,1978
20,1,mental hygiene,1979
11,2,mental hygiene,1979
11,3,mental hygiene,1979
7,4,mental hygiene,1979
13,1,mental hygiene,1980
18,2,mental hygiene,1980
5,3,mental hygiene,1980
7,4,mental hygiene,1980
8,1,mental hygiene,1981
7,2,mental hygiene,1981
4,3,mental hygiene,1981
8,4,mental hygiene,1981
3,1,mental hygiene,1982
6,2,mental hygiene,1982
8,3,mental hygiene,1982
7,4,mental hygiene,1982
6,1,mental hygiene,1983
3,2,mental hygiene,1983
5,3,mental hygiene,1983
4,4,mental hygiene,1983
10,1,mental hygiene,1984
3,2,mental hygiene,1984
8,3,mental hygiene,1984
4,4,mental hygiene,1984
8,1,mental hygiene,1985
2,2,mental hygiene,1985
1,3,mental hygiene,1985
14,4,mental hygiene,1985
3,1,mental hygiene,1986
1,2,mental hygiene,1986
6,3,mental hygiene,1986
6,4,mental hygiene,1986
5,1,mental hygiene,1987
0,2,mental hygiene,1987
15,3,mental hygiene,1987
18,4,mental hygiene,1987
7,1,mental hygiene,1988
6,2,mental hygiene,1988
6,3,mental hygiene,1988
3,4,mental hygiene,1988
10,1,mental hygiene,1989
3,2,mental hygiene,1989
1,3,mental hygiene,1989
4,4,mental hygiene,1989
2,1,mental hygiene,1990
5,2,mental hygiene,1990
3,3,mental hygiene,1990
2,4,mental hygiene,1990
2,1,mental hygiene,1991
1,2,mental hygiene,1991
2,3,mental hygiene,1991
2,4,mental hygiene,1991
1,1,mental hygiene,1992
4,2,mental hygiene,1992
1,3,mental hygiene,1992
6,4,mental hygiene,1992
8,1,mental hygiene,1993
1,2,mental hygiene,1993
3,3,mental hygiene,1993
1,4,mental hygiene,1993
2,1,mental hygiene,1994
2,2,mental hygiene,1994
0,3,mental hygiene,1994
0,4,mental hygiene,1994
1,1,mental hygiene,1995
2,2,mental hygiene,1995
0,3,mental hygiene,1995
0,4,mental hygiene,1995
3,1,mental hygiene,1996
2,2,mental hygiene,1996
1,3,mental hygiene,1996
2,4,mental hygiene,1996
2,1,mental hygiene,1997
3,2,mental hygiene,1997
0,3,mental hygiene,1997
1,4,mental hygiene,1997
3,1,mental hygiene,1998
3,2,mental hygiene,1998
0,3,mental hygiene,1998
3,4,mental hygiene,1998
1,1,mental hygiene,1999
7,2,mental hygiene,1999
5,3,mental hygiene,1999
2,4,mental hygiene,1999
7,1,mental hygiene,2000
2,2,mental hygiene,2000
3,3,mental hygiene,2000
2,4,mental hygiene,2000
2,1,mental hygiene,2001
1,2,mental hygiene,2001
3,3,mental hygiene,2001
5,4,mental hygiene,2001
1,1,mental hygiene,2002
1,2,mental hygiene,2002
18,3,mental hygiene,2002
13,4,mental hygiene,2002
12,1,mental hygiene,2003
21,2,mental hygiene,2003
28,3,mental hygiene,2003
31,4,mental hygiene,2003
11,1,mental hygiene,2004
9,2,mental hygiene,2004
15,3,mental hygiene,2004
16,4,mental hygiene,2004
29,1,mental hygiene,2005
22,2,mental hygiene,2005
5,3,mental hygiene,2005
18,4,mental hygiene,2005
36,1,mental hygiene,2006
22,2,mental hygiene,2006
24,3,mental hygiene,2006
31,4,mental hygiene,2006
24,1,mental hygiene,2007
31,2,mental hygiene,2007
51,3,mental hygiene,2007
31,4,mental hygiene,2007
21,1,mental hygiene,2008
18,2,mental hygiene,2008
26,3,mental hygiene,2008
14,4,mental hygiene,2008
26,1,mental hygiene,2009
40,2,mental hygiene,2009
20,3,mental hygiene,2009
22,4,mental hygiene,2009
33,1,mental hygiene,2010
17,2,mental hygiene,2010
18,3,mental hygiene,2010
9,4,mental hygiene,2010
16,1,mental hygiene,2011
5,2,mental hygiene,2011
14,3,mental hygiene,2011
19,4,mental hygiene,2011
18,1,mental hygiene,2012
13,2,mental hygiene,2012
7,3,mental hygiene,2012
7,4,mental hygiene,2012
4,1,mental hygiene,2013
7,2,mental hygiene,2013
15,3,mental hygiene,2013
5,4,mental hygiene,2013
18,1,mental hygiene,2014
19,2,mental hygiene,2014
15,3,mental hygiene,2014
19,4,mental hygiene,2014
14,1,mental hygiene,2015
16,2,mental hygiene,2015
19,3,mental hygiene,2015
13,4,mental hygiene,2015
16,1,mental hygiene,2016
5,2,mental hygiene,2016
14,3,mental hygiene,2016
8,4,mental hygiene,2016
