hits,quarter,term,year
0,1,mental illness AND crime,1900
0,2,mental illness AND crime,1900
0,3,mental illness AND crime,1900
0,4,mental illness AND crime,1900
0,1,mental illness AND crime,1901
0,2,mental illness AND crime,1901
0,3,mental illness AND crime,1901
0,4,mental illness AND crime,1901
0,1,mental illness AND crime,1902
0,2,mental illness AND crime,1902
0,3,mental illness AND crime,1902
0,4,mental illness AND crime,1902
0,1,mental illness AND crime,1903
0,2,mental illness AND crime,1903
0,3,mental illness AND crime,1903
0,4,mental illness AND crime,1903
0,1,mental illness AND crime,1904
0,2,mental illness AND crime,1904
0,3,mental illness AND crime,1904
0,4,mental illness AND crime,1904
0,1,mental illness AND crime,1905
0,2,mental illness AND crime,1905
0,3,mental illness AND crime,1905
0,4,mental illness AND crime,1905
0,1,mental illness AND crime,1906
0,2,mental illness AND crime,1906
0,3,mental illness AND crime,1906
0,4,mental illness AND crime,1906
0,1,mental illness AND crime,1907
0,2,mental illness AND crime,1907
0,3,mental illness AND crime,1907
0,4,mental illness AND crime,1907
0,1,mental illness AND crime,1908
0,2,mental illness AND crime,1908
0,3,mental illness AND crime,1908
0,4,mental illness AND crime,1908
0,1,mental illness AND crime,1909
0,2,mental illness AND crime,1909
0,3,mental illness AND crime,1909
0,4,mental illness AND crime,1909
0,1,mental illness AND crime,1910
0,2,mental illness AND crime,1910
0,3,mental illness AND crime,1910
0,1,mental illness AND crime,1911
0,2,mental illness AND crime,1911
0,3,mental illness AND crime,1911
0,4,mental illness AND crime,1911
0,1,mental illness AND crime,1912
0,2,mental illness AND crime,1912
0,3,mental illness AND crime,1912
0,4,mental illness AND crime,1912
0,1,mental illness AND crime,1913
0,2,mental illness AND crime,1913
0,3,mental illness AND crime,1913
0,4,mental illness AND crime,1913
0,1,mental illness AND crime,1914
0,2,mental illness AND crime,1914
0,3,mental illness AND crime,1914
0,4,mental illness AND crime,1914
0,1,mental illness AND crime,1915
0,2,mental illness AND crime,1915
1,3,mental illness AND crime,1915
0,4,mental illness AND crime,1915
0,1,mental illness AND crime,1916
0,2,mental illness AND crime,1916
0,3,mental illness AND crime,1916
0,4,mental illness AND crime,1916
0,1,mental illness AND crime,1917
0,2,mental illness AND crime,1917
0,3,mental illness AND crime,1917
0,4,mental illness AND crime,1917
