hits,quarter,term,year
0,1,mental illness AND danger*,1900
0,2,mental illness AND danger*,1900
0,3,mental illness AND danger*,1900
0,4,mental illness AND danger*,1900
0,1,mental illness AND danger*,1901
0,2,mental illness AND danger*,1901
0,3,mental illness AND danger*,1901
0,4,mental illness AND danger*,1901
0,1,mental illness AND danger*,1902
0,2,mental illness AND danger*,1902
0,3,mental illness AND danger*,1902
0,4,mental illness AND danger*,1902
0,1,mental illness AND danger*,1903
0,2,mental illness AND danger*,1903
0,3,mental illness AND danger*,1903
0,4,mental illness AND danger*,1903
0,1,mental illness AND danger*,1904
0,2,mental illness AND danger*,1904
0,3,mental illness AND danger*,1904
0,4,mental illness AND danger*,1904
0,1,mental illness AND danger*,1905
0,2,mental illness AND danger*,1905
0,3,mental illness AND danger*,1905
0,4,mental illness AND danger*,1905
0,1,mental illness AND danger*,1906
0,2,mental illness AND danger*,1906
0,3,mental illness AND danger*,1906
0,4,mental illness AND danger*,1906
0,1,mental illness AND danger*,1907
0,2,mental illness AND danger*,1907
0,3,mental illness AND danger*,1907
0,4,mental illness AND danger*,1907
0,1,mental illness AND danger*,1908
0,2,mental illness AND danger*,1908
0,3,mental illness AND danger*,1908
0,4,mental illness AND danger*,1908
0,1,mental illness AND danger*,1909
0,2,mental illness AND danger*,1909
0,3,mental illness AND danger*,1909
0,4,mental illness AND danger*,1909
0,1,mental illness AND danger*,1910
0,2,mental illness AND danger*,1910
0,3,mental illness AND danger*,1910
0,4,mental illness AND danger*,1910
0,1,mental illness AND danger*,1911
0,2,mental illness AND danger*,1911
0,3,mental illness AND danger*,1911
0,4,mental illness AND danger*,1911
0,1,mental illness AND danger*,1912
0,2,mental illness AND danger*,1912
0,3,mental illness AND danger*,1912
0,4,mental illness AND danger*,1912
0,1,mental illness AND danger*,1913
0,2,mental illness AND danger*,1913
0,3,mental illness AND danger*,1913
0,4,mental illness AND danger*,1913
0,1,mental illness AND danger*,1914
0,2,mental illness AND danger*,1914
0,3,mental illness AND danger*,1914
0,4,mental illness AND danger*,1914
0,1,mental illness AND danger*,1915
0,2,mental illness AND danger*,1915
0,3,mental illness AND danger*,1915
0,4,mental illness AND danger*,1915
0,1,mental illness AND danger*,1916
0,2,mental illness AND danger*,1916
0,3,mental illness AND danger*,1916
0,4,mental illness AND danger*,1916
0,1,mental illness AND danger*,1917
0,2,mental illness AND danger*,1917
0,3,mental illness AND danger*,1917
0,4,mental illness AND danger*,1917
0,1,mental illness AND danger*,1918
0,2,mental illness AND danger*,1918
0,3,mental illness AND danger*,1918
0,4,mental illness AND danger*,1918
0,1,mental illness AND danger*,1919
0,2,mental illness AND danger*,1919
0,3,mental illness AND danger*,1919
0,4,mental illness AND danger*,1919
0,1,mental illness AND danger*,1920
0,2,mental illness AND danger*,1920
0,3,mental illness AND danger*,1920
0,4,mental illness AND danger*,1920
0,1,mental illness AND danger*,1921
0,2,mental illness AND danger*,1921
0,3,mental illness AND danger*,1921
0,4,mental illness AND danger*,1921
0,1,mental illness AND danger*,1922
0,2,mental illness AND danger*,1922
0,3,mental illness AND danger*,1922
0,4,mental illness AND danger*,1922
0,1,mental illness AND danger*,1923
0,2,mental illness AND danger*,1923
0,3,mental illness AND danger*,1923
0,4,mental illness AND danger*,1923
0,1,mental illness AND danger*,1924
0,2,mental illness AND danger*,1924
0,3,mental illness AND danger*,1924
0,4,mental illness AND danger*,1924
1,1,mental illness AND danger*,1925
0,2,mental illness AND danger*,1925
0,3,mental illness AND danger*,1925
0,4,mental illness AND danger*,1925
0,1,mental illness AND danger*,1926
0,2,mental illness AND danger*,1926
0,3,mental illness AND danger*,1926
0,4,mental illness AND danger*,1926
0,1,mental illness AND danger*,1927
0,2,mental illness AND danger*,1927
0,3,mental illness AND danger*,1927
1,4,mental illness AND danger*,1927
0,1,mental illness AND danger*,1928
0,2,mental illness AND danger*,1928
0,3,mental illness AND danger*,1928
0,4,mental illness AND danger*,1928
0,1,mental illness AND danger*,1929
0,2,mental illness AND danger*,1929
0,3,mental illness AND danger*,1929
0,4,mental illness AND danger*,1929
0,1,mental illness AND danger*,1930
0,2,mental illness AND danger*,1930
0,3,mental illness AND danger*,1930
0,4,mental illness AND danger*,1930
0,1,mental illness AND danger*,1931
1,2,mental illness AND danger*,1931
0,3,mental illness AND danger*,1931
0,4,mental illness AND danger*,1931
0,1,mental illness AND danger*,1932
2,2,mental illness AND danger*,1932
0,3,mental illness AND danger*,1932
1,4,mental illness AND danger*,1932
0,1,mental illness AND danger*,1933
0,2,mental illness AND danger*,1933
0,3,mental illness AND danger*,1933
0,4,mental illness AND danger*,1933
0,1,mental illness AND danger*,1934
0,2,mental illness AND danger*,1934
0,3,mental illness AND danger*,1934
1,4,mental illness AND danger*,1934
0,1,mental illness AND danger*,1935
0,2,mental illness AND danger*,1935
0,3,mental illness AND danger*,1935
0,4,mental illness AND danger*,1935
0,1,mental illness AND danger*,1936
0,2,mental illness AND danger*,1936
0,3,mental illness AND danger*,1936
0,4,mental illness AND danger*,1936
0,1,mental illness AND danger*,1937
0,2,mental illness AND danger*,1937
0,3,mental illness AND danger*,1937
0,4,mental illness AND danger*,1937
0,1,mental illness AND danger*,1938
0,2,mental illness AND danger*,1938
0,3,mental illness AND danger*,1938
2,4,mental illness AND danger*,1938
0,1,mental illness AND danger*,1939
0,2,mental illness AND danger*,1939
0,3,mental illness AND danger*,1939
0,4,mental illness AND danger*,1939
0,1,mental illness AND danger*,1940
0,2,mental illness AND danger*,1940
0,3,mental illness AND danger*,1940
0,4,mental illness AND danger*,1940
0,1,mental illness AND danger*,1941
0,2,mental illness AND danger*,1941
0,3,mental illness AND danger*,1941
2,4,mental illness AND danger*,1941
0,1,mental illness AND danger*,1942
0,2,mental illness AND danger*,1942
0,3,mental illness AND danger*,1942
1,4,mental illness AND danger*,1942
0,1,mental illness AND danger*,1943
0,2,mental illness AND danger*,1943
0,3,mental illness AND danger*,1943
3,4,mental illness AND danger*,1943
0,1,mental illness AND danger*,1944
1,2,mental illness AND danger*,1944
0,3,mental illness AND danger*,1944
0,4,mental illness AND danger*,1944
2,1,mental illness AND danger*,1945
0,2,mental illness AND danger*,1945
0,3,mental illness AND danger*,1945
1,4,mental illness AND danger*,1945
0,1,mental illness AND danger*,1946
2,2,mental illness AND danger*,1946
1,3,mental illness AND danger*,1946
3,4,mental illness AND danger*,1946
0,1,mental illness AND danger*,1947
2,2,mental illness AND danger*,1947
0,3,mental illness AND danger*,1947
1,4,mental illness AND danger*,1947
2,1,mental illness AND danger*,1948
0,2,mental illness AND danger*,1948
2,3,mental illness AND danger*,1948
4,4,mental illness AND danger*,1948
1,1,mental illness AND danger*,1949
5,2,mental illness AND danger*,1949
1,3,mental illness AND danger*,1949
3,4,mental illness AND danger*,1949
2,1,mental illness AND danger*,1950
1,2,mental illness AND danger*,1950
1,3,mental illness AND danger*,1950
1,4,mental illness AND danger*,1950
4,1,mental illness AND danger*,1951
0,2,mental illness AND danger*,1951
2,3,mental illness AND danger*,1951
3,4,mental illness AND danger*,1951
2,1,mental illness AND danger*,1952
2,2,mental illness AND danger*,1952
1,3,mental illness AND danger*,1952
1,4,mental illness AND danger*,1952
1,1,mental illness AND danger*,1953
1,2,mental illness AND danger*,1953
2,3,mental illness AND danger*,1953
1,4,mental illness AND danger*,1953
3,1,mental illness AND danger*,1954
1,2,mental illness AND danger*,1954
4,3,mental illness AND danger*,1954
0,4,mental illness AND danger*,1954
1,1,mental illness AND danger*,1955
0,2,mental illness AND danger*,1955
1,3,mental illness AND danger*,1955
4,4,mental illness AND danger*,1955
4,1,mental illness AND danger*,1956
8,2,mental illness AND danger*,1956
4,3,mental illness AND danger*,1956
1,4,mental illness AND danger*,1956
5,1,mental illness AND danger*,1957
5,2,mental illness AND danger*,1957
3,3,mental illness AND danger*,1957
4,4,mental illness AND danger*,1957
2,1,mental illness AND danger*,1958
2,2,mental illness AND danger*,1958
1,3,mental illness AND danger*,1958
5,4,mental illness AND danger*,1958
0,1,mental illness AND danger*,1959
3,4,mental illness AND danger*,1959
2,1,mental illness AND danger*,1960
2,2,mental illness AND danger*,1960
4,3,mental illness AND danger*,1960
4,4,mental illness AND danger*,1960
2,1,mental illness AND danger*,1961
1,2,mental illness AND danger*,1961
1,3,mental illness AND danger*,1961
2,4,mental illness AND danger*,1961
1,1,mental illness AND danger*,1962
3,2,mental illness AND danger*,1962
0,3,mental illness AND danger*,1962
6,4,mental illness AND danger*,1962
2,1,mental illness AND danger*,1963
8,2,mental illness AND danger*,1963
2,3,mental illness AND danger*,1963
4,4,mental illness AND danger*,1963
2,1,mental illness AND danger*,1964
2,2,mental illness AND danger*,1964
2,3,mental illness AND danger*,1964
4,4,mental illness AND danger*,1964
0,1,mental illness AND danger*,1965
0,2,mental illness AND danger*,1965
0,3,mental illness AND danger*,1965
3,4,mental illness AND danger*,1965
3,1,mental illness AND danger*,1966
2,2,mental illness AND danger*,1966
6,3,mental illness AND danger*,1966
7,4,mental illness AND danger*,1966
4,1,mental illness AND danger*,1967
2,2,mental illness AND danger*,1967
1,3,mental illness AND danger*,1967
3,4,mental illness AND danger*,1967
3,1,mental illness AND danger*,1968
5,2,mental illness AND danger*,1968
2,3,mental illness AND danger*,1968
7,4,mental illness AND danger*,1968
2,1,mental illness AND danger*,1969
1,2,mental illness AND danger*,1969
1,3,mental illness AND danger*,1969
2,4,mental illness AND danger*,1969
5,1,mental illness AND danger*,1970
3,2,mental illness AND danger*,1970
4,3,mental illness AND danger*,1970
4,4,mental illness AND danger*,1970
2,1,mental illness AND danger*,1971
3,2,mental illness AND danger*,1971
1,3,mental illness AND danger*,1971
7,4,mental illness AND danger*,1971
0,1,mental illness AND danger*,1972
5,2,mental illness AND danger*,1972
5,3,mental illness AND danger*,1972
3,4,mental illness AND danger*,1972
13,1,mental illness AND danger*,1973
4,2,mental illness AND danger*,1973
3,3,mental illness AND danger*,1973
3,4,mental illness AND danger*,1973
6,1,mental illness AND danger*,1974
5,2,mental illness AND danger*,1974
2,3,mental illness AND danger*,1974
2,4,mental illness AND danger*,1974
2,1,mental illness AND danger*,1975
8,2,mental illness AND danger*,1975
5,3,mental illness AND danger*,1975
3,4,mental illness AND danger*,1975
2,1,mental illness AND danger*,1976
2,2,mental illness AND danger*,1976
2,3,mental illness AND danger*,1976
2,4,mental illness AND danger*,1976
3,1,mental illness AND danger*,1977
5,2,mental illness AND danger*,1977
8,3,mental illness AND danger*,1977
4,4,mental illness AND danger*,1977
9,1,mental illness AND danger*,1978
4,2,mental illness AND danger*,1978
2,3,mental illness AND danger*,1978
5,4,mental illness AND danger*,1978
5,1,mental illness AND danger*,1979
5,2,mental illness AND danger*,1979
1,3,mental illness AND danger*,1979
4,4,mental illness AND danger*,1979
1,1,mental illness AND danger*,1980
6,2,mental illness AND danger*,1980
9,3,mental illness AND danger*,1980
6,4,mental illness AND danger*,1980
5,1,mental illness AND danger*,1981
4,2,mental illness AND danger*,1981
8,3,mental illness AND danger*,1981
4,4,mental illness AND danger*,1981
3,1,mental illness AND danger*,1982
13,2,mental illness AND danger*,1982
6,3,mental illness AND danger*,1982
2,4,mental illness AND danger*,1982
7,1,mental illness AND danger*,1983
4,2,mental illness AND danger*,1983
2,3,mental illness AND danger*,1983
3,4,mental illness AND danger*,1983
4,1,mental illness AND danger*,1984
3,2,mental illness AND danger*,1984
5,3,mental illness AND danger*,1984
2,4,mental illness AND danger*,1984
3,1,mental illness AND danger*,1985
6,2,mental illness AND danger*,1985
2,3,mental illness AND danger*,1985
1,4,mental illness AND danger*,1985
1,1,mental illness AND danger*,1986
6,2,mental illness AND danger*,1986
4,3,mental illness AND danger*,1986
6,4,mental illness AND danger*,1986
4,1,mental illness AND danger*,1987
7,2,mental illness AND danger*,1987
8,3,mental illness AND danger*,1987
13,4,mental illness AND danger*,1987
4,1,mental illness AND danger*,1988
3,2,mental illness AND danger*,1988
5,3,mental illness AND danger*,1988
5,4,mental illness AND danger*,1988
7,1,mental illness AND danger*,1989
4,2,mental illness AND danger*,1989
6,3,mental illness AND danger*,1989
5,4,mental illness AND danger*,1989
3,1,mental illness AND danger*,1990
5,2,mental illness AND danger*,1990
7,3,mental illness AND danger*,1990
3,4,mental illness AND danger*,1990
5,1,mental illness AND danger*,1991
1,2,mental illness AND danger*,1991
3,3,mental illness AND danger*,1991
5,4,mental illness AND danger*,1991
4,1,mental illness AND danger*,1992
4,2,mental illness AND danger*,1992
9,3,mental illness AND danger*,1992
5,4,mental illness AND danger*,1992
14,1,mental illness AND danger*,1993
6,2,mental illness AND danger*,1993
4,3,mental illness AND danger*,1993
6,4,mental illness AND danger*,1993
4,1,mental illness AND danger*,1994
10,2,mental illness AND danger*,1994
12,3,mental illness AND danger*,1994
9,4,mental illness AND danger*,1994
3,1,mental illness AND danger*,1995
4,2,mental illness AND danger*,1995
3,3,mental illness AND danger*,1995
3,4,mental illness AND danger*,1995
5,1,mental illness AND danger*,1996
3,2,mental illness AND danger*,1996
3,3,mental illness AND danger*,1996
7,4,mental illness AND danger*,1996
5,1,mental illness AND danger*,1997
5,2,mental illness AND danger*,1997
6,3,mental illness AND danger*,1997
3,4,mental illness AND danger*,1997
5,1,mental illness AND danger*,1998
6,2,mental illness AND danger*,1998
9,3,mental illness AND danger*,1998
5,4,mental illness AND danger*,1998
7,1,mental illness AND danger*,1999
13,2,mental illness AND danger*,1999
20,3,mental illness AND danger*,1999
25,4,mental illness AND danger*,1999
7,1,mental illness AND danger*,2000
13,2,mental illness AND danger*,2000
12,3,mental illness AND danger*,2000
9,4,mental illness AND danger*,2000
9,1,mental illness AND danger*,2001
9,2,mental illness AND danger*,2001
5,3,mental illness AND danger*,2001
2,4,mental illness AND danger*,2001
15,1,mental illness AND danger*,2002
9,2,mental illness AND danger*,2002
7,3,mental illness AND danger*,2002
5,4,mental illness AND danger*,2002
9,1,mental illness AND danger*,2003
7,2,mental illness AND danger*,2003
5,3,mental illness AND danger*,2003
10,4,mental illness AND danger*,2003
4,1,mental illness AND danger*,2004
7,2,mental illness AND danger*,2004
2,3,mental illness AND danger*,2004
6,4,mental illness AND danger*,2004
6,1,mental illness AND danger*,2005
8,2,mental illness AND danger*,2005
2,3,mental illness AND danger*,2005
10,4,mental illness AND danger*,2005
8,1,mental illness AND danger*,2006
8,2,mental illness AND danger*,2006
7,3,mental illness AND danger*,2006
5,4,mental illness AND danger*,2006
9,1,mental illness AND danger*,2007
23,2,mental illness AND danger*,2007
7,3,mental illness AND danger*,2007
11,4,mental illness AND danger*,2007
15,1,mental illness AND danger*,2008
6,2,mental illness AND danger*,2008
5,3,mental illness AND danger*,2008
6,4,mental illness AND danger*,2008
7,1,mental illness AND danger*,2009
10,2,mental illness AND danger*,2009
1,3,mental illness AND danger*,2009
7,4,mental illness AND danger*,2009
6,1,mental illness AND danger*,2010
6,2,mental illness AND danger*,2010
8,3,mental illness AND danger*,2010
8,4,mental illness AND danger*,2010
11,1,mental illness AND danger*,2011
8,2,mental illness AND danger*,2011
18,3,mental illness AND danger*,2011
12,4,mental illness AND danger*,2011
10,1,mental illness AND danger*,2012
13,2,mental illness AND danger*,2012
10,3,mental illness AND danger*,2012
