hits,quarter,term,year
0,1,mental illness AND violen*,1900
0,2,mental illness AND violen*,1900
0,3,mental illness AND violen*,1900
0,4,mental illness AND violen*,1900
0,1,mental illness AND violen*,1901
0,2,mental illness AND violen*,1901
0,3,mental illness AND violen*,1901
0,4,mental illness AND violen*,1901
0,1,mental illness AND violen*,1902
0,2,mental illness AND violen*,1902
0,3,mental illness AND violen*,1902
0,4,mental illness AND violen*,1902
0,1,mental illness AND violen*,1903
0,2,mental illness AND violen*,1903
0,3,mental illness AND violen*,1903
0,4,mental illness AND violen*,1903
0,1,mental illness AND violen*,1904
0,2,mental illness AND violen*,1904
0,3,mental illness AND violen*,1904
0,4,mental illness AND violen*,1904
0,1,mental illness AND violen*,1905
0,2,mental illness AND violen*,1905
0,3,mental illness AND violen*,1905
0,4,mental illness AND violen*,1905
0,1,mental illness AND violen*,1906
0,2,mental illness AND violen*,1906
0,3,mental illness AND violen*,1906
0,4,mental illness AND violen*,1906
0,1,mental illness AND violen*,1907
0,2,mental illness AND violen*,1907
0,3,mental illness AND violen*,1907
0,4,mental illness AND violen*,1907
0,1,mental illness AND violen*,1908
0,2,mental illness AND violen*,1908
0,3,mental illness AND violen*,1908
0,4,mental illness AND violen*,1908
0,1,mental illness AND violen*,1909
0,2,mental illness AND violen*,1909
0,3,mental illness AND violen*,1909
0,4,mental illness AND violen*,1909
0,1,mental illness AND violen*,1910
0,2,mental illness AND violen*,1910
0,3,mental illness AND violen*,1910
0,4,mental illness AND violen*,1910
0,1,mental illness AND violen*,1911
0,2,mental illness AND violen*,1911
0,3,mental illness AND violen*,1911
0,4,mental illness AND violen*,1911
0,1,mental illness AND violen*,1912
0,2,mental illness AND violen*,1912
1,3,mental illness AND violen*,1912
0,4,mental illness AND violen*,1912
0,1,mental illness AND violen*,1913
0,2,mental illness AND violen*,1913
0,3,mental illness AND violen*,1913
0,4,mental illness AND violen*,1913
0,1,mental illness AND violen*,1914
0,2,mental illness AND violen*,1914
0,3,mental illness AND violen*,1914
0,4,mental illness AND violen*,1914
0,1,mental illness AND violen*,1915
0,2,mental illness AND violen*,1915
0,3,mental illness AND violen*,1915
0,4,mental illness AND violen*,1915
0,1,mental illness AND violen*,1916
0,2,mental illness AND violen*,1916
0,3,mental illness AND violen*,1916
0,4,mental illness AND violen*,1916
0,1,mental illness AND violen*,1917
1,2,mental illness AND violen*,1917
0,3,mental illness AND violen*,1917
0,4,mental illness AND violen*,1917
0,1,mental illness AND violen*,1918
0,2,mental illness AND violen*,1918
0,3,mental illness AND violen*,1918
0,4,mental illness AND violen*,1918
0,1,mental illness AND violen*,1919
0,2,mental illness AND violen*,1919
0,3,mental illness AND violen*,1919
0,4,mental illness AND violen*,1919
0,1,mental illness AND violen*,1920
0,2,mental illness AND violen*,1920
0,3,mental illness AND violen*,1920
0,4,mental illness AND violen*,1920
0,1,mental illness AND violen*,1921
0,2,mental illness AND violen*,1921
0,3,mental illness AND violen*,1921
0,4,mental illness AND violen*,1921
0,1,mental illness AND violen*,1922
0,2,mental illness AND violen*,1922
0,3,mental illness AND violen*,1922
0,4,mental illness AND violen*,1922
0,1,mental illness AND violen*,1923
0,2,mental illness AND violen*,1923
0,3,mental illness AND violen*,1923
0,4,mental illness AND violen*,1923
0,1,mental illness AND violen*,1924
0,2,mental illness AND violen*,1924
0,3,mental illness AND violen*,1924
0,4,mental illness AND violen*,1924
1,1,mental illness AND violen*,1925
0,2,mental illness AND violen*,1925
0,3,mental illness AND violen*,1925
0,4,mental illness AND violen*,1925
0,1,mental illness AND violen*,1926
0,2,mental illness AND violen*,1926
0,3,mental illness AND violen*,1926
0,4,mental illness AND violen*,1926
0,1,mental illness AND violen*,1927
0,2,mental illness AND violen*,1927
0,3,mental illness AND violen*,1927
0,4,mental illness AND violen*,1927
0,1,mental illness AND violen*,1928
0,2,mental illness AND violen*,1928
0,3,mental illness AND violen*,1928
0,4,mental illness AND violen*,1928
0,1,mental illness AND violen*,1929
0,2,mental illness AND violen*,1929
1,3,mental illness AND violen*,1929
