hits,quarter,term,year
0,1,mood disorder,1900
0,2,mood disorder,1900
0,3,mood disorder,1900
0,4,mood disorder,1900
0,1,mood disorder,1901
0,2,mood disorder,1901
0,3,mood disorder,1901
0,4,mood disorder,1901
0,1,mood disorder,1902
0,2,mood disorder,1902
0,3,mood disorder,1902
0,4,mood disorder,1902
0,1,mood disorder,1903
0,2,mood disorder,1903
0,3,mood disorder,1903
0,4,mood disorder,1903
0,1,mood disorder,1904
0,2,mood disorder,1904
0,3,mood disorder,1904
0,4,mood disorder,1904
0,1,mood disorder,1905
0,2,mood disorder,1905
0,3,mood disorder,1905
0,4,mood disorder,1905
0,1,mood disorder,1906
0,2,mood disorder,1906
0,3,mood disorder,1906
0,4,mood disorder,1906
0,1,mood disorder,1907
0,2,mood disorder,1907
0,3,mood disorder,1907
0,4,mood disorder,1907
0,1,mood disorder,1908
0,2,mood disorder,1908
0,3,mood disorder,1908
0,4,mood disorder,1908
0,1,mood disorder,1909
0,2,mood disorder,1909
0,3,mood disorder,1909
0,4,mood disorder,1909
0,1,mood disorder,1910
0,2,mood disorder,1910
0,3,mood disorder,1910
0,4,mood disorder,1910
0,1,mood disorder,1911
0,2,mood disorder,1911
0,3,mood disorder,1911
0,4,mood disorder,1911
0,1,mood disorder,1912
0,2,mood disorder,1912
0,3,mood disorder,1912
0,4,mood disorder,1912
0,1,mood disorder,1913
0,2,mood disorder,1913
0,3,mood disorder,1913
0,4,mood disorder,1913
0,1,mood disorder,1914
0,2,mood disorder,1914
0,3,mood disorder,1914
0,4,mood disorder,1914
0,1,mood disorder,1915
0,2,mood disorder,1915
0,3,mood disorder,1915
0,4,mood disorder,1915
0,1,mood disorder,1916
0,2,mood disorder,1916
0,3,mood disorder,1916
0,4,mood disorder,1916
0,1,mood disorder,1917
0,2,mood disorder,1917
0,3,mood disorder,1917
0,4,mood disorder,1917
0,1,mood disorder,1918
0,2,mood disorder,1918
0,3,mood disorder,1918
0,4,mood disorder,1918
0,1,mood disorder,1919
0,2,mood disorder,1919
0,3,mood disorder,1919
0,4,mood disorder,1919
0,1,mood disorder,1920
0,2,mood disorder,1920
0,3,mood disorder,1920
0,4,mood disorder,1920
0,1,mood disorder,1921
0,2,mood disorder,1921
0,3,mood disorder,1921
0,4,mood disorder,1921
0,1,mood disorder,1922
0,2,mood disorder,1922
0,3,mood disorder,1922
0,4,mood disorder,1922
0,1,mood disorder,1923
0,2,mood disorder,1923
0,3,mood disorder,1923
0,4,mood disorder,1923
0,1,mood disorder,1924
0,2,mood disorder,1924
0,3,mood disorder,1924
0,4,mood disorder,1924
0,1,mood disorder,1925
0,2,mood disorder,1925
0,3,mood disorder,1925
0,4,mood disorder,1925
0,1,mood disorder,1926
0,2,mood disorder,1926
0,3,mood disorder,1926
0,4,mood disorder,1926
0,1,mood disorder,1927
0,2,mood disorder,1927
0,3,mood disorder,1927
0,4,mood disorder,1927
0,1,mood disorder,1928
0,2,mood disorder,1928
0,3,mood disorder,1928
0,4,mood disorder,1928
0,1,mood disorder,1929
0,2,mood disorder,1929
0,3,mood disorder,1929
0,4,mood disorder,1929
0,1,mood disorder,1930
0,2,mood disorder,1930
0,3,mood disorder,1930
0,4,mood disorder,1930
0,1,mood disorder,1931
0,2,mood disorder,1931
0,3,mood disorder,1931
0,4,mood disorder,1931
0,1,mood disorder,1932
0,2,mood disorder,1932
0,3,mood disorder,1932
0,4,mood disorder,1932
0,1,mood disorder,1933
0,2,mood disorder,1933
0,3,mood disorder,1933
0,4,mood disorder,1933
0,1,mood disorder,1934
0,2,mood disorder,1934
0,3,mood disorder,1934
0,4,mood disorder,1934
0,1,mood disorder,1935
0,2,mood disorder,1935
0,3,mood disorder,1935
0,4,mood disorder,1935
0,1,mood disorder,1936
0,2,mood disorder,1936
0,3,mood disorder,1936
0,4,mood disorder,1936
0,1,mood disorder,1937
0,2,mood disorder,1937
0,3,mood disorder,1937
0,4,mood disorder,1937
0,1,mood disorder,1938
0,2,mood disorder,1938
0,3,mood disorder,1938
0,4,mood disorder,1938
0,1,mood disorder,1939
0,2,mood disorder,1939
0,3,mood disorder,1939
0,4,mood disorder,1939
0,1,mood disorder,1940
0,2,mood disorder,1940
0,3,mood disorder,1940
0,4,mood disorder,1940
0,1,mood disorder,1941
0,2,mood disorder,1941
0,3,mood disorder,1941
0,4,mood disorder,1941
0,1,mood disorder,1942
0,2,mood disorder,1942
0,3,mood disorder,1942
0,4,mood disorder,1942
0,1,mood disorder,1943
0,2,mood disorder,1943
0,3,mood disorder,1943
0,4,mood disorder,1943
0,1,mood disorder,1944
0,2,mood disorder,1944
0,3,mood disorder,1944
0,4,mood disorder,1944
0,1,mood disorder,1945
0,2,mood disorder,1945
0,3,mood disorder,1945
0,4,mood disorder,1945
0,1,mood disorder,1946
0,2,mood disorder,1946
0,3,mood disorder,1946
0,4,mood disorder,1946
0,1,mood disorder,1947
0,2,mood disorder,1947
0,3,mood disorder,1947
0,4,mood disorder,1947
0,1,mood disorder,1948
0,2,mood disorder,1948
0,3,mood disorder,1948
0,4,mood disorder,1948
0,1,mood disorder,1949
0,2,mood disorder,1949
0,3,mood disorder,1949
0,4,mood disorder,1949
0,1,mood disorder,1950
0,2,mood disorder,1950
0,3,mood disorder,1950
0,4,mood disorder,1950
0,1,mood disorder,1951
0,2,mood disorder,1951
0,3,mood disorder,1951
0,4,mood disorder,1951
0,1,mood disorder,1952
0,2,mood disorder,1952
0,3,mood disorder,1952
0,4,mood disorder,1952
0,1,mood disorder,1953
0,2,mood disorder,1953
0,3,mood disorder,1953
0,4,mood disorder,1953
0,1,mood disorder,1954
0,2,mood disorder,1954
0,3,mood disorder,1954
0,4,mood disorder,1954
0,1,mood disorder,1955
0,2,mood disorder,1955
0,3,mood disorder,1955
0,4,mood disorder,1955
0,1,mood disorder,1956
0,2,mood disorder,1956
0,3,mood disorder,1956
0,4,mood disorder,1956
0,1,mood disorder,1957
0,2,mood disorder,1957
0,3,mood disorder,1957
0,4,mood disorder,1957
0,1,mood disorder,1958
0,2,mood disorder,1958
0,3,mood disorder,1958
0,4,mood disorder,1958
0,1,mood disorder,1959
0,2,mood disorder,1959
0,3,mood disorder,1959
0,4,mood disorder,1959
0,1,mood disorder,1960
0,2,mood disorder,1960
0,3,mood disorder,1960
0,4,mood disorder,1960
0,1,mood disorder,1961
0,2,mood disorder,1961
0,3,mood disorder,1961
0,4,mood disorder,1961
0,1,mood disorder,1962
0,2,mood disorder,1962
0,3,mood disorder,1962
0,4,mood disorder,1962
0,1,mood disorder,1963
0,2,mood disorder,1963
0,3,mood disorder,1963
0,4,mood disorder,1963
0,1,mood disorder,1964
0,2,mood disorder,1964
0,3,mood disorder,1964
0,4,mood disorder,1964
0,1,mood disorder,1965
0,2,mood disorder,1965
0,3,mood disorder,1965
0,4,mood disorder,1965
0,1,mood disorder,1966
0,2,mood disorder,1966
0,3,mood disorder,1966
0,4,mood disorder,1966
0,1,mood disorder,1967
0,2,mood disorder,1967
0,3,mood disorder,1967
0,4,mood disorder,1967
0,1,mood disorder,1968
0,2,mood disorder,1968
0,3,mood disorder,1968
0,4,mood disorder,1968
0,1,mood disorder,1969
0,2,mood disorder,1969
0,3,mood disorder,1969
0,4,mood disorder,1969
0,1,mood disorder,1970
0,2,mood disorder,1970
0,3,mood disorder,1970
0,4,mood disorder,1970
0,1,mood disorder,1971
0,2,mood disorder,1971
0,3,mood disorder,1971
0,4,mood disorder,1971
0,1,mood disorder,1972
0,2,mood disorder,1972
0,3,mood disorder,1972
0,4,mood disorder,1972
0,1,mood disorder,1973
0,2,mood disorder,1973
0,3,mood disorder,1973
0,4,mood disorder,1973
0,1,mood disorder,1974
0,2,mood disorder,1974
0,3,mood disorder,1974
0,4,mood disorder,1974
0,1,mood disorder,1975
0,2,mood disorder,1975
0,3,mood disorder,1975
0,4,mood disorder,1975
0,1,mood disorder,1976
0,2,mood disorder,1976
0,3,mood disorder,1976
0,4,mood disorder,1976
0,1,mood disorder,1977
1,2,mood disorder,1977
0,3,mood disorder,1977
0,4,mood disorder,1977
0,1,mood disorder,1978
0,2,mood disorder,1978
0,3,mood disorder,1978
0,4,mood disorder,1978
1,1,mood disorder,1979
0,2,mood disorder,1979
0,3,mood disorder,1979
0,4,mood disorder,1979
0,1,mood disorder,1980
0,2,mood disorder,1980
0,3,mood disorder,1980
0,4,mood disorder,1980
0,1,mood disorder,1981
0,2,mood disorder,1981
0,3,mood disorder,1981
0,4,mood disorder,1981
0,1,mood disorder,1982
0,2,mood disorder,1982
0,3,mood disorder,1982
0,4,mood disorder,1982
0,1,mood disorder,1983
0,2,mood disorder,1983
0,3,mood disorder,1983
0,4,mood disorder,1983
1,1,mood disorder,1984
0,2,mood disorder,1984
0,3,mood disorder,1984
0,4,mood disorder,1984
0,1,mood disorder,1985
0,2,mood disorder,1985
0,3,mood disorder,1985
0,4,mood disorder,1985
0,1,mood disorder,1986
0,2,mood disorder,1986
