hits,quarter,term,year
0,1,personality disorder,1900
0,2,personality disorder,1900
0,3,personality disorder,1900
0,4,personality disorder,1900
0,1,personality disorder,1901
0,2,personality disorder,1901
0,3,personality disorder,1901
0,4,personality disorder,1901
0,1,personality disorder,1902
0,2,personality disorder,1902
0,3,personality disorder,1902
0,4,personality disorder,1902
0,1,personality disorder,1903
0,2,personality disorder,1903
0,3,personality disorder,1903
0,4,personality disorder,1903
0,1,personality disorder,1904
0,2,personality disorder,1904
0,3,personality disorder,1904
0,4,personality disorder,1904
0,1,personality disorder,1905
0,2,personality disorder,1905
0,3,personality disorder,1905
0,4,personality disorder,1905
0,1,personality disorder,1906
0,2,personality disorder,1906
0,3,personality disorder,1906
0,4,personality disorder,1906
0,1,personality disorder,1907
0,2,personality disorder,1907
0,3,personality disorder,1907
0,4,personality disorder,1907
0,1,personality disorder,1908
0,2,personality disorder,1908
0,3,personality disorder,1908
0,4,personality disorder,1908
0,1,personality disorder,1909
0,2,personality disorder,1909
0,3,personality disorder,1909
0,4,personality disorder,1909
0,1,personality disorder,1910
0,2,personality disorder,1910
0,3,personality disorder,1910
0,4,personality disorder,1910
0,1,personality disorder,1911
0,2,personality disorder,1911
0,3,personality disorder,1911
0,4,personality disorder,1911
0,1,personality disorder,1912
0,2,personality disorder,1912
0,3,personality disorder,1912
0,4,personality disorder,1912
0,1,personality disorder,1913
0,2,personality disorder,1913
0,3,personality disorder,1913
0,4,personality disorder,1913
0,1,personality disorder,1914
0,2,personality disorder,1914
0,3,personality disorder,1914
0,4,personality disorder,1914
0,1,personality disorder,1915
0,2,personality disorder,1915
0,3,personality disorder,1915
0,4,personality disorder,1915
0,1,personality disorder,1916
0,2,personality disorder,1916
0,3,personality disorder,1916
0,4,personality disorder,1916
0,1,personality disorder,1917
0,2,personality disorder,1917
0,3,personality disorder,1917
0,4,personality disorder,1917
0,1,personality disorder,1918
0,2,personality disorder,1918
0,3,personality disorder,1918
0,4,personality disorder,1918
0,1,personality disorder,1919
0,2,personality disorder,1919
0,3,personality disorder,1919
0,4,personality disorder,1919
0,1,personality disorder,1920
0,2,personality disorder,1920
0,3,personality disorder,1920
0,4,personality disorder,1920
0,1,personality disorder,1921
0,2,personality disorder,1921
0,3,personality disorder,1921
0,4,personality disorder,1921
0,1,personality disorder,1922
0,2,personality disorder,1922
0,3,personality disorder,1922
0,4,personality disorder,1922
0,1,personality disorder,1923
0,2,personality disorder,1923
0,3,personality disorder,1923
0,4,personality disorder,1923
0,1,personality disorder,1924
0,2,personality disorder,1924
0,3,personality disorder,1924
0,4,personality disorder,1924
0,1,personality disorder,1925
0,2,personality disorder,1925
0,3,personality disorder,1925
0,4,personality disorder,1925
0,1,personality disorder,1926
0,2,personality disorder,1926
0,3,personality disorder,1926
0,4,personality disorder,1926
0,1,personality disorder,1927
0,2,personality disorder,1927
0,3,personality disorder,1927
0,4,personality disorder,1927
0,1,personality disorder,1928
0,2,personality disorder,1928
0,3,personality disorder,1928
0,4,personality disorder,1928
0,1,personality disorder,1929
0,2,personality disorder,1929
0,3,personality disorder,1929
0,4,personality disorder,1929
0,1,personality disorder,1930
0,2,personality disorder,1930
0,3,personality disorder,1930
0,4,personality disorder,1930
0,1,personality disorder,1931
0,2,personality disorder,1931
0,3,personality disorder,1931
0,4,personality disorder,1931
0,1,personality disorder,1932
0,2,personality disorder,1932
0,3,personality disorder,1932
0,4,personality disorder,1932
0,1,personality disorder,1933
0,2,personality disorder,1933
0,3,personality disorder,1933
0,4,personality disorder,1933
0,1,personality disorder,1934
0,2,personality disorder,1934
0,3,personality disorder,1934
0,4,personality disorder,1934
0,1,personality disorder,1935
0,2,personality disorder,1935
0,3,personality disorder,1935
0,4,personality disorder,1935
0,1,personality disorder,1936
0,2,personality disorder,1936
0,3,personality disorder,1936
0,4,personality disorder,1936
0,1,personality disorder,1937
0,2,personality disorder,1937
0,3,personality disorder,1937
0,4,personality disorder,1937
0,1,personality disorder,1938
0,2,personality disorder,1938
0,3,personality disorder,1938
0,4,personality disorder,1938
0,1,personality disorder,1939
0,2,personality disorder,1939
0,3,personality disorder,1939
0,4,personality disorder,1939
0,1,personality disorder,1940
0,2,personality disorder,1940
0,3,personality disorder,1940
0,4,personality disorder,1940
0,1,personality disorder,1941
0,2,personality disorder,1941
0,3,personality disorder,1941
0,4,personality disorder,1941
0,1,personality disorder,1942
0,2,personality disorder,1942
0,3,personality disorder,1942
0,4,personality disorder,1942
0,1,personality disorder,1943
0,2,personality disorder,1943
0,3,personality disorder,1943
0,4,personality disorder,1943
0,1,personality disorder,1944
0,2,personality disorder,1944
0,3,personality disorder,1944
0,4,personality disorder,1944
0,1,personality disorder,1945
0,2,personality disorder,1945
0,3,personality disorder,1945
0,4,personality disorder,1945
0,1,personality disorder,1946
2,2,personality disorder,1946
0,3,personality disorder,1946
0,4,personality disorder,1946
0,1,personality disorder,1947
1,2,personality disorder,1947
0,3,personality disorder,1947
0,4,personality disorder,1947
1,1,personality disorder,1948
0,2,personality disorder,1948
0,3,personality disorder,1948
0,4,personality disorder,1948
0,1,personality disorder,1949
0,2,personality disorder,1949
0,3,personality disorder,1949
0,4,personality disorder,1949
0,1,personality disorder,1950
0,2,personality disorder,1950
0,3,personality disorder,1950
0,4,personality disorder,1950
1,1,personality disorder,1951
0,2,personality disorder,1951
0,3,personality disorder,1951
0,4,personality disorder,1951
0,1,personality disorder,1952
0,2,personality disorder,1952
0,3,personality disorder,1952
0,4,personality disorder,1952
0,1,personality disorder,1953
0,2,personality disorder,1953
0,3,personality disorder,1953
0,4,personality disorder,1953
0,1,personality disorder,1954
0,2,personality disorder,1954
0,3,personality disorder,1954
0,4,personality disorder,1954
0,1,personality disorder,1955
0,2,personality disorder,1955
0,3,personality disorder,1955
0,4,personality disorder,1955
0,1,personality disorder,1956
0,2,personality disorder,1956
0,3,personality disorder,1956
0,4,personality disorder,1956
0,1,personality disorder,1957
0,2,personality disorder,1957
0,3,personality disorder,1957
0,4,personality disorder,1957
0,1,personality disorder,1958
0,2,personality disorder,1958
0,3,personality disorder,1958
1,4,personality disorder,1958
0,1,personality disorder,1959
0,2,personality disorder,1959
0,3,personality disorder,1959
0,4,personality disorder,1959
0,1,personality disorder,1960
0,2,personality disorder,1960
0,3,personality disorder,1960
0,4,personality disorder,1960
0,1,personality disorder,1961
0,2,personality disorder,1961
0,3,personality disorder,1961
0,4,personality disorder,1961
0,1,personality disorder,1962
1,2,personality disorder,1962
0,3,personality disorder,1962
0,4,personality disorder,1962
0,1,personality disorder,1963
0,2,personality disorder,1963
0,3,personality disorder,1963
0,4,personality disorder,1963
1,1,personality disorder,1964
1,2,personality disorder,1964
0,3,personality disorder,1964
0,4,personality disorder,1964
0,1,personality disorder,1965
0,2,personality disorder,1965
1,3,personality disorder,1965
0,4,personality disorder,1965
0,1,personality disorder,1966
1,2,personality disorder,1966
0,3,personality disorder,1966
0,4,personality disorder,1966
1,1,personality disorder,1967
0,2,personality disorder,1967
0,3,personality disorder,1967
0,4,personality disorder,1967
0,1,personality disorder,1968
1,2,personality disorder,1968
1,3,personality disorder,1968
0,4,personality disorder,1968
0,1,personality disorder,1969
0,2,personality disorder,1969
0,3,personality disorder,1969
0,4,personality disorder,1969
0,1,personality disorder,1970
1,2,personality disorder,1970
0,3,personality disorder,1970
1,4,personality disorder,1970
0,1,personality disorder,1971
0,2,personality disorder,1971
0,3,personality disorder,1971
0,4,personality disorder,1971
1,1,personality disorder,1972
1,2,personality disorder,1972
