hits,quarter,term,year
0,1,schizoaffective,1900
0,2,schizoaffective,1900
0,3,schizoaffective,1900
0,4,schizoaffective,1900
0,1,schizoaffective,1901
0,2,schizoaffective,1901
0,3,schizoaffective,1901
0,4,schizoaffective,1901
0,1,schizoaffective,1902
0,2,schizoaffective,1902
0,3,schizoaffective,1902
0,4,schizoaffective,1902
0,1,schizoaffective,1903
0,2,schizoaffective,1903
0,3,schizoaffective,1903
0,4,schizoaffective,1903
0,1,schizoaffective,1904
0,2,schizoaffective,1904
0,3,schizoaffective,1904
0,4,schizoaffective,1904
0,1,schizoaffective,1905
0,2,schizoaffective,1905
0,3,schizoaffective,1905
0,4,schizoaffective,1905
0,1,schizoaffective,1906
0,2,schizoaffective,1906
0,3,schizoaffective,1906
0,4,schizoaffective,1906
0,1,schizoaffective,1907
0,2,schizoaffective,1907
0,3,schizoaffective,1907
0,4,schizoaffective,1907
0,1,schizoaffective,1908
0,2,schizoaffective,1908
0,3,schizoaffective,1908
0,4,schizoaffective,1908
0,1,schizoaffective,1909
0,2,schizoaffective,1909
0,3,schizoaffective,1909
0,4,schizoaffective,1909
0,1,schizoaffective,1910
0,2,schizoaffective,1910
0,3,schizoaffective,1910
0,4,schizoaffective,1910
0,1,schizoaffective,1911
0,2,schizoaffective,1911
0,3,schizoaffective,1911
0,4,schizoaffective,1911
0,1,schizoaffective,1912
0,2,schizoaffective,1912
0,3,schizoaffective,1912
0,4,schizoaffective,1912
0,1,schizoaffective,1913
0,2,schizoaffective,1913
0,3,schizoaffective,1913
0,4,schizoaffective,1913
0,1,schizoaffective,1914
0,2,schizoaffective,1914
0,3,schizoaffective,1914
0,4,schizoaffective,1914
0,1,schizoaffective,1915
0,2,schizoaffective,1915
0,3,schizoaffective,1915
0,4,schizoaffective,1915
0,1,schizoaffective,1916
0,2,schizoaffective,1916
0,3,schizoaffective,1916
0,4,schizoaffective,1916
0,1,schizoaffective,1917
0,2,schizoaffective,1917
0,3,schizoaffective,1917
0,4,schizoaffective,1917
0,1,schizoaffective,1918
0,2,schizoaffective,1918
0,3,schizoaffective,1918
0,4,schizoaffective,1918
0,1,schizoaffective,1919
0,2,schizoaffective,1919
0,3,schizoaffective,1919
0,4,schizoaffective,1919
0,1,schizoaffective,1920
0,2,schizoaffective,1920
0,3,schizoaffective,1920
0,4,schizoaffective,1920
0,1,schizoaffective,1921
0,2,schizoaffective,1921
0,3,schizoaffective,1921
0,4,schizoaffective,1921
0,1,schizoaffective,1922
