hits,quarter,term,year
0,1,schizophrenia,1900
0,2,schizophrenia,1900
0,3,schizophrenia,1900
0,4,schizophrenia,1900
0,1,schizophrenia,1901
0,2,schizophrenia,1901
0,3,schizophrenia,1901
0,4,schizophrenia,1901
0,1,schizophrenia,1902
0,2,schizophrenia,1902
0,3,schizophrenia,1902
0,4,schizophrenia,1902
0,1,schizophrenia,1903
0,2,schizophrenia,1903
0,3,schizophrenia,1903
0,4,schizophrenia,1903
0,1,schizophrenia,1904
0,2,schizophrenia,1904
0,3,schizophrenia,1904
0,4,schizophrenia,1904
0,1,schizophrenia,1905
0,2,schizophrenia,1905
0,3,schizophrenia,1905
0,4,schizophrenia,1905
0,1,schizophrenia,1906
0,2,schizophrenia,1906
0,3,schizophrenia,1906
0,4,schizophrenia,1906
0,1,schizophrenia,1907
0,2,schizophrenia,1907
0,3,schizophrenia,1907
0,4,schizophrenia,1907
0,1,schizophrenia,1908
0,2,schizophrenia,1908
0,3,schizophrenia,1908
0,4,schizophrenia,1908
0,1,schizophrenia,1909
0,2,schizophrenia,1909
0,3,schizophrenia,1909
0,4,schizophrenia,1909
0,1,schizophrenia,1910
0,2,schizophrenia,1910
0,3,schizophrenia,1910
0,4,schizophrenia,1910
0,1,schizophrenia,1911
0,2,schizophrenia,1911
0,3,schizophrenia,1911
0,4,schizophrenia,1911
0,1,schizophrenia,1912
0,2,schizophrenia,1912
0,3,schizophrenia,1912
0,4,schizophrenia,1912
0,1,schizophrenia,1913
0,2,schizophrenia,1913
0,3,schizophrenia,1913
0,4,schizophrenia,1913
0,1,schizophrenia,1914
0,2,schizophrenia,1914
0,3,schizophrenia,1914
0,4,schizophrenia,1914
0,1,schizophrenia,1915
0,2,schizophrenia,1915
0,3,schizophrenia,1915
0,4,schizophrenia,1915
0,1,schizophrenia,1916
0,2,schizophrenia,1916
0,3,schizophrenia,1916
0,4,schizophrenia,1916
0,1,schizophrenia,1917
0,2,schizophrenia,1917
0,3,schizophrenia,1917
0,4,schizophrenia,1917
0,1,schizophrenia,1918
0,2,schizophrenia,1918
0,3,schizophrenia,1918
0,4,schizophrenia,1918
0,1,schizophrenia,1919
0,2,schizophrenia,1919
0,3,schizophrenia,1919
0,4,schizophrenia,1919
0,1,schizophrenia,1920
0,2,schizophrenia,1920
0,3,schizophrenia,1920
0,4,schizophrenia,1920
0,1,schizophrenia,1921
0,2,schizophrenia,1921
