hits,quarter,term,year
0,1,shell shock,1900
0,2,shell shock,1900
0,3,shell shock,1900
0,4,shell shock,1900
0,1,shell shock,1901
0,2,shell shock,1901
0,3,shell shock,1901
0,4,shell shock,1901
0,1,shell shock,1902
0,2,shell shock,1902
0,3,shell shock,1902
0,4,shell shock,1902
0,1,shell shock,1903
0,2,shell shock,1903
0,3,shell shock,1903
0,4,shell shock,1903
0,1,shell shock,1904
0,2,shell shock,1904
0,3,shell shock,1904
0,4,shell shock,1904
0,1,shell shock,1905
0,2,shell shock,1905
0,3,shell shock,1905
0,4,shell shock,1905
0,1,shell shock,1906
0,2,shell shock,1906
0,3,shell shock,1906
0,4,shell shock,1906
0,1,shell shock,1907
0,2,shell shock,1907
0,3,shell shock,1907
0,4,shell shock,1907
0,1,shell shock,1908
0,2,shell shock,1908
0,3,shell shock,1908
0,4,shell shock,1908
0,1,shell shock,1909
0,2,shell shock,1909
0,3,shell shock,1909
0,4,shell shock,1909
0,1,shell shock,1910
0,2,shell shock,1910
0,3,shell shock,1910
0,4,shell shock,1910
0,1,shell shock,1911
0,2,shell shock,1911
0,3,shell shock,1911
0,4,shell shock,1911
0,1,shell shock,1912
0,2,shell shock,1912
0,3,shell shock,1912
0,4,shell shock,1912
0,1,shell shock,1913
0,2,shell shock,1913
0,3,shell shock,1913
0,4,shell shock,1913
0,1,shell shock,1914
0,2,shell shock,1914
0,3,shell shock,1914
0,4,shell shock,1914
0,1,shell shock,1915
0,2,shell shock,1915
0,3,shell shock,1915
1,4,shell shock,1915
1,1,shell shock,1916
1,2,shell shock,1916
1,3,shell shock,1916
1,4,shell shock,1916
2,1,shell shock,1917
6,2,shell shock,1917
5,3,shell shock,1917
6,4,shell shock,1917
15,1,shell shock,1918
19,2,shell shock,1918
23,3,shell shock,1918
24,4,shell shock,1918
25,1,shell shock,1919
11,2,shell shock,1919
7,3,shell shock,1919
10,4,shell shock,1919
8,1,shell shock,1920
8,2,shell shock,1920
11,3,shell shock,1920
5,4,shell shock,1920
9,1,shell shock,1921
4,2,shell shock,1921
17,3,shell shock,1921
6,4,shell shock,1921
10,1,shell shock,1922
4,2,shell shock,1922
6,3,shell shock,1922
4,4,shell shock,1922
10,1,shell shock,1923
6,2,shell shock,1923
6,3,shell shock,1923
3,4,shell shock,1923
5,1,shell shock,1924
9,2,shell shock,1924
6,3,shell shock,1924
4,4,shell shock,1924
5,1,shell shock,1925
3,2,shell shock,1925
2,3,shell shock,1925
1,4,shell shock,1925
2,1,shell shock,1926
4,2,shell shock,1926
4,3,shell shock,1926
3,4,shell shock,1926
2,1,shell shock,1927
3,2,shell shock,1927
2,3,shell shock,1927
2,4,shell shock,1927
1,1,shell shock,1928
4,2,shell shock,1928
1,3,shell shock,1928
4,4,shell shock,1928
1,1,shell shock,1929
0,2,shell shock,1929
0,3,shell shock,1929
3,4,shell shock,1929
0,1,shell shock,1930
5,2,shell shock,1930
1,3,shell shock,1930
0,4,shell shock,1930
5,1,shell shock,1931
1,2,shell shock,1931
3,3,shell shock,1931
4,4,shell shock,1931
3,1,shell shock,1932
3,2,shell shock,1932
2,3,shell shock,1932
3,4,shell shock,1932
3,1,shell shock,1933
5,2,shell shock,1933
1,3,shell shock,1933
3,4,shell shock,1933
4,1,shell shock,1934
3,2,shell shock,1934
4,3,shell shock,1934
2,4,shell shock,1934
2,1,shell shock,1935
0,2,shell shock,1935
1,3,shell shock,1935
3,4,shell shock,1935
3,1,shell shock,1936
1,2,shell shock,1936
3,3,shell shock,1936
3,4,shell shock,1936
1,1,shell shock,1937
2,2,shell shock,1937
3,3,shell shock,1937
1,4,shell shock,1937
1,1,shell shock,1938
2,2,shell shock,1938
2,3,shell shock,1938
1,4,shell shock,1938
1,1,shell shock,1939
1,2,shell shock,1939
2,3,shell shock,1939
1,4,shell shock,1939
2,1,shell shock,1940
0,2,shell shock,1940
3,3,shell shock,1940
2,4,shell shock,1940
4,1,shell shock,1941
1,2,shell shock,1941
2,3,shell shock,1941
3,4,shell shock,1941
1,1,shell shock,1942
2,2,shell shock,1942
3,3,shell shock,1942
2,4,shell shock,1942
7,1,shell shock,1943
1,2,shell shock,1943
7,3,shell shock,1943
5,4,shell shock,1943
3,1,shell shock,1944
4,2,shell shock,1944
0,3,shell shock,1944
2,4,shell shock,1944
2,1,shell shock,1945
2,2,shell shock,1945
3,3,shell shock,1945
1,4,shell shock,1945
1,1,shell shock,1946
1,2,shell shock,1946
2,3,shell shock,1946
1,4,shell shock,1946
0,1,shell shock,1947
0,2,shell shock,1947
1,3,shell shock,1947
0,4,shell shock,1947
2,1,shell shock,1948
1,2,shell shock,1948
0,3,shell shock,1948
0,4,shell shock,1948
0,1,shell shock,1949
1,2,shell shock,1949
0,3,shell shock,1949
0,4,shell shock,1949
0,1,shell shock,1950
1,2,shell shock,1950
0,3,shell shock,1950
0,4,shell shock,1950
0,1,shell shock,1951
0,2,shell shock,1951
0,3,shell shock,1951
0,4,shell shock,1951
1,1,shell shock,1952
0,2,shell shock,1952
1,3,shell shock,1952
0,4,shell shock,1952
0,1,shell shock,1953
1,2,shell shock,1953
0,3,shell shock,1953
0,4,shell shock,1953
0,1,shell shock,1954
0,2,shell shock,1954
1,3,shell shock,1954
0,4,shell shock,1954
0,1,shell shock,1955
0,2,shell shock,1955
2,3,shell shock,1955
1,4,shell shock,1955
0,1,shell shock,1956
3,2,shell shock,1956
0,3,shell shock,1956
1,4,shell shock,1956
1,1,shell shock,1957
1,2,shell shock,1957
0,3,shell shock,1957
0,4,shell shock,1957
1,1,shell shock,1958
1,2,shell shock,1958
0,3,shell shock,1958
1,4,shell shock,1958
0,1,shell shock,1959
0,2,shell shock,1959
2,3,shell shock,1959
0,4,shell shock,1959
0,1,shell shock,1960
0,2,shell shock,1960
0,3,shell shock,1960
0,4,shell shock,1960
0,1,shell shock,1961
0,2,shell shock,1961
0,3,shell shock,1961
1,4,shell shock,1961
0,1,shell shock,1962
0,2,shell shock,1962
2,3,shell shock,1962
0,4,shell shock,1962
0,1,shell shock,1963
3,2,shell shock,1963
0,3,shell shock,1963
2,4,shell shock,1963
0,1,shell shock,1964
0,2,shell shock,1964
1,3,shell shock,1964
2,4,shell shock,1964
0,1,shell shock,1965
1,2,shell shock,1965
0,3,shell shock,1965
0,4,shell shock,1965
1,1,shell shock,1966
1,2,shell shock,1966
0,3,shell shock,1966
0,4,shell shock,1966
1,1,shell shock,1967
0,2,shell shock,1967
1,3,shell shock,1967
0,4,shell shock,1967
0,1,shell shock,1968
1,2,shell shock,1968
0,3,shell shock,1968
0,4,shell shock,1968
0,1,shell shock,1969
0,2,shell shock,1969
1,3,shell shock,1969
1,4,shell shock,1969
0,1,shell shock,1970
3,2,shell shock,1970
1,3,shell shock,1970
0,4,shell shock,1970
0,1,shell shock,1971
0,2,shell shock,1971
0,3,shell shock,1971
1,4,shell shock,1971
0,1,shell shock,1972
1,2,shell shock,1972
2,3,shell shock,1972
0,4,shell shock,1972
0,1,shell shock,1973
0,2,shell shock,1973
0,3,shell shock,1973
0,4,shell shock,1973
0,1,shell shock,1974
0,2,shell shock,1974
0,3,shell shock,1974
1,4,shell shock,1974
0,1,shell shock,1975
1,2,shell shock,1975
0,3,shell shock,1975
1,4,shell shock,1975
0,1,shell shock,1976
1,2,shell shock,1976
0,3,shell shock,1976
0,4,shell shock,1976
0,1,shell shock,1977
0,2,shell shock,1977
0,3,shell shock,1977
3,4,shell shock,1977
1,1,shell shock,1978
1,2,shell shock,1978
0,3,shell shock,1978
0,4,shell shock,1978
0,1,shell shock,1979
1,2,shell shock,1979
0,3,shell shock,1979
2,4,shell shock,1979
1,1,shell shock,1980
0,2,shell shock,1980
0,3,shell shock,1980
0,4,shell shock,1980
0,1,shell shock,1981
1,2,shell shock,1981
2,3,shell shock,1981
1,4,shell shock,1981
0,1,shell shock,1982
0,2,shell shock,1982
2,3,shell shock,1982
4,4,shell shock,1982
2,1,shell shock,1983
0,2,shell shock,1983
1,3,shell shock,1983
0,4,shell shock,1983
3,1,shell shock,1984
1,2,shell shock,1984
2,3,shell shock,1984
2,4,shell shock,1984
1,1,shell shock,1985
1,2,shell shock,1985
2,3,shell shock,1985
1,4,shell shock,1985
1,1,shell shock,1986
1,2,shell shock,1986
1,3,shell shock,1986
1,4,shell shock,1986
1,1,shell shock,1987
2,2,shell shock,1987
2,3,shell shock,1987
2,4,shell shock,1987
1,1,shell shock,1988
1,2,shell shock,1988
0,3,shell shock,1988
1,4,shell shock,1988
1,1,shell shock,1989
1,2,shell shock,1989
2,3,shell shock,1989
0,4,shell shock,1989
1,1,shell shock,1990
3,2,shell shock,1990
0,3,shell shock,1990
2,4,shell shock,1990
0,1,shell shock,1991
0,2,shell shock,1991
1,3,shell shock,1991
2,4,shell shock,1991
0,1,shell shock,1992
1,2,shell shock,1992
1,3,shell shock,1992
