hits,quarter,term,year
188,1,suicide NOT bomb,1900
187,2,suicide NOT bomb,1900
317,3,suicide NOT bomb,1900
306,4,suicide NOT bomb,1900
229,1,suicide NOT bomb,1901
230,2,suicide NOT bomb,1901
179,3,suicide NOT bomb,1901
190,4,suicide NOT bomb,1901
149,1,suicide NOT bomb,1902
149,2,suicide NOT bomb,1902
215,3,suicide NOT bomb,1902
194,4,suicide NOT bomb,1902
192,1,suicide NOT bomb,1903
265,2,suicide NOT bomb,1903
280,3,suicide NOT bomb,1903
181,4,suicide NOT bomb,1903
204,1,suicide NOT bomb,1904
268,2,suicide NOT bomb,1904
263,3,suicide NOT bomb,1904
213,4,suicide NOT bomb,1904
149,1,suicide NOT bomb,1905
190,2,suicide NOT bomb,1905
235,3,suicide NOT bomb,1905
210,4,suicide NOT bomb,1905
255,1,suicide NOT bomb,1906
166,2,suicide NOT bomb,1906
197,3,suicide NOT bomb,1906
185,4,suicide NOT bomb,1906
232,1,suicide NOT bomb,1907
242,2,suicide NOT bomb,1907
302,3,suicide NOT bomb,1907
249,4,suicide NOT bomb,1907
227,1,suicide NOT bomb,1908
229,2,suicide NOT bomb,1908
291,3,suicide NOT bomb,1908
216,4,suicide NOT bomb,1908
187,1,suicide NOT bomb,1909
226,2,suicide NOT bomb,1909
254,3,suicide NOT bomb,1909
257,4,suicide NOT bomb,1909
203,1,suicide NOT bomb,1910
234,2,suicide NOT bomb,1910
312,3,suicide NOT bomb,1910
213,4,suicide NOT bomb,1910
210,1,suicide NOT bomb,1911
209,2,suicide NOT bomb,1911
214,3,suicide NOT bomb,1911
261,4,suicide NOT bomb,1911
204,1,suicide NOT bomb,1912
177,2,suicide NOT bomb,1912
215,3,suicide NOT bomb,1912
188,4,suicide NOT bomb,1912
175,1,suicide NOT bomb,1913
189,2,suicide NOT bomb,1913
244,3,suicide NOT bomb,1913
193,4,suicide NOT bomb,1913
200,1,suicide NOT bomb,1914
174,2,suicide NOT bomb,1914
139,3,suicide NOT bomb,1914
149,4,suicide NOT bomb,1914
165,1,suicide NOT bomb,1915
177,2,suicide NOT bomb,1915
192,3,suicide NOT bomb,1915
142,4,suicide NOT bomb,1915
125,1,suicide NOT bomb,1916
138,2,suicide NOT bomb,1916
106,3,suicide NOT bomb,1916
67,4,suicide NOT bomb,1916
87,1,suicide NOT bomb,1917
49,2,suicide NOT bomb,1917
94,3,suicide NOT bomb,1917
77,4,suicide NOT bomb,1917
93,1,suicide NOT bomb,1918
89,2,suicide NOT bomb,1918
54,3,suicide NOT bomb,1918
42,4,suicide NOT bomb,1918
75,1,suicide NOT bomb,1919
110,2,suicide NOT bomb,1919
101,3,suicide NOT bomb,1919
85,4,suicide NOT bomb,1919
82,1,suicide NOT bomb,1920
130,2,suicide NOT bomb,1920
115,3,suicide NOT bomb,1920
113,4,suicide NOT bomb,1920
146,1,suicide NOT bomb,1921
191,2,suicide NOT bomb,1921
214,3,suicide NOT bomb,1921
123,4,suicide NOT bomb,1921
171,1,suicide NOT bomb,1922
199,2,suicide NOT bomb,1922
177,3,suicide NOT bomb,1922
148,4,suicide NOT bomb,1922
231,1,suicide NOT bomb,1923
181,2,suicide NOT bomb,1923
216,3,suicide NOT bomb,1923
157,4,suicide NOT bomb,1923
172,1,suicide NOT bomb,1924
242,2,suicide NOT bomb,1924
183,3,suicide NOT bomb,1924
191,4,suicide NOT bomb,1924
234,1,suicide NOT bomb,1925
197,2,suicide NOT bomb,1925
244,3,suicide NOT bomb,1925
182,4,suicide NOT bomb,1925
219,1,suicide NOT bomb,1926
220,2,suicide NOT bomb,1926
224,3,suicide NOT bomb,1926
263,4,suicide NOT bomb,1926
339,1,suicide NOT bomb,1927
255,2,suicide NOT bomb,1927
229,3,suicide NOT bomb,1927
206,4,suicide NOT bomb,1927
237,1,suicide NOT bomb,1928
208,2,suicide NOT bomb,1928
264,3,suicide NOT bomb,1928
178,4,suicide NOT bomb,1928
233,1,suicide NOT bomb,1929
226,2,suicide NOT bomb,1929
224,3,suicide NOT bomb,1929
275,4,suicide NOT bomb,1929
224,1,suicide NOT bomb,1930
229,2,suicide NOT bomb,1930
265,3,suicide NOT bomb,1930
235,4,suicide NOT bomb,1930
230,1,suicide NOT bomb,1931
264,2,suicide NOT bomb,1931
269,3,suicide NOT bomb,1931
255,4,suicide NOT bomb,1931
348,1,suicide NOT bomb,1932
378,2,suicide NOT bomb,1932
303,3,suicide NOT bomb,1932
334,4,suicide NOT bomb,1932
291,1,suicide NOT bomb,1933
250,2,suicide NOT bomb,1933
219,3,suicide NOT bomb,1933
298,4,suicide NOT bomb,1933
268,1,suicide NOT bomb,1934
268,2,suicide NOT bomb,1934
260,3,suicide NOT bomb,1934
268,4,suicide NOT bomb,1934
286,1,suicide NOT bomb,1935
230,2,suicide NOT bomb,1935
275,3,suicide NOT bomb,1935
252,4,suicide NOT bomb,1935
235,1,suicide NOT bomb,1936
235,2,suicide NOT bomb,1936
231,3,suicide NOT bomb,1936
246,4,suicide NOT bomb,1936
219,1,suicide NOT bomb,1937
195,2,suicide NOT bomb,1937
156,3,suicide NOT bomb,1937
169,4,suicide NOT bomb,1937
209,1,suicide NOT bomb,1938
177,2,suicide NOT bomb,1938
167,3,suicide NOT bomb,1938
225,4,suicide NOT bomb,1938
204,1,suicide NOT bomb,1939
158,2,suicide NOT bomb,1939
161,3,suicide NOT bomb,1939
175,4,suicide NOT bomb,1939
174,1,suicide NOT bomb,1940
174,2,suicide NOT bomb,1940
160,3,suicide NOT bomb,1940
171,4,suicide NOT bomb,1940
140,1,suicide NOT bomb,1941
146,2,suicide NOT bomb,1941
124,3,suicide NOT bomb,1941
138,4,suicide NOT bomb,1941
159,1,suicide NOT bomb,1942
80,2,suicide NOT bomb,1942
127,3,suicide NOT bomb,1942
93,4,suicide NOT bomb,1942
85,1,suicide NOT bomb,1943
103,2,suicide NOT bomb,1943
64,3,suicide NOT bomb,1943
74,4,suicide NOT bomb,1943
96,1,suicide NOT bomb,1944
88,2,suicide NOT bomb,1944
113,3,suicide NOT bomb,1944
129,4,suicide NOT bomb,1944
101,1,suicide NOT bomb,1945
198,2,suicide NOT bomb,1945
178,3,suicide NOT bomb,1945
136,4,suicide NOT bomb,1945
112,1,suicide NOT bomb,1946
104,2,suicide NOT bomb,1946
108,3,suicide NOT bomb,1946
115,4,suicide NOT bomb,1946
136,1,suicide NOT bomb,1947
111,2,suicide NOT bomb,1947
82,3,suicide NOT bomb,1947
102,4,suicide NOT bomb,1947
108,1,suicide NOT bomb,1948
80,2,suicide NOT bomb,1948
115,3,suicide NOT bomb,1948
106,4,suicide NOT bomb,1948
104,1,suicide NOT bomb,1949
128,2,suicide NOT bomb,1949
100,3,suicide NOT bomb,1949
90,4,suicide NOT bomb,1949
94,1,suicide NOT bomb,1950
111,2,suicide NOT bomb,1950
126,3,suicide NOT bomb,1950
109,4,suicide NOT bomb,1950
113,1,suicide NOT bomb,1951
115,2,suicide NOT bomb,1951
133,3,suicide NOT bomb,1951
130,4,suicide NOT bomb,1951
100,1,suicide NOT bomb,1952
94,2,suicide NOT bomb,1952
115,3,suicide NOT bomb,1952
113,4,suicide NOT bomb,1952
110,1,suicide NOT bomb,1953
91,2,suicide NOT bomb,1953
93,3,suicide NOT bomb,1953
106,4,suicide NOT bomb,1953
74,1,suicide NOT bomb,1954
76,2,suicide NOT bomb,1954
112,3,suicide NOT bomb,1954
97,4,suicide NOT bomb,1954
95,1,suicide NOT bomb,1955
101,2,suicide NOT bomb,1955
85,3,suicide NOT bomb,1955
111,4,suicide NOT bomb,1955
99,1,suicide NOT bomb,1956
78,2,suicide NOT bomb,1956
83,3,suicide NOT bomb,1956
105,4,suicide NOT bomb,1956
113,1,suicide NOT bomb,1957
127,2,suicide NOT bomb,1957
109,3,suicide NOT bomb,1957
104,4,suicide NOT bomb,1957
160,1,suicide NOT bomb,1958
96,2,suicide NOT bomb,1958
83,3,suicide NOT bomb,1958
69,4,suicide NOT bomb,1958
123,1,suicide NOT bomb,1959
100,2,suicide NOT bomb,1959
90,3,suicide NOT bomb,1959
100,4,suicide NOT bomb,1959
145,1,suicide NOT bomb,1960
112,2,suicide NOT bomb,1960
106,3,suicide NOT bomb,1960
90,4,suicide NOT bomb,1960
72,1,suicide NOT bomb,1961
102,2,suicide NOT bomb,1961
99,3,suicide NOT bomb,1961
108,4,suicide NOT bomb,1961
84,1,suicide NOT bomb,1962
103,2,suicide NOT bomb,1962
124,3,suicide NOT bomb,1962
80,4,suicide NOT bomb,1962
30,1,suicide NOT bomb,1963
96,2,suicide NOT bomb,1963
141,3,suicide NOT bomb,1963
161,4,suicide NOT bomb,1963
92,1,suicide NOT bomb,1964
110,2,suicide NOT bomb,1964
73,3,suicide NOT bomb,1964
97,4,suicide NOT bomb,1964
118,1,suicide NOT bomb,1965
107,2,suicide NOT bomb,1965
67,3,suicide NOT bomb,1965
118,4,suicide NOT bomb,1965
136,1,suicide NOT bomb,1966
144,2,suicide NOT bomb,1966
121,3,suicide NOT bomb,1966
123,4,suicide NOT bomb,1966
127,1,suicide NOT bomb,1967
107,2,suicide NOT bomb,1967
113,3,suicide NOT bomb,1967
123,4,suicide NOT bomb,1967
133,1,suicide NOT bomb,1968
139,2,suicide NOT bomb,1968
95,3,suicide NOT bomb,1968
132,4,suicide NOT bomb,1968
156,1,suicide NOT bomb,1969
118,2,suicide NOT bomb,1969
89,3,suicide NOT bomb,1969
134,4,suicide NOT bomb,1969
137,1,suicide NOT bomb,1970
109,2,suicide NOT bomb,1970
110,3,suicide NOT bomb,1970
148,4,suicide NOT bomb,1970
118,1,suicide NOT bomb,1971
111,2,suicide NOT bomb,1971
110,3,suicide NOT bomb,1971
140,4,suicide NOT bomb,1971
131,1,suicide NOT bomb,1972
142,2,suicide NOT bomb,1972
130,3,suicide NOT bomb,1972
174,4,suicide NOT bomb,1972
153,1,suicide NOT bomb,1973
205,2,suicide NOT bomb,1973
203,3,suicide NOT bomb,1973
181,4,suicide NOT bomb,1973
198,1,suicide NOT bomb,1974
152,2,suicide NOT bomb,1974
160,3,suicide NOT bomb,1974
174,4,suicide NOT bomb,1974
204,1,suicide NOT bomb,1975
175,2,suicide NOT bomb,1975
192,3,suicide NOT bomb,1975
206,4,suicide NOT bomb,1975
141,1,suicide NOT bomb,1976
174,2,suicide NOT bomb,1976
166,3,suicide NOT bomb,1976
214,4,suicide NOT bomb,1976
204,1,suicide NOT bomb,1977
198,2,suicide NOT bomb,1977
181,3,suicide NOT bomb,1977
234,4,suicide NOT bomb,1977
185,1,suicide NOT bomb,1978
196,2,suicide NOT bomb,1978
53,3,suicide NOT bomb,1978
278,4,suicide NOT bomb,1978
238,1,suicide NOT bomb,1979
164,2,suicide NOT bomb,1979
160,3,suicide NOT bomb,1979
176,4,suicide NOT bomb,1979
145,1,suicide NOT bomb,1980
243,2,suicide NOT bomb,1980
275,3,suicide NOT bomb,1980
449,4,suicide NOT bomb,1980
179,1,suicide NOT bomb,1981
159,2,suicide NOT bomb,1981
186,3,suicide NOT bomb,1981
195,4,suicide NOT bomb,1981
178,1,suicide NOT bomb,1982
178,2,suicide NOT bomb,1982
164,3,suicide NOT bomb,1982
175,4,suicide NOT bomb,1982
137,1,suicide NOT bomb,1983
176,2,suicide NOT bomb,1983
123,3,suicide NOT bomb,1983
150,4,suicide NOT bomb,1983
197,1,suicide NOT bomb,1984
162,2,suicide NOT bomb,1984
134,3,suicide NOT bomb,1984
177,4,suicide NOT bomb,1984
153,1,suicide NOT bomb,1985
203,2,suicide NOT bomb,1985
176,3,suicide NOT bomb,1985
210,4,suicide NOT bomb,1985
286,1,suicide NOT bomb,1986
227,2,suicide NOT bomb,1986
191,3,suicide NOT bomb,1986
261,4,suicide NOT bomb,1986
273,1,suicide NOT bomb,1987
204,2,suicide NOT bomb,1987
197,3,suicide NOT bomb,1987
213,4,suicide NOT bomb,1987
176,1,suicide NOT bomb,1988
195,2,suicide NOT bomb,1988
183,3,suicide NOT bomb,1988
170,4,suicide NOT bomb,1988
182,1,suicide NOT bomb,1989
168,2,suicide NOT bomb,1989
166,3,suicide NOT bomb,1989
