hits,quarter,term,year
188,1,suicide,1900
193,2,suicide,1900
321,3,suicide,1900
306,4,suicide,1900
231,1,suicide,1901
230,2,suicide,1901
180,3,suicide,1901
192,4,suicide,1901
150,1,suicide,1902
149,2,suicide,1902
215,3,suicide,1902
196,4,suicide,1902
194,1,suicide,1903
268,2,suicide,1903
281,3,suicide,1903
182,4,suicide,1903
205,1,suicide,1904
269,2,suicide,1904
272,3,suicide,1904
216,4,suicide,1904
151,1,suicide,1905
191,2,suicide,1905
239,3,suicide,1905
212,4,suicide,1905
255,1,suicide,1906
174,2,suicide,1906
206,3,suicide,1906
190,4,suicide,1906
237,1,suicide,1907
249,2,suicide,1907
307,3,suicide,1907
250,4,suicide,1907
233,1,suicide,1908
236,2,suicide,1908
292,3,suicide,1908
216,4,suicide,1908
190,1,suicide,1909
229,2,suicide,1909
255,3,suicide,1909
258,4,suicide,1909
207,1,suicide,1910
239,2,suicide,1910
318,3,suicide,1910
219,4,suicide,1910
211,1,suicide,1911
214,2,suicide,1911
216,3,suicide,1911
263,4,suicide,1911
209,1,suicide,1912
182,2,suicide,1912
218,3,suicide,1912
192,4,suicide,1912
180,1,suicide,1913
195,2,suicide,1913
245,3,suicide,1913
197,4,suicide,1913
202,1,suicide,1914
178,2,suicide,1914
144,3,suicide,1914
161,4,suicide,1914
175,1,suicide,1915
179,2,suicide,1915
212,3,suicide,1915
148,4,suicide,1915
130,1,suicide,1916
144,2,suicide,1916
107,3,suicide,1916
71,4,suicide,1916
88,1,suicide,1917
53,2,suicide,1917
98,3,suicide,1917
81,4,suicide,1917
97,1,suicide,1918
93,2,suicide,1918
55,3,suicide,1918
47,4,suicide,1918
76,1,suicide,1919
119,2,suicide,1919
108,3,suicide,1919
86,4,suicide,1919
85,1,suicide,1920
134,2,suicide,1920
118,3,suicide,1920
114,4,suicide,1920
149,1,suicide,1921
197,2,suicide,1921
217,3,suicide,1921
124,4,suicide,1921
175,1,suicide,1922
204,2,suicide,1922
179,3,suicide,1922
150,4,suicide,1922
234,1,suicide,1923
186,2,suicide,1923
223,3,suicide,1923
158,4,suicide,1923
176,1,suicide,1924
251,2,suicide,1924
187,3,suicide,1924
196,4,suicide,1924
239,1,suicide,1925
202,2,suicide,1925
248,3,suicide,1925
184,4,suicide,1925
220,1,suicide,1926
223,2,suicide,1926
228,3,suicide,1926
267,4,suicide,1926
341,1,suicide,1927
256,2,suicide,1927
234,3,suicide,1927
209,4,suicide,1927
240,1,suicide,1928
211,2,suicide,1928
267,3,suicide,1928
180,4,suicide,1928
237,1,suicide,1929
227,2,suicide,1929
229,3,suicide,1929
277,4,suicide,1929
231,1,suicide,1930
236,2,suicide,1930
272,3,suicide,1930
241,4,suicide,1930
234,1,suicide,1931
274,2,suicide,1931
272,3,suicide,1931
258,4,suicide,1931
357,1,suicide,1932
383,2,suicide,1932
310,3,suicide,1932
336,4,suicide,1932
294,1,suicide,1933
254,2,suicide,1933
228,3,suicide,1933
304,4,suicide,1933
273,1,suicide,1934
277,2,suicide,1934
267,3,suicide,1934
274,4,suicide,1934
289,1,suicide,1935
233,2,suicide,1935
279,3,suicide,1935
257,4,suicide,1935
244,1,suicide,1936
249,2,suicide,1936
241,3,suicide,1936
257,4,suicide,1936
236,1,suicide,1937
207,2,suicide,1937
167,3,suicide,1937
179,4,suicide,1937
218,1,suicide,1938
184,2,suicide,1938
173,3,suicide,1938
235,4,suicide,1938
215,1,suicide,1939
163,2,suicide,1939
182,3,suicide,1939
196,4,suicide,1939
187,1,suicide,1940
205,2,suicide,1940
190,3,suicide,1940
199,4,suicide,1940
150,1,suicide,1941
164,2,suicide,1941
148,3,suicide,1941
169,4,suicide,1941
187,1,suicide,1942
100,2,suicide,1942
145,3,suicide,1942
106,4,suicide,1942
100,1,suicide,1943
123,2,suicide,1943
80,3,suicide,1943
92,4,suicide,1943
125,1,suicide,1944
112,2,suicide,1944
153,3,suicide,1944
162,4,suicide,1944
154,1,suicide,1945
346,2,suicide,1945
325,3,suicide,1945
175,4,suicide,1945
131,1,suicide,1946
120,2,suicide,1946
130,3,suicide,1946
127,4,suicide,1946
152,1,suicide,1947
127,2,suicide,1947
88,3,suicide,1947
111,4,suicide,1947
122,1,suicide,1948
91,2,suicide,1948
124,3,suicide,1948
116,4,suicide,1948
112,1,suicide,1949
142,2,suicide,1949
111,3,suicide,1949
99,4,suicide,1949
110,1,suicide,1950
123,2,suicide,1950
144,3,suicide,1950
122,4,suicide,1950
134,1,suicide,1951
125,2,suicide,1951
136,3,suicide,1951
140,4,suicide,1951
104,1,suicide,1952
97,2,suicide,1952
121,3,suicide,1952
119,4,suicide,1952
112,1,suicide,1953
99,2,suicide,1953
102,3,suicide,1953
115,4,suicide,1953
86,1,suicide,1954
90,2,suicide,1954
117,3,suicide,1954
109,4,suicide,1954
114,1,suicide,1955
108,2,suicide,1955
93,3,suicide,1955
