hits,quarter,term,year
0,2,veteran AND (mental health or illness),1900
0,3,veteran AND (mental health or illness),1900
0,4,veteran AND (mental health or illness),1900
0,1,veteran AND (mental health or illness),1901
0,2,veteran AND (mental health or illness),1901
0,3,veteran AND (mental health or illness),1901
0,4,veteran AND (mental health or illness),1901
0,1,veteran AND (mental health or illness),1902
0,2,veteran AND (mental health or illness),1902
0,3,veteran AND (mental health or illness),1902
0,4,veteran AND (mental health or illness),1902
0,1,veteran AND (mental health or illness),1903
0,2,veteran AND (mental health or illness),1903
0,3,veteran AND (mental health or illness),1903
0,4,veteran AND (mental health or illness),1903
0,1,veteran AND (mental health or illness),1904
0,2,veteran AND (mental health or illness),1904
0,3,veteran AND (mental health or illness),1904
0,4,veteran AND (mental health or illness),1904
0,1,veteran AND (mental health or illness),1905
0,2,veteran AND (mental health or illness),1905
0,3,veteran AND (mental health or illness),1905
0,4,veteran AND (mental health or illness),1905
0,1,veteran AND (mental health or illness),1906
0,2,veteran AND (mental health or illness),1906
0,3,veteran AND (mental health or illness),1906
0,4,veteran AND (mental health or illness),1906
0,1,veteran AND (mental health or illness),1907
0,2,veteran AND (mental health or illness),1907
0,3,veteran AND (mental health or illness),1907
0,4,veteran AND (mental health or illness),1907
0,1,veteran AND (mental health or illness),1908
0,2,veteran AND (mental health or illness),1908
0,3,veteran AND (mental health or illness),1908
0,4,veteran AND (mental health or illness),1908
0,1,veteran AND (mental health or illness),1909
0,2,veteran AND (mental health or illness),1909
0,3,veteran AND (mental health or illness),1909
0,4,veteran AND (mental health or illness),1909
0,1,veteran AND (mental health or illness),1910
0,2,veteran AND (mental health or illness),1910
0,3,veteran AND (mental health or illness),1910
0,4,veteran AND (mental health or illness),1910
0,1,veteran AND (mental health or illness),1911
0,2,veteran AND (mental health or illness),1911
0,3,veteran AND (mental health or illness),1911
0,4,veteran AND (mental health or illness),1911
0,1,veteran AND (mental health or illness),1912
0,2,veteran AND (mental health or illness),1912
0,3,veteran AND (mental health or illness),1912
0,4,veteran AND (mental health or illness),1912
0,1,veteran AND (mental health or illness),1913
0,2,veteran AND (mental health or illness),1913
0,3,veteran AND (mental health or illness),1913
0,4,veteran AND (mental health or illness),1913
0,1,veteran AND (mental health or illness),1914
0,2,veteran AND (mental health or illness),1914
0,3,veteran AND (mental health or illness),1914
0,4,veteran AND (mental health or illness),1914
0,1,veteran AND (mental health or illness),1915
0,2,veteran AND (mental health or illness),1915
0,3,veteran AND (mental health or illness),1915
0,4,veteran AND (mental health or illness),1915
0,1,veteran AND (mental health or illness),1916
0,2,veteran AND (mental health or illness),1916
0,3,veteran AND (mental health or illness),1916
0,4,veteran AND (mental health or illness),1916
0,1,veteran AND (mental health or illness),1917
0,2,veteran AND (mental health or illness),1917
0,3,veteran AND (mental health or illness),1917
0,4,veteran AND (mental health or illness),1917
0,1,veteran AND (mental health or illness),1918
0,2,veteran AND (mental health or illness),1918
0,3,veteran AND (mental health or illness),1918
0,4,veteran AND (mental health or illness),1918
0,1,veteran AND (mental health or illness),1919
0,2,veteran AND (mental health or illness),1919
0,3,veteran AND (mental health or illness),1919
0,4,veteran AND (mental health or illness),1919
0,1,veteran AND (mental health or illness),1920
0,2,veteran AND (mental health or illness),1920
0,3,veteran AND (mental health or illness),1920
0,4,veteran AND (mental health or illness),1920
