hits,quarter,term,year
0,1,veteran AND shell shock,1900
0,2,veteran AND shell shock,1900
0,3,veteran AND shell shock,1900
0,4,veteran AND shell shock,1900
0,1,veteran AND shell shock,1901
0,2,veteran AND shell shock,1901
0,3,veteran AND shell shock,1901
0,4,veteran AND shell shock,1901
0,1,veteran AND shell shock,1902
0,2,veteran AND shell shock,1902
0,3,veteran AND shell shock,1902
0,4,veteran AND shell shock,1902
0,1,veteran AND shell shock,1903
0,2,veteran AND shell shock,1903
0,3,veteran AND shell shock,1903
0,4,veteran AND shell shock,1903
0,1,veteran AND shell shock,1904
0,2,veteran AND shell shock,1904
0,3,veteran AND shell shock,1904
0,4,veteran AND shell shock,1904
0,1,veteran AND shell shock,1905
0,2,veteran AND shell shock,1905
0,3,veteran AND shell shock,1905
0,4,veteran AND shell shock,1905
0,1,veteran AND shell shock,1906
0,2,veteran AND shell shock,1906
0,3,veteran AND shell shock,1906
0,4,veteran AND shell shock,1906
0,1,veteran AND shell shock,1907
0,2,veteran AND shell shock,1907
0,3,veteran AND shell shock,1907
0,4,veteran AND shell shock,1907
0,1,veteran AND shell shock,1908
0,2,veteran AND shell shock,1908
0,3,veteran AND shell shock,1908
0,4,veteran AND shell shock,1908
0,1,veteran AND shell shock,1909
0,2,veteran AND shell shock,1909
0,3,veteran AND shell shock,1909
0,4,veteran AND shell shock,1909
0,1,veteran AND shell shock,1910
0,2,veteran AND shell shock,1910
0,3,veteran AND shell shock,1910
0,4,veteran AND shell shock,1910
0,1,veteran AND shell shock,1911
0,2,veteran AND shell shock,1911
0,3,veteran AND shell shock,1911
0,4,veteran AND shell shock,1911
0,1,veteran AND shell shock,1912
0,2,veteran AND shell shock,1912
0,3,veteran AND shell shock,1912
0,4,veteran AND shell shock,1912
0,1,veteran AND shell shock,1913
0,2,veteran AND shell shock,1913
0,3,veteran AND shell shock,1913
0,4,veteran AND shell shock,1913
0,1,veteran AND shell shock,1914
0,2,veteran AND shell shock,1914
0,3,veteran AND shell shock,1914
0,4,veteran AND shell shock,1914
0,1,veteran AND shell shock,1915
0,2,veteran AND shell shock,1915
0,3,veteran AND shell shock,1915
0,4,veteran AND shell shock,1915
0,1,veteran AND shell shock,1916
0,2,veteran AND shell shock,1916
0,3,veteran AND shell shock,1916
0,4,veteran AND shell shock,1916
0,1,veteran AND shell shock,1917
0,2,veteran AND shell shock,1917
0,3,veteran AND shell shock,1917
1,4,veteran AND shell shock,1917
2,1,veteran AND shell shock,1918
0,2,veteran AND shell shock,1918
2,3,veteran AND shell shock,1918
6,4,veteran AND shell shock,1918
3,1,veteran AND shell shock,1919
1,2,veteran AND shell shock,1919
0,3,veteran AND shell shock,1919
0,4,veteran AND shell shock,1919
1,1,veteran AND shell shock,1920
0,2,veteran AND shell shock,1920
1,3,veteran AND shell shock,1920
0,4,veteran AND shell shock,1920
2,1,veteran AND shell shock,1921
2,2,veteran AND shell shock,1921
1,3,veteran AND shell shock,1921
0,4,veteran AND shell shock,1921
3,1,veteran AND shell shock,1922
0,2,veteran AND shell shock,1922
2,3,veteran AND shell shock,1922
0,4,veteran AND shell shock,1922
3,1,veteran AND shell shock,1923
2,2,veteran AND shell shock,1923
2,3,veteran AND shell shock,1923
0,4,veteran AND shell shock,1923
0,1,veteran AND shell shock,1924
2,2,veteran AND shell shock,1924
3,3,veteran AND shell shock,1924
1,4,veteran AND shell shock,1924
2,1,veteran AND shell shock,1925
1,2,veteran AND shell shock,1925
1,3,veteran AND shell shock,1925
0,4,veteran AND shell shock,1925
1,1,veteran AND shell shock,1926
1,2,veteran AND shell shock,1926
0,3,veteran AND shell shock,1926
0,4,veteran AND shell shock,1926
0,1,veteran AND shell shock,1927
0,2,veteran AND shell shock,1927
0,3,veteran AND shell shock,1927
0,4,veteran AND shell shock,1927
0,1,veteran AND shell shock,1928
0,2,veteran AND shell shock,1928
1,3,veteran AND shell shock,1928
