hits,quarter,term,year
0,1,veteran.soldier.military.armedforces.war AND PTSD,1900
0,2,veteran.soldier.military.armedforces.war AND PTSD,1900
0,3,veteran.soldier.military.armedforces.war AND PTSD,1900
0,4,veteran.soldier.military.armedforces.war AND PTSD,1900
0,1,veteran.soldier.military.armedforces.war AND PTSD,1901
0,2,veteran.soldier.military.armedforces.war AND PTSD,1901
0,3,veteran.soldier.military.armedforces.war AND PTSD,1901
0,4,veteran.soldier.military.armedforces.war AND PTSD,1901
0,1,veteran.soldier.military.armedforces.war AND PTSD,1902
0,2,veteran.soldier.military.armedforces.war AND PTSD,1902
0,3,veteran.soldier.military.armedforces.war AND PTSD,1902
0,4,veteran.soldier.military.armedforces.war AND PTSD,1902
0,1,veteran.soldier.military.armedforces.war AND PTSD,1903
0,2,veteran.soldier.military.armedforces.war AND PTSD,1903
0,3,veteran.soldier.military.armedforces.war AND PTSD,1903
0,4,veteran.soldier.military.armedforces.war AND PTSD,1903
0,1,veteran.soldier.military.armedforces.war AND PTSD,1904
0,2,veteran.soldier.military.armedforces.war AND PTSD,1904
0,3,veteran.soldier.military.armedforces.war AND PTSD,1904
0,4,veteran.soldier.military.armedforces.war AND PTSD,1904
0,1,veteran.soldier.military.armedforces.war AND PTSD,1905
0,2,veteran.soldier.military.armedforces.war AND PTSD,1905
0,3,veteran.soldier.military.armedforces.war AND PTSD,1905
0,4,veteran.soldier.military.armedforces.war AND PTSD,1905
0,1,veteran.soldier.military.armedforces.war AND PTSD,1906
0,2,veteran.soldier.military.armedforces.war AND PTSD,1906
0,3,veteran.soldier.military.armedforces.war AND PTSD,1906
0,4,veteran.soldier.military.armedforces.war AND PTSD,1906
0,1,veteran.soldier.military.armedforces.war AND PTSD,1907
0,2,veteran.soldier.military.armedforces.war AND PTSD,1907
0,3,veteran.soldier.military.armedforces.war AND PTSD,1907
0,4,veteran.soldier.military.armedforces.war AND PTSD,1907
0,1,veteran.soldier.military.armedforces.war AND PTSD,1908
0,2,veteran.soldier.military.armedforces.war AND PTSD,1908
0,3,veteran.soldier.military.armedforces.war AND PTSD,1908
