hits,quarter,term,year
150,1,veteran,1900
187,2,veteran,1900
187,3,veteran,1900
162,4,veteran,1900
148,1,veteran,1901
155,2,veteran,1901
157,3,veteran,1901
166,4,veteran,1901
151,1,veteran,1902
180,2,veteran,1902
187,3,veteran,1902
142,4,veteran,1902
170,1,veteran,1903
187,2,veteran,1903
223,3,veteran,1903
149,4,veteran,1903
137,1,veteran,1904
151,2,veteran,1904
134,3,veteran,1904
135,4,veteran,1904
136,1,veteran,1905
172,2,veteran,1905
150,3,veteran,1905
108,4,veteran,1905
137,1,veteran,1906
133,2,veteran,1906
154,3,veteran,1906
126,4,veteran,1906
145,1,veteran,1907
160,2,veteran,1907
143,3,veteran,1907
163,4,veteran,1907
146,1,veteran,1908
146,2,veteran,1908
157,3,veteran,1908
143,4,veteran,1908
177,1,veteran,1909
184,2,veteran,1909
175,3,veteran,1909
174,4,veteran,1909
192,1,veteran,1910
229,2,veteran,1910
203,3,veteran,1910
190,4,veteran,1910
187,1,veteran,1911
185,2,veteran,1911
196,3,veteran,1911
222,4,veteran,1911
251,1,veteran,1912
203,2,veteran,1912
195,3,veteran,1912
249,4,veteran,1912
216,1,veteran,1913
225,2,veteran,1913
240,3,veteran,1913
251,4,veteran,1913
205,1,veteran,1914
217,2,veteran,1914
223,3,veteran,1914
247,4,veteran,1914
227,1,veteran,1915
307,2,veteran,1915
273,3,veteran,1915
253,4,veteran,1915
291,1,veteran,1916
288,2,veteran,1916
305,3,veteran,1916
261,4,veteran,1916
230,1,veteran,1917
215,2,veteran,1917
220,3,veteran,1917
228,4,veteran,1917
246,1,veteran,1918
248,2,veteran,1918
290,3,veteran,1918
245,4,veteran,1918
214,1,veteran,1919
231,2,veteran,1919
343,3,veteran,1919
291,4,veteran,1919
305,1,veteran,1920
333,2,veteran,1920
331,3,veteran,1920
359,4,veteran,1920
338,1,veteran,1921
366,2,veteran,1921
397,3,veteran,1921
422,4,veteran,1921
411,1,veteran,1922
479,2,veteran,1922
460,3,veteran,1922
470,4,veteran,1922
483,1,veteran,1923
456,2,veteran,1923
399,3,veteran,1923
416,4,veteran,1923
418,1,veteran,1924
527,2,veteran,1924
543,3,veteran,1924
480,4,veteran,1924
487,1,veteran,1925
527,2,veteran,1925
526,3,veteran,1925
512,4,veteran,1925
502,1,veteran,1926
538,2,veteran,1926
573,3,veteran,1926
633,4,veteran,1926
514,1,veteran,1927
624,2,veteran,1927
655,3,veteran,1927
610,4,veteran,1927
653,1,veteran,1928
699,2,veteran,1928
738,3,veteran,1928
674,4,veteran,1928
684,1,veteran,1929
593,2,veteran,1929
667,3,veteran,1929
709,4,veteran,1929
692,1,veteran,1930
812,2,veteran,1930
842,3,veteran,1930
816,4,veteran,1930
794,1,veteran,1931
769,2,veteran,1931
739,3,veteran,1931
789,4,veteran,1931
764,1,veteran,1932
876,2,veteran,1932
860,3,veteran,1932
853,4,veteran,1932
767,1,veteran,1933
694,2,veteran,1933
720,3,veteran,1933
748,4,veteran,1933
760,1,veteran,1934
794,2,veteran,1934
730,3,veteran,1934
718,4,veteran,1934
704,1,veteran,1935
775,2,veteran,1935
755,3,veteran,1935
780,4,veteran,1935
806,1,veteran,1936
870,2,veteran,1936
802,3,veteran,1936
772,4,veteran,1936
709,1,veteran,1937
810,2,veteran,1937
799,3,veteran,1937
778,4,veteran,1937
595,1,veteran,1938
698,2,veteran,1938
734,3,veteran,1938
745,4,veteran,1938
656,1,veteran,1939
817,2,veteran,1939
778,3,veteran,1939
701,4,veteran,1939
664,1,veteran,1940
663,2,veteran,1940
661,3,veteran,1940
730,4,veteran,1940
672,1,veteran,1941
606,2,veteran,1941
610,3,veteran,1941
649,4,veteran,1941
617,1,veteran,1942
526,2,veteran,1942
589,3,veteran,1942
592,4,veteran,1942
545,1,veteran,1943
504,2,veteran,1943
527,3,veteran,1943
567,4,veteran,1943
604,1,veteran,1944
615,2,veteran,1944
639,3,veteran,1944
740,4,veteran,1944
713,1,veteran,1945
835,2,veteran,1945
936,3,veteran,1945
1060,4,veteran,1945
1075,1,veteran,1946
1080,2,veteran,1946
1293,3,veteran,1946
1095,4,veteran,1946
1013,1,veteran,1947
1010,2,veteran,1947
1001,3,veteran,1947
936,4,veteran,1947
843,1,veteran,1948
827,2,veteran,1948
915,3,veteran,1948
833,4,veteran,1948
814,1,veteran,1949
797,2,veteran,1949
907,3,veteran,1949
810,4,veteran,1949
852,1,veteran,1950
840,2,veteran,1950
909,3,veteran,1950
825,4,veteran,1950
801,1,veteran,1951
804,2,veteran,1951
961,3,veteran,1951
872,4,veteran,1951
778,1,veteran,1952
537,2,veteran,1952
564,3,veteran,1952
566,4,veteran,1952
509,1,veteran,1953
517,2,veteran,1953
505,3,veteran,1953
461,4,veteran,1953
435,1,veteran,1954
405,2,veteran,1954
416,3,veteran,1954
469,4,veteran,1954
453,1,veteran,1955
425,2,veteran,1955
378,3,veteran,1955
462,4,veteran,1955
397,1,veteran,1956
448,2,veteran,1956
317,3,veteran,1956
299,4,veteran,1956
232,1,veteran,1957
242,2,veteran,1957
239,3,veteran,1957
256,4,veteran,1957
228,1,veteran,1958
240,2,veteran,1958
217,3,veteran,1958
259,4,veteran,1958
237,1,veteran,1959
244,2,veteran,1959
222,3,veteran,1959
247,4,veteran,1959
250,1,veteran,1960
205,2,veteran,1960
193,3,veteran,1960
267,4,veteran,1960
214,1,veteran,1961
225,2,veteran,1961
190,3,veteran,1961
199,4,veteran,1961
249,1,veteran,1962
205,2,veteran,1962
226,3,veteran,1962
195,4,veteran,1962
64,1,veteran,1963
187,2,veteran,1963
193,3,veteran,1963
196,4,veteran,1963
139,1,veteran,1964
160,2,veteran,1964
148,3,veteran,1964
146,4,veteran,1964
168,1,veteran,1965
171,2,veteran,1965
156,3,veteran,1965
171,4,veteran,1965
218,1,veteran,1966
212,2,veteran,1966
256,3,veteran,1966
230,4,veteran,1966
231,1,veteran,1967
224,2,veteran,1967
175,3,veteran,1967
173,4,veteran,1967
164,1,veteran,1968
183,2,veteran,1968
185,3,veteran,1968
184,4,veteran,1968
162,1,veteran,1969
180,2,veteran,1969
156,3,veteran,1969
222,4,veteran,1969
188,1,veteran,1970
213,2,veteran,1970
217,3,veteran,1970
230,4,veteran,1970
205,1,veteran,1971
244,2,veteran,1971
215,3,veteran,1971
238,4,veteran,1971
209,1,veteran,1972
252,2,veteran,1972
262,3,veteran,1972
282,4,veteran,1972
318,1,veteran,1973
301,2,veteran,1973
255,3,veteran,1973
238,4,veteran,1973
257,1,veteran,1974
239,2,veteran,1974
290,3,veteran,1974
247,4,veteran,1974
264,1,veteran,1975
256,2,veteran,1975
274,3,veteran,1975
260,4,veteran,1975
279,1,veteran,1976
276,2,veteran,1976
318,3,veteran,1976
354,4,veteran,1976
325,1,veteran,1977
345,2,veteran,1977
363,3,veteran,1977
358,4,veteran,1977
307,1,veteran,1978
331,2,veteran,1978
170,3,veteran,1978
219,4,veteran,1978
297,1,veteran,1979
319,2,veteran,1979
366,3,veteran,1979
354,4,veteran,1979
327,1,veteran,1980
442,2,veteran,1980
639,3,veteran,1980
672,4,veteran,1980
272,1,veteran,1981
308,2,veteran,1981
331,3,veteran,1981
356,4,veteran,1981
265,1,veteran,1982
229,2,veteran,1982
318,3,veteran,1982
307,4,veteran,1982
300,1,veteran,1983
295,2,veteran,1983
289,3,veteran,1983
306,4,veteran,1983
283,1,veteran,1984
329,2,veteran,1984
355,4,veteran,1984
313,1,veteran,1985
335,2,veteran,1985
343,3,veteran,1985
393,4,veteran,1985
308,1,veteran,1986
397,2,veteran,1986
356,3,veteran,1986
390,4,veteran,1986
300,1,veteran,1987
293,2,veteran,1987
403,3,veteran,1987
387,4,veteran,1987
298,1,veteran,1988
376,2,veteran,1988
407,3,veteran,1988
330,4,veteran,1988
339,1,veteran,1989
365,2,veteran,1989
365,3,veteran,1989
386,4,veteran,1989
325,1,veteran,1990
332,2,veteran,1990
382,3,veteran,1990
349,4,veteran,1990
379,1,veteran,1991
321,2,veteran,1991
389,3,veteran,1991
399,4,veteran,1991
366,1,veteran,1992
315,2,veteran,1992
428,3,veteran,1992
446,4,veteran,1992
357,1,veteran,1993
367,2,veteran,1993
397,3,veteran,1993
390,4,veteran,1993
331,1,veteran,1994
402,2,veteran,1994
381,3,veteran,1994
384,4,veteran,1994
344,1,veteran,1995
366,2,veteran,1995
356,3,veteran,1995
404,4,veteran,1995
423,1,veteran,1996
372,2,veteran,1996
434,3,veteran,1996
437,4,veteran,1996
422,1,veteran,1997
434,2,veteran,1997
469,3,veteran,1997
559,4,veteran,1997
536,1,veteran,1998
534,2,veteran,1998
556,3,veteran,1998
514,4,veteran,1998
512,1,veteran,1999
564,2,veteran,1999
558,3,veteran,1999
567,4,veteran,1999
558,1,veteran,2000
539,2,veteran,2000
591,3,veteran,2000
591,4,veteran,2000
597,1,veteran,2001
547,2,veteran,2001
569,3,veteran,2001
640,4,veteran,2001
564,1,veteran,2002
512,2,veteran,2002
543,3,veteran,2002
633,4,veteran,2002
614,1,veteran,2003
624,2,veteran,2003
521,3,veteran,2003
499,4,veteran,2003
604,1,veteran,2004
586,2,veteran,2004
722,3,veteran,2004
550,4,veteran,2004
588,1,veteran,2005
538,2,veteran,2005
610,3,veteran,2005
637,4,veteran,2005
551,1,veteran,2006
734,2,veteran,2006
780,3,veteran,2006
943,4,veteran,2006
840,1,veteran,2007
845,2,veteran,2007
779,3,veteran,2007
840,4,veteran,2007
852,1,veteran,2008
752,2,veteran,2008
786,3,veteran,2008
852,4,veteran,2008
866,1,veteran,2009
819,2,veteran,2009
881,3,veteran,2009
948,4,veteran,2009
939,1,veteran,2010
945,2,veteran,2010
851,3,veteran,2010
908,4,veteran,2010
848,1,veteran,2011
872,2,veteran,2011
946,3,veteran,2011
1159,4,veteran,2011
1034,1,veteran,2012
970,2,veteran,2012
921,3,veteran,2012
693,4,veteran,2012
783,1,veteran,2013
824,2,veteran,2013
1406,3,veteran,2013
739,4,veteran,2013
1761,1,veteran,2014
2019,2,veteran,2014
1784,3,veteran,2014
1773,4,veteran,2014
1931,1,veteran,2015
1696,2,veteran,2015
1789,3,veteran,2015
1757,4,veteran,2015
1763,1,veteran,2016
1715,2,veteran,2016
1865,3,veteran,2016
1641,4,veteran,2016
