hits,quarter,term,year
857,1,war AND US,1900
728,2,war AND US,1900
718,3,war AND US,1900
590,4,war AND US,1900
524,1,war AND US,1901
527,2,war AND US,1901
523,3,war AND US,1901
491,4,war AND US,1901
570,1,war AND US,1902
617,2,war AND US,1902
473,3,war AND US,1902
411,4,war AND US,1902
402,1,war AND US,1903
395,2,war AND US,1903
366,3,war AND US,1903
487,4,war AND US,1903
522,1,war AND US,1904
296,2,war AND US,1904
325,3,war AND US,1904
269,4,war AND US,1904
217,1,war AND US,1905
262,2,war AND US,1905
270,3,war AND US,1905
223,4,war AND US,1905
259,1,war AND US,1906
206,2,war AND US,1906
242,3,war AND US,1906
284,4,war AND US,1906
255,1,war AND US,1907
295,2,war AND US,1907
269,3,war AND US,1907
250,4,war AND US,1907
277,1,war AND US,1908
265,2,war AND US,1908
258,3,war AND US,1908
245,4,war AND US,1908
285,1,war AND US,1909
247,2,war AND US,1909
237,3,war AND US,1909
293,4,war AND US,1909
324,1,war AND US,1910
358,2,war AND US,1910
255,3,war AND US,1910
307,4,war AND US,1910
363,1,war AND US,1911
306,2,war AND US,1911
265,3,war AND US,1911
364,4,war AND US,1911
328,1,war AND US,1912
359,2,war AND US,1912
328,3,war AND US,1912
364,4,war AND US,1912
330,1,war AND US,1913
327,2,war AND US,1913
335,3,war AND US,1913
382,4,war AND US,1913
373,1,war AND US,1914
641,2,war AND US,1914
1126,3,war AND US,1914
1140,4,war AND US,1914
1168,1,war AND US,1915
1522,2,war AND US,1915
1445,3,war AND US,1915
1341,4,war AND US,1915
1403,1,war AND US,1916
1429,2,war AND US,1916
1122,3,war AND US,1916
1143,4,war AND US,1916
1557,1,war AND US,1917
1727,2,war AND US,1917
1592,3,war AND US,1917
1704,4,war AND US,1917
1576,1,war AND US,1918
1696,2,war AND US,1918
1443,3,war AND US,1918
1220,4,war AND US,1918
1381,1,war AND US,1919
1242,2,war AND US,1919
1380,3,war AND US,1919
995,4,war AND US,1919
1047,1,war AND US,1920
955,2,war AND US,1920
891,3,war AND US,1920
945,4,war AND US,1920
896,1,war AND US,1921
1144,2,war AND US,1921
974,3,war AND US,1921
1042,4,war AND US,1921
902,1,war AND US,1922
915,2,war AND US,1922
764,3,war AND US,1922
806,4,war AND US,1922
1132,1,war AND US,1923
1158,2,war AND US,1923
1209,3,war AND US,1923
1143,4,war AND US,1923
1036,1,war AND US,1924
1012,2,war AND US,1924
1030,3,war AND US,1924
981,4,war AND US,1924
1012,1,war AND US,1925
1043,2,war AND US,1925
1082,3,war AND US,1925
1043,4,war AND US,1925
977,1,war AND US,1926
1094,2,war AND US,1926
1039,3,war AND US,1926
1074,4,war AND US,1926
959,1,war AND US,1927
1107,2,war AND US,1927
886,3,war AND US,1927
988,4,war AND US,1927
1192,1,war AND US,1928
1181,2,war AND US,1928
1213,3,war AND US,1928
1080,4,war AND US,1928
1105,1,war AND US,1929
1051,2,war AND US,1929
964,3,war AND US,1929
957,4,war AND US,1929
1219,1,war AND US,1930
1192,2,war AND US,1930
1011,3,war AND US,1930
1100,4,war AND US,1930
1207,1,war AND US,1931
1387,2,war AND US,1931
1175,3,war AND US,1931
1401,4,war AND US,1931
1594,1,war AND US,1932
1337,2,war AND US,1932
1293,3,war AND US,1932
1694,4,war AND US,1932
1393,1,war AND US,1933
1161,2,war AND US,1933
839,3,war AND US,1933
1099,4,war AND US,1933
920,1,war AND US,1934
1150,2,war AND US,1934
827,3,war AND US,1934
846,4,war AND US,1934
868,1,war AND US,1935
939,2,war AND US,1935
1035,3,war AND US,1935
1084,4,war AND US,1935
1043,1,war AND US,1936
936,2,war AND US,1936
886,3,war AND US,1936
1009,4,war AND US,1936
1087,1,war AND US,1937
1138,2,war AND US,1937
1325,3,war AND US,1937
1366,4,war AND US,1937
1268,1,war AND US,1938
1223,2,war AND US,1938
1175,3,war AND US,1938
1412,4,war AND US,1938
1436,1,war AND US,1939
1639,2,war AND US,1939
2307,3,war AND US,1939
2923,4,war AND US,1939
2268,1,war AND US,1940
