hits,quarter,term,year
82,1,war AND veteran,1900
77,2,war AND veteran,1900
68,3,war AND veteran,1900
67,4,war AND veteran,1900
69,1,war AND veteran,1901
67,2,war AND veteran,1901
70,3,war AND veteran,1901
53,4,war AND veteran,1901
70,1,war AND veteran,1902
78,2,war AND veteran,1902
63,3,war AND veteran,1902
57,4,war AND veteran,1902
64,1,war AND veteran,1903
70,2,war AND veteran,1903
64,3,war AND veteran,1903
45,4,war AND veteran,1903
60,1,war AND veteran,1904
55,2,war AND veteran,1904
51,3,war AND veteran,1904
41,4,war AND veteran,1904
39,1,war AND veteran,1905
48,2,war AND veteran,1905
40,3,war AND veteran,1905
30,4,war AND veteran,1905
50,1,war AND veteran,1906
35,2,war AND veteran,1906
57,3,war AND veteran,1906
45,4,war AND veteran,1906
55,1,war AND veteran,1907
58,2,war AND veteran,1907
54,3,war AND veteran,1907
55,4,war AND veteran,1907
46,1,war AND veteran,1908
42,2,war AND veteran,1908
47,3,war AND veteran,1908
63,4,war AND veteran,1908
57,1,war AND veteran,1909
66,2,war AND veteran,1909
58,3,war AND veteran,1909
64,4,war AND veteran,1909
64,1,war AND veteran,1910
71,2,war AND veteran,1910
74,3,war AND veteran,1910
58,4,war AND veteran,1910
65,1,war AND veteran,1911
62,2,war AND veteran,1911
83,3,war AND veteran,1911
89,4,war AND veteran,1911
96,1,war AND veteran,1912
77,2,war AND veteran,1912
77,3,war AND veteran,1912
80,4,war AND veteran,1912
77,1,war AND veteran,1913
64,2,war AND veteran,1913
85,3,war AND veteran,1913
80,4,war AND veteran,1913
75,1,war AND veteran,1914
74,2,war AND veteran,1914
104,3,war AND veteran,1914
118,4,war AND veteran,1914
91,1,war AND veteran,1915
135,2,war AND veteran,1915
102,3,war AND veteran,1915
118,4,war AND veteran,1915
128,1,war AND veteran,1916
123,2,war AND veteran,1916
104,3,war AND veteran,1916
112,4,war AND veteran,1916
90,1,war AND veteran,1917
110,2,war AND veteran,1917
97,3,war AND veteran,1917
108,4,war AND veteran,1917
114,1,war AND veteran,1918
118,2,war AND veteran,1918
153,3,war AND veteran,1918
142,4,war AND veteran,1918
91,1,war AND veteran,1919
98,2,war AND veteran,1919
116,3,war AND veteran,1919
101,4,war AND veteran,1919
82,1,war AND veteran,1920
97,2,war AND veteran,1920
88,3,war AND veteran,1920
99,4,war AND veteran,1920
85,1,war AND veteran,1921
115,2,war AND veteran,1921
111,3,war AND veteran,1921
113,4,war AND veteran,1921
126,1,war AND veteran,1922
122,2,war AND veteran,1922
105,3,war AND veteran,1922
118,4,war AND veteran,1922
179,1,war AND veteran,1923
159,2,war AND veteran,1923
131,3,war AND veteran,1923
134,4,war AND veteran,1923
141,1,war AND veteran,1924
159,2,war AND veteran,1924
150,3,war AND veteran,1924
124,4,war AND veteran,1924
121,1,war AND veteran,1925
148,2,war AND veteran,1925
145,3,war AND veteran,1925
139,4,war AND veteran,1925
149,1,war AND veteran,1926
176,2,war AND veteran,1926
167,3,war AND veteran,1926
156,4,war AND veteran,1926
130,1,war AND veteran,1927
177,2,war AND veteran,1927
182,3,war AND veteran,1927
133,4,war AND veteran,1927
145,1,war AND veteran,1928
183,2,war AND veteran,1928
181,3,war AND veteran,1928
176,4,war AND veteran,1928
157,1,war AND veteran,1929
150,2,war AND veteran,1929
137,3,war AND veteran,1929
162,4,war AND veteran,1929
181,1,war AND veteran,1930
226,2,war AND veteran,1930
204,3,war AND veteran,1930
232,4,war AND veteran,1930
258,1,war AND veteran,1931
227,2,war AND veteran,1931
179,3,war AND veteran,1931
185,4,war AND veteran,1931
246,1,war AND veteran,1932
322,2,war AND veteran,1932
245,3,war AND veteran,1932
265,4,war AND veteran,1932
256,1,war AND veteran,1933
229,2,war AND veteran,1933
191,3,war AND veteran,1933
193,4,war AND veteran,1933
189,1,war AND veteran,1934
201,2,war AND veteran,1934
164,3,war AND veteran,1934
177,4,war AND veteran,1934
175,1,war AND veteran,1935
199,2,war AND veteran,1935
157,3,war AND veteran,1935
178,4,war AND veteran,1935
215,1,war AND veteran,1936
209,2,war AND veteran,1936
173,3,war AND veteran,1936
148,4,war AND veteran,1936
169,1,war AND veteran,1937
187,2,war AND veteran,1937
195,3,war AND veteran,1937
171,4,war AND veteran,1937
164,1,war AND veteran,1938
209,2,war AND veteran,1938
168,3,war AND veteran,1938
166,4,war AND veteran,1938
153,1,war AND veteran,1939
210,2,war AND veteran,1939
219,3,war AND veteran,1939
220,4,war AND veteran,1939
209,1,war AND veteran,1940
256,2,war AND veteran,1940
206,3,war AND veteran,1940
