hits,quarter,term,year
2503,1,war,1900
2096,2,war,1900
1967,3,war,1900
1743,4,war,1900
1658,1,war,1901
1490,2,war,1901
1436,3,war,1901
1499,4,war,1901
1559,1,war,1902
1646,2,war,1902
1375,3,war,1902
1213,4,war,1902
1213,1,war,1903
1171,2,war,1903
1223,3,war,1903
1319,4,war,1903
1903,1,war,1904
1323,2,war,1904
1378,3,war,1904
1077,4,war,1904
1091,1,war,1905
1178,2,war,1905
1202,3,war,1905
852,4,war,1905
904,1,war,1906
717,2,war,1906
798,3,war,1906
874,4,war,1906
918,1,war,1907
949,2,war,1907
1029,3,war,1907
890,4,war,1907
908,1,war,1908
855,2,war,1908
905,3,war,1908
893,4,war,1908
895,1,war,1909
864,2,war,1909
949,3,war,1909
917,4,war,1909
925,1,war,1910
1003,2,war,1910
935,3,war,1910
903,4,war,1910
969,1,war,1911
940,2,war,1911
975,3,war,1911
1276,4,war,1911
1175,1,war,1912
1101,2,war,1912
985,3,war,1912
1709,4,war,1912
1201,1,war,1913
1116,2,war,1913
1028,3,war,1913
1040,4,war,1913
1190,1,war,1914
1635,2,war,1914
5001,3,war,1914
5426,4,war,1914
4857,1,war,1915
5334,2,war,1915
4913,3,war,1915
4740,4,war,1915
4368,1,war,1916
4410,2,war,1916
4152,3,war,1916
4212,4,war,1916
4607,1,war,1917
5973,2,war,1917
5284,3,war,1917
5871,4,war,1917
5956,1,war,1918
6744,2,war,1918
6035,3,war,1918
5453,4,war,1918
4859,1,war,1919
4788,2,war,1919
4194,3,war,1919
3853,4,war,1919
3425,1,war,1920
3445,2,war,1920
3045,3,war,1920
3291,4,war,1920
3311,1,war,1921
3306,3,war,1921
3596,4,war,1921
3141,1,war,1922
3118,2,war,1922
2818,3,war,1922
3084,4,war,1922
3466,1,war,1923
3264,2,war,1923
3094,3,war,1923
3158,4,war,1923
3097,1,war,1924
3055,2,war,1924
2885,3,war,1924
3011,4,war,1924
3060,1,war,1925
3414,2,war,1925
3223,3,war,1925
3293,4,war,1925
3129,1,war,1926
3389,2,war,1926
3250,3,war,1926
3402,4,war,1926
3122,1,war,1927
3448,2,war,1927
2986,3,war,1927
3265,4,war,1927
3380,1,war,1928
3428,2,war,1928
3316,3,war,1928
3203,4,war,1928
3377,1,war,1929
3281,2,war,1929
3077,3,war,1929
3124,4,war,1929
3526,1,war,1930
3482,2,war,1930
3075,3,war,1930
3368,4,war,1930
3522,1,war,1931
3848,2,war,1931
3277,3,war,1931
3680,4,war,1931
3999,1,war,1932
